Quarter,Time,Tm,Detail,PHI,NYJ
1.0,12:42,Jets,Elijah Moore 3 yard pass from Zach Wilson (Alex Kessman kick failed),0,6
,9:25,Eagles,Dallas Goedert 36 yard pass from Gardner Minshew II (Jake Elliott kick),7,6
,3:18,Jets,Zach Wilson 1 yard rush (Alex Kessman kick failed),7,12
2.0,14:12,Eagles,Dallas Goedert 25 yard pass from Gardner Minshew II (Jake Elliott kick),14,12
,9:22,Jets,Ryan Griffin 1 yard pass from Zach Wilson (pass failed),14,18
,4:30,Eagles,Kenneth Gainwell 18 yard rush (Jake Elliott kick),21,18
,0:19,Eagles,Jake Elliott 31 yard field goal,24,18
3.0,6:38,Eagles,Jake Elliott 32 yard field goal,27,18
4.0,14:15,Eagles,Jake Elliott 43 yard field goal,30,18
,9:42,Eagles,Jake Elliott 46 yard field goal,33,18
