Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Miles Sanders,PHI,24,120,0,5,35,1.5,85,3.5,0,
Kenneth Gainwell,PHI,12,54,1,3,24,2.0,30,2.5,2,6.0
Gardner Minshew II,PHI,4,11,0,1,9,2.3,2,0.5,0,
Jalen Reagor,PHI,1,0,0,,0,0.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Tevin Coleman,NYJ,11,58,0,2,12,1.1,46,4.2,0,
Zach Wilson,NYJ,3,0,1,1,-1,-0.3,1,0.3,0,
Ty Johnson,NYJ,1,1,0,1,0,0.0,1,1.0,0,
Elijah Moore,NYJ,1,9,0,0,8,8.0,1,1.0,0,
Austin Walter,NYJ,1,2,0,0,1,1.0,1,1.0,0,
