Unnamed: 0,PHI,NYJ
First Downs,26,21
Rush-Yds-TDs,41-185-1,17-70-1
Cmp-Att-Yd-TD-INT,20-25-242-2-0,23-38-226-2-1
Sacked-Yards,2-9,2-15
Net Pass Yards,233,211
Total Yards,418,281
Fumbles-Lost,3-0,0-0
Turnovers,0,1
Penalties-Yards,3-20,6-66
Third Down Conv.,6-13,3-9
Fourth Down Conv.,1-1,2-3
Time of Possession,35:36,24:24
