Quarter,Time,Down,ToGo,Location,PHI,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss and deferred, Jets to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Jake Elliott kicks off 65 yards, returned by Braxton Berrios for 79 yards (tackle by Marcus Epps)",,
1,14:49,1,10,PHI 21,0,0,Tevin Coleman right guard for 2 yards (tackle by T.J. Edwards and Fletcher Cox),,
1,14:10,2,8,PHI 19,0,0,Zach Wilson pass complete short left to Tevin Coleman for 8 yards (tackle by Alex Singleton),,
1,13:32,1,10,PHI 11,0,0,Zach Wilson pass complete short middle to Tevin Coleman for 7 yards (tackle by T.J. Edwards and Javon Hargrave),,
1,13:06,2,3,PHI 4,0,0,Tevin Coleman left guard for 1 yard (tackle by T.J. Edwards),,
1,12:44,3,2,PHI 3,0,6,"Zach Wilson pass complete short middle to Elijah Moore for 3 yards, touchdown",,
1,12:42,,,PHI 15,0,6,Alex Kessman kicks extra point no good,,
1,12:42,,,NYJ 35,0,6,"Alex Kessman kicks off 65 yards, touchback.",,
1,12:42,1,10,PHI 25,0,6,Gardner Minshew right tackle for no gain (tackle by Quinnen Williams),,
1,12:08,2,10,PHI 25,0,6,Gardner Minshew pass complete short right to Dallas Goedert for 16 yards (tackle by C.J. Mosley),,
1,11:28,1,10,PHI 41,0,6,Miles Sanders right tackle for 5 yards (tackle by C.J. Mosley),,
1,10:54,2,5,PHI 46,0,6,Gardner Minshew pass complete short right to Dallas Goedert for 9 yards (tackle by Bryce Hall),,
1,10:15,1,10,NYJ 45,0,6,Miles Sanders left tackle for 9 yards (tackle by C.J. Mosley),,
1,9:32,2,1,NYJ 36,6,6,"Gardner Minshew pass complete to Dallas Goedert for 36 yards, touchdown",,
1,9:25,,,NYJ 15,7,6,Jake Elliott kicks extra point good,,
1,9:25,,,PHI 35,7,6,"Jake Elliott kicks off 61 yards, returned by Braxton Berrios for 28 yards (tackle by Avonte Maddox)",,
1,9:21,1,10,NYJ 32,7,6,Tevin Coleman right guard for 3 yards (tackle by T.J. Edwards),,
1,8:44,2,7,NYJ 35,7,6,Zach Wilson pass incomplete short middle intended for Jamison Crowder,,
1,8:39,3,7,NYJ 35,7,6,Zach Wilson pass complete short left to Corey Davis for 10 yards (tackle by T.J. Edwards),,
1,8:10,1,10,NYJ 45,7,6,Zach Wilson pass complete to Elijah Moore for 7 yards (tackle by Genard Avery),,
1,7:29,2,3,PHI 48,7,6,"Penalty on Josh Sweat: Neutral Zone Infraction, 5 yards (accepted) (no play)",,
1,7:07,1,10,PHI 43,7,6,Zach Wilson pass complete short right to Elijah Moore for 5 yards (tackle by Darius Slay),,
1,6:34,2,5,PHI 38,7,6,Tevin Coleman left end for 17 yards (tackle by Anthony Harris and Josh Sweat),,
1,5:48,1,10,PHI 21,7,6,Elijah Moore right end for 9 yards (tackle by Rodney McLeod and Genard Avery),,
1,5:01,2,1,PHI 12,7,6,Ty Johnson right guard for 1 yard (tackle by T.J. Edwards and Alex Singleton),,
1,4:21,1,10,PHI 11,7,6,Zach Wilson pass complete short left to Jamison Crowder for 10 yards (tackle by T.J. Edwards and Rodney McLeod),,
1,3:49,1,1,PHI 1,7,6,Zach Wilson up the middle for no gain (tackle by Alex Singleton and Tarron Jackson),,
1,3:21,2,1,PHI 1,7,12,"Zach Wilson up the middle for 1 yard, touchdown",,
1,3:18,,,PHI 15,7,12,Alex Kessman kicks extra point no good,,
1,3:18,,,NYJ 35,7,12,"Alex Kessman kicks off 55 yards, returned by Jalen Reagor for 21 yards (tackle by Hamsah Nasirildeen)",,
1,3:13,1,10,PHI 31,7,12,Gardner Minshew pass complete short left to Dallas Goedert for 12 yards (tackle by Quincy Williams),,
1,2:46,1,10,PHI 43,7,12,Miles Sanders right guard for 2 yards (tackle by Folorunso Fatukasi and Quincy Williams),,
1,2:11,2,8,PHI 45,7,12,Miles Sanders right end for 2 yards (tackle by Bryce Hall),,
1,1:27,3,6,PHI 47,7,12,"Gardner Minshew pass complete short right to Quez Watkins for 10 yards (tackle by Michael Carter). Penalty on Kyle Phillips: Illegal Use of Hands / Defense, 5 yards (declined)",,
1,1:00,1,10,NYJ 43,7,12,Gardner Minshew pass complete short right to Miles Sanders for 12 yards (tackle by Jarrad Davis),,
1,0:24,1,10,NYJ 31,7,12,Miles Sanders left guard for 1 yard (tackle by Jarrad Davis),,
Quarter,Time,Down,ToGo,Location,PHI,NYJ,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,NYJ 30,7,12,Gardner Minshew pass complete short right to Kenneth Gainwell for 5 yards (tackle by C.J. Mosley),,
2,14:18,3,4,NYJ 25,13,12,"Gardner Minshew pass complete deep right to Dallas Goedert for 25 yards, touchdown",,
2,14:12,,,NYJ 15,14,12,Jake Elliott kicks extra point good,,
2,14:12,,,PHI 35,14,12,"Jake Elliott kicks off 65 yards, touchback.",,
2,14:12,1,10,NYJ 25,14,12,Tevin Coleman up the middle for 15 yards (tackle by Marcus Epps),,
2,13:43,1,10,NYJ 40,14,12,Zach Wilson pass complete to Elijah Moore for 29 yards (tackle by T.J. Edwards and Anthony Harris),,
2,13:01,1,10,PHI 31,14,12,Austin Walter right guard for 2 yards (tackle by Alex Singleton and Fletcher Cox),,
2,12:17,2,8,PHI 29,14,12,Zach Wilson pass complete to Tevin Coleman for 4 yards (tackle by Fletcher Cox and Alex Singleton),,
2,11:33,3,5,PHI 25,14,12,Zach Wilson pass complete short right to Jamison Crowder for 19 yards (tackle by Marcus Epps and Avonte Maddox),,
2,10:58,1,6,PHI 6,14,12,Tevin Coleman up the middle for 2 yards (tackle by Hassan Ridgeway and Genard Avery),,
2,10:16,2,4,PHI 4,14,12,Tevin Coleman up the middle for 3 yards (tackle by Avonte Maddox and Marcus Epps),,
2,9:32,3,1,PHI 1,14,12,Zach Wilson pass incomplete short right intended for Elijah Moore,,
2,9:26,4,1,PHI 1,14,18,"Zach Wilson pass complete to Ryan Griffin for 1 yard, touchdown",,
2,9:22,,,PHI 2,14,18,Two Point Attempt: Zach Wilson pass incomplete intended for,,
2,9:22,,,NYJ 35,14,18,"Alex Kessman kicks off 64 yards, returned by Jalen Reagor for 5 yards (tackle by Jeff Smith)",,
2,9:18,1,10,PHI 6,14,18,Miles Sanders up the middle for 4 yards (tackle by Quincy Williams),,
2,8:42,2,6,PHI 10,14,18,Gardner Minshew pass complete short right to DeVonta Smith for 13 yards (tackle by Elijah Riley),,
2,8:16,1,10,PHI 23,14,18,Gardner Minshew sacked by Elijah Riley for no gain,,
2,7:34,2,10,PHI 23,14,18,Gardner Minshew pass complete short right to Kenneth Gainwell for 16 yards (tackle by Ashtyn Davis),,
2,7:05,1,10,PHI 39,14,18,"Gardner Minshew sacked by Shaq Lawson for no gain. Penalty on Shaq Lawson: Face Mask (15 Yards), 15 yards (accepted) (no play)",,
2,6:33,1,10,NYJ 46,14,18,Gardner Minshew scrambles left end for 9 yards (tackle by Quincy Williams),,
2,5:55,2,1,NYJ 37,14,18,Miles Sanders right tackle for 7 yards (tackle by Ashtyn Davis),,
2,5:12,1,10,NYJ 30,14,18,Gardner Minshew pass complete short right to Kenneth Gainwell for 12 yards (tackle by C.J. Mosley),,
2,4:36,1,10,NYJ 18,20,18,"Kenneth Gainwell left guard for 18 yards, touchdown",,
2,4:30,,,NYJ 15,21,18,Jake Elliott kicks extra point good,,
2,4:30,,,PHI 35,21,18,"Jake Elliott kicks off 65 yards, touchback.",,
2,4:30,1,10,NYJ 25,21,18,Zach Wilson pass complete short left to Corey Davis for 5 yards (tackle by Zech McPhearson and T.J. Edwards),,
2,3:48,2,5,NYJ 30,21,18,Tevin Coleman up the middle for 2 yards (tackle by Fletcher Cox),,
2,3:08,3,3,NYJ 32,21,18,Zach Wilson sacked by Josh Sweat for -10 yards,,
2,2:24,4,13,NYJ 22,21,18,"Braden Mann punts 45 yards, recovered by Jalen Reagor at PHI-33 and returned for 20 yards (tackle by Kenny Yeboah)",,
2,2:10,1,10,NYJ 47,21,18,Miles Sanders left guard for 9 yards (tackle by Elijah Riley and C.J. Mosley),,
2,2:00,2,1,NYJ 38,21,18,Miles Sanders up the middle for 4 yards (tackle by C.J. Mosley),,
2,1:29,1,10,NYJ 34,21,18,Gardner Minshew pass incomplete short left,,
2,1:25,2,10,NYJ 34,21,18,"Miles Sanders for no gain (tackle by Quinnen Williams). Penalty on Landon Dickerson: Offensive Holding, 10 yards (accepted) (no play)",,
2,1:21,2,20,NYJ 44,21,18,Kenneth Gainwell up the middle for 1 yard (tackle by Folorunso Fatukasi and Michael Carter),,
2,1:07,,,,,,Timeout #1 by New York Jets,,
2,1:07,3,19,NYJ 43,21,18,Gardner Minshew pass complete short left to Quez Watkins for 22 yards (tackle by C.J. Mosley and Ashtyn Davis),,
2,0:59,1,10,NYJ 21,21,18,"Kenneth Gainwell left guard for 3 yards (tackle by C.J. Mosley). Penalty on Jonathan Marshall: Illegal Use of Hands / Defense, 5 yards (accepted)",,
2,0:56,1,10,NYJ 13,21,18,Miles Sanders left guard for no gain (tackle by Quincy Williams and Nathan Shepherd),,
2,0:34,,,,,,Timeout #1 by Philadelphia Eagles,,
2,0:34,2,11,NYJ 13,21,18,Gardner Minshew pass complete short right to Kenneth Gainwell for -2 yards (tackle by Ronald Blair),,
2,0:27,,,,,,Timeout #2 by Philadelphia Eagles,,
2,0:27,3,13,NYJ 15,21,18,Gardner Minshew pass complete short right to Kenneth Gainwell for 2 yards,,
2,0:22,4,11,NYJ 13,24,18,Jake Elliott 31 yard field goal good,,
2,0:19,,,PHI 35,24,18,"Jake Elliott kicks off 65 yards, touchback.",,
2,0:19,1,10,NYJ 25,24,18,Zach Wilson kneels for -1 yards,,
Quarter,Time,Down,ToGo,Location,PHI,NYJ,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYJ 35,24,18,"Alex Kessman kicks off 62 yards, returned by Boston Scott for 13 yards (tackle by Justin Hardee and Javelin Guidry)",,
3,14:55,1,10,PHI 16,24,18,Miles Sanders right guard for 7 yards (tackle by Quinnen Williams),,
3,14:16,2,3,PHI 23,24,18,Miles Sanders right guard for 6 yards (tackle by Elijah Riley),,
3,13:36,1,10,PHI 29,24,18,"Penalty on Quinnen Williams: Neutral Zone Infraction, 5 yards (accepted) (no play)",,
3,13:17,1,5,PHI 34,24,18,Miles Sanders left tackle for 2 yards (tackle by Folorunso Fatukasi),,
3,12:34,2,3,PHI 36,24,18,Miles Sanders left tackle for 2 yards (tackle by Quincy Williams),,
3,11:48,3,1,PHI 38,24,18,Miles Sanders left guard for 6 yards (tackle by Elijah Riley),,
3,10:59,1,10,PHI 44,24,18,Jalen Reagor left end for no gain (tackle by Quincy Williams),,
3,10:23,2,10,PHI 44,24,18,Gardner Minshew pass incomplete short right,,
3,10:17,3,10,PHI 44,24,18,Gardner Minshew pass complete deep left to Quez Watkins for 28 yards (tackle by Elijah Riley),,
3,9:34,1,10,NYJ 28,24,18,Miles Sanders left tackle for no gain (tackle by Quincy Williams and Kyle Phillips),,
3,8:53,2,10,NYJ 28,24,18,Gardner Minshew pass incomplete deep right intended for DeVonta Smith (defended by Bryce Hall),,
3,8:47,3,10,NYJ 28,24,18,"Gardner Minshew pass incomplete intended for Dallas Goedert. Penalty on Bryce Hall: Defensive Pass Interference, 21 yards (accepted) (no play)",,
3,8:42,1,7,NYJ 7,24,18,Miles Sanders right guard for 1 yard (tackle by Jarrad Davis and Quincy Williams),,
3,8:00,2,6,NYJ 6,24,18,Miles Sanders right guard for 1 yard (tackle by Quinnen Williams),,
3,7:16,3,5,NYJ 5,24,18,Gardner Minshew sacked by. Gardner Minshew fumbles. Gardner Minshew fumbles out of bounds,,
3,7:05,4,14,NYJ 14,27,18,Jake Elliott 32 yard field goal good,,
3,6:38,,,PHI 35,27,18,"Jake Elliott kicks off 67 yards, returned by Braxton Berrios for 32 yards (tackle by Andre Chachere)",,
3,6:33,1,10,NYJ 30,27,18,Zach Wilson pass incomplete short right intended for Tevin Coleman,,
3,6:29,2,10,NYJ 30,27,18,Tevin Coleman left tackle for 3 yards (tackle by Derek Barnett and Alex Singleton),,
3,5:43,,,,,,Timeout #1 by New York Jets,,
3,5:43,3,8,NYJ 33,27,18,Zach Wilson pass incomplete short middle intended for Elijah Moore,,
3,5:39,4,8,NYJ 33,27,18,Braden Mann punts 33 yards downed by Daniel Brown,,
3,5:28,1,10,PHI 34,27,18,Miles Sanders up the middle for 3 yards (tackle by Folorunso Fatukasi and Quinnen Williams),,
3,4:55,2,7,PHI 37,27,18,Gardner Minshew pass complete short left to Miles Sanders for 9 yards (tackle by Javelin Guidry),,
3,4:17,1,10,PHI 46,27,18,Kenneth Gainwell left tackle for -1 yards (tackle by Shaq Lawson),,
3,3:40,2,11,PHI 45,27,18,Gardner Minshew pass complete short right to Jalen Reagor for 7 yards (tackle by Bryce Hall),,
3,2:58,3,4,NYJ 48,27,18,Gardner Minshew pass incomplete short right intended for DeVonta Smith (defended by Ashtyn Davis),,
3,2:52,4,4,NYJ 48,27,18,"Penalty on C.J. Mosley: Encroachment, 5 yards (accepted) (no play)",,
3,2:52,1,10,NYJ 43,27,18,Gardner Minshew pass incomplete short left,,
3,2:46,2,10,NYJ 43,27,18,Gardner Minshew pass complete short right to Dallas Goedert for 7 yards (tackle by Bryce Hall),,
3,2:07,3,4,NYJ 36,27,18,Gardner Minshew pass complete short right to DeVonta Smith for 2 yards (tackle by Quincy Williams),,
3,1:24,,,,,,Timeout #1 by Philadelphia Eagles,,
3,1:24,4,2,NYJ 34,27,18,"Gardner Minshew up the middle for no gain (tackle by Quinnen Williams and Quincy Williams) PHI challenged the short of the line to gain ruling, and the original play was overturned. Gardner Minshew up the middle for 2 yards and Quinnen Williams and Quincy Williams)",,
3,1:14,1,10,NYJ 32,27,18,Miles Sanders left guard for 3 yards (tackle by Nathan Shepherd),,
3,0:42,2,7,NYJ 29,27,18,Miles Sanders right guard for 5 yards (tackle by C.J. Mosley and Javelin Guidry),,
Quarter,Time,Down,ToGo,Location,PHI,NYJ,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,2,NYJ 24,27,18,Miles Sanders left guard for -1 yards (tackle by Ronald Blair and Quincy Williams),,
4,14:18,4,4,NYJ 25,30,18,Jake Elliott 43 yard field goal good,,
4,14:15,,,PHI 35,30,18,"Jake Elliott kicks off 65 yards, touchback.",,
4,14:15,1,10,NYJ 25,30,18,Zach Wilson pass incomplete short right intended for Corey Davis,,
4,14:10,2,10,NYJ 25,30,18,Zach Wilson pass complete short middle to Elijah Moore for 18 yards (tackle by Darius Slay),,
4,13:36,1,10,NYJ 43,30,18,Zach Wilson pass complete short left to Ryan Griffin for 14 yards (tackle by Alex Singleton),,
4,13:19,1,10,PHI 43,30,18,Zach Wilson pass incomplete short left,,
4,13:15,2,10,PHI 43,30,18,Zach Wilson pass incomplete deep left intended for Elijah Moore,,
4,13:10,3,10,PHI 43,30,18,Zach Wilson pass deep middle intended for Jamison Crowder is intercepted by Marcus Epps at PHI-24 and returned for no gain (tackle by Jamison Crowder),,
4,13:02,1,10,PHI 24,30,18,Miles Sanders up the middle for 8 yards (tackle by Quincy Williams),,
4,12:22,2,2,PHI 32,30,18,Miles Sanders right tackle for 34 yards (tackle by Bryce Hall),,
4,11:31,1,10,NYJ 34,30,18,Kenneth Gainwell right guard for 1 yard (tackle by Folorunso Fatukasi),,
4,10:54,2,9,NYJ 33,30,18,Kenneth Gainwell left guard for 4 yards (tackle by Quinnen Williams),,
4,10:07,3,5,NYJ 29,30,18,Gardner Minshew pass complete short right to Miles Sanders for 1 yard (tackle by Javelin Guidry and C.J. Mosley),,
4,9:48,4,5,NYJ 28,33,18,Jake Elliott 46 yard field goal good,,
4,9:42,,,PHI 35,33,18,"Jake Elliott kicks off 65 yards, touchback.",,
4,9:42,1,10,NYJ 25,33,18,Tevin Coleman right tackle for 8 yards (tackle by Darius Slay),,
4,9:19,2,2,NYJ 33,33,18,"Tevin Coleman for 2 yards (tackle by Anthony Harris). Penalty on Denzel Mims: Illegal Blindside Block, 15 yards (accepted)",,
4,8:51,2,15,NYJ 20,33,18,Zach Wilson pass complete short right to Jamison Crowder for 19 yards (tackle by Marcus Epps),,
4,8:24,1,10,NYJ 39,33,18,Zach Wilson pass complete short right to Austin Walter for 11 yards (tackle by Darius Slay),,
4,8:05,1,10,PHI 50,33,18,Zach Wilson pass complete short left to Austin Walter for -2 yards (tackle by Tarron Jackson),,
4,7:25,2,12,NYJ 48,33,18,Zach Wilson pass complete short right to Elijah Moore for 15 yards (tackle by Alex Singleton and Darius Slay),,
4,6:56,1,10,PHI 37,33,18,Zach Wilson sacked by and Josh Sweat for -5 yards and Javon Hargrave for -5 yards,,
4,6:14,2,15,PHI 42,33,18,"Zach Wilson pass complete to Jeff Smith for no gain. Penalty on Zech McPhearson: Defensive Holding, 5 yards (accepted) (no play)",,
4,5:47,1,10,PHI 37,33,18,Zach Wilson pass incomplete deep right intended for Elijah Moore (defended by Darius Slay),,
4,5:40,2,10,PHI 37,33,18,Zach Wilson pass incomplete short right intended for Ty Johnson,,
4,5:35,3,10,PHI 37,33,18,Zach Wilson pass incomplete deep middle intended for Elijah Moore,,
4,5:29,4,10,PHI 37,33,18,Zach Wilson pass incomplete intended for Ty Johnson,,
4,5:23,1,10,PHI 37,33,18,Kenneth Gainwell for 2 yards (tackle by John Franklin-Myers),,
4,4:39,2,8,PHI 39,33,18,Kenneth Gainwell right guard for 2 yards (tackle by Javelin Guidry and Bryce Hall),,
4,3:52,3,6,PHI 41,33,18,Kenneth Gainwell right guard for 7 yards (tackle by C.J. Mosley),,
4,3:08,1,10,PHI 48,33,18,Kenneth Gainwell left end for 12 yards (tackle by Elijah Riley),,
4,2:19,1,10,NYJ 40,33,18,Kenneth Gainwell right tackle for 3 yards (tackle by C.J. Mosley),,
4,2:14,,,,,,Timeout #2 by New York Jets,,
4,2:14,2,6,NYJ 37,33,18,Kenneth Gainwell right guard for 2 yards (tackle by Nathan Shepherd),,
4,2:00,3,5,NYJ 35,33,18,"Nate Herbig aborted snap, recovered by Gardner Minshew at PHI-43 Gardner Minshew for no gain",,
4,1:54,,,,,,Timeout #3 by New York Jets,,
4,1:54,4,26,PHI 43,33,18,"Arryn Siposs punts 38 yards, fair catch by Braxton Berrios at NYJ-19",,
