Quarter,Time,Tm,Detail,PHI,NYG
1.0,3:26,Giants,Steve Christie 22 yard field goal,0,3
2.0,14:53,Eagles,Donovan McNabb 4 yard rush (David Akers kick),7,3
,9:08,Giants,Steve Christie 31 yard field goal,7,6
3.0,11:26,Eagles,David Akers 47 yard field goal,10,6
,8:58,Eagles,David Akers 42 yard field goal,13,6
,1:41,Eagles,Brian Westbrook 1 yard rush (David Akers kick),20,6
4.0,9:52,Eagles,Brian Westbrook 34 yard pass from Donovan McNabb (David Akers kick),27,6
