Unnamed: 0,PHI,NYG
First Downs,22,12
Rush-Yds-TDs,38-152-2,26-161-0
Cmp-Att-Yd-TD-INT,18-27-244-1-0,6-21-148-0-2
Sacked-Yards,2-6,5-37
Net Pass Yards,238,111
Total Yards,390,272
Fumbles-Lost,2-1,2-0
Turnovers,1,2
Penalties-Yards,12-75,6-64
Third Down Conv.,7-15,3-12
Fourth Down Conv.,0-0,0-1
Time of Possession,33:48,26:12
