Unnamed: 0,CIN,PIT
First Downs,14,18
Rush-Yds-TDs,14-34-0,27-123-0
Cmp-Att-Yd-TD-INT,20-32-178-1-3,21-33-258-0-0
Sacked-Yards,3-22,4-27
Net Pass Yards,156,231
Total Yards,190,354
Fumbles-Lost,0-0,1-0
Turnovers,3,0
Penalties-Yards,4-25,9-89
Third Down Conv.,2-8,7-15
Fourth Down Conv.,1-1,0-0
Time of Possession,25:29,34:31
