Unnamed: 0,PIT,BAL
First Downs,17,25
Rush-Yds-TDs,18-99-0,36-157-0
Cmp-Att-Yd-TD-INT,22-37-217-0-1,21-29-166-2-0
Sacked-Yards,2-15,0-0
Net Pass Yards,202,166
Total Yards,301,323
Fumbles-Lost,2-2,0-0
Turnovers,3,0
Penalties-Yards,9-75,4-35
Third Down Conv.,6-12,5-12
Fourth Down Conv.,0-0,1-1
Time of Possession,24:52,35:08
