Quarter,Time,Tm,Detail,NYJ,IND
1.0,6:55,Colts,Joseph Addai 21 yard rush (Adam Vinatieri kick failed),0,6
2.0,11:46,Colts,Adam Vinatieri 22 yard field goal,0,9
,1:44,Jets,Jay Feely 35 yard field goal,3,9
3.0,14:48,Jets,Brad Smith 106 yard kickoff return (Jay Feely kick),10,9
,10:13,Colts,Donald Brown 1 yard rush (run failed),10,15
,1:29,Jets,Marques Douglas 1 yard defensive fumble return (Dustin Keller pass from Mark Sanchez),18,15
4.0,13:23,Jets,Jay Feely 43 yard field goal,21,15
,5:38,Jets,Thomas Jones 1 yard rush (Braylon Edwards pass from Mark Sanchez),29,15
