Quarter,Time,Tm,Detail,HOU,TEN
1.0,0:03,Texans,Kris Brown 30 yard field goal,3,0
2.0,4:28,Titans,Rob Bironas 23 yard field goal,3,3
,0:19,Texans,Domanick Williams 3 yard pass from David Carr (Kris Brown kick),10,3
3.0,3:07,Titans,Adam Jones 52 yard punt return (Rob Bironas kick),10,10
4.0,0:10,Titans,Rob Bironas 21 yard field goal,10,13
