Quarter,Time,Tm,Detail,STL,NOR
1.0,8:25,Saints,Marques Colston 5 yard pass from Drew Brees (Garrett Hartley kick),0,7
,0:24,Saints,Marques Colston 17 yard pass from Drew Brees (Garrett Hartley kick),0,14
2.0,11:20,Rams,Josh Brown 38 yard field goal,3,14
,1:42,Rams,Josh Brown 45 yard field goal,6,14
,0:47,Saints,Malcolm Jenkins 96 yard interception return (Garrett Hartley kick),6,21
3.0,4:55,Saints,Lance Moore 31 yard pass from Drew Brees (Garrett Hartley kick),6,28
4.0,14:10,Saints,Garrett Hartley 40 yard field goal,6,31
,5:23,Rams,Sam Bradford 1 yard rush (Josh Brown kick),13,31
