Quarter,Time,Down,ToGo,Location,STL,NOR,Detail,EPB,EPA
1,8:22,1,10,STL 18,0,7,Steven Jackson right guard for 4 yards (tackle by Jonathan Vilma and Danny Clark),0.040,0.140
1,7:48,2,6,STL 22,0,7,Sam Bradford pass complete short right to Daniel Fells for 10 yards (tackle by Jabari Greer),0.140,1.070
1,7:06,1,10,STL 32,0,7,Sam Bradford pass incomplete deep right intended for Brandon Gibson,1.070,0.530
1,6:59,2,10,STL 32,0,7,"Steven Jackson left tackle for 20 yards (tackle by Roman Harper). Steven Jackson fumbles (forced by Roman Harper), recovered by Jabari Greer at NOR-39 (tackle by Laurent Robinson)",0.530,-1.530
1,6:50,1,10,NOR 39,0,7,Pierre Thomas left guard for no gain (tackle by Darell Scott),1.530,0.990
1,6:17,2,10,NOR 39,0,7,Chris Ivory right end for 2 yards (tackle by Chris Chamberlain),0.990,0.560
1,5:39,3,8,NOR 41,0,7,Drew Brees pass complete short left to Lance Moore for 12 yards (tackle by Bradley Fletcher),0.560,2.460
1,4:59,1,10,STL 47,0,7,Drew Brees pass complete short right to Reggie Bush for 4 yards (tackle by Chris Chamberlain),2.460,2.450
1,4:29,2,6,STL 43,0,7,Reggie Bush right end for 3 yards (tackle by Craig Dahl),2.450,2.150
1,3:56,3,3,STL 40,0,7,Drew Brees pass complete short right to Reggie Bush for 6 yards (tackle by Quincy Butler and Kevin Dockery),2.150,3.310
1,3:19,1,10,STL 34,0,7,Chris Ivory right end for 18 yards (tackle by Craig Dahl),3.310,4.510
1,2:48,1,10,STL 16,0,7,Chris Ivory right guard for 4 yards (tackle by James Laurinaitis),4.510,4.570
1,2:11,2,6,STL 12,0,7,Drew Brees pass complete short right to Pierre Thomas for 9 yards (tackle by James Laurinaitis and Bryan Kehl),4.570,6.510
1,1:22,1,3,STL 3,0,7,Drew Brees pass incomplete short right intended for Marques Colston (defended by Quincy Butler),6.510,5.530
1,1:17,2,3,STL 3,0,7,Pierre Thomas right tackle for 1 yard,5.530,4.950
1,0:34,3,2,STL 2,0,7,"Drew Brees pass complete short right to Jimmy Graham for 2 yards. Penalty on David Thomas: Unsportsmanlike Conduct, 15 yards (no play)",4.950,2.740
1,0:28,3,17,STL 17,0,13,"Drew Brees pass complete deep middle to Marques Colston for 17 yards, touchdown",2.740,7.000
1,,,,STL 2,0,14,Garrett Hartley kicks extra point good,0.000,0.000
1,,,,NOR 30,0,14,"Thomas Morstead kicks off 73 yards, returned by Danny Amendola for 23 yards (tackle by Marvin Mitchell)",0.000,0.280
1,0:19,1,10,STL 20,0,14,Brandon Gibson left end for 13 yards (tackle by Malcolm Jenkins),0.280,1.140
Quarter,Time,Down,ToGo,Location,STL,NOR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,STL 33,0,14,Sam Bradford pass complete short middle to Daniel Fells for 7 yards (tackle by Jonathan Vilma),1.140,1.540
2,14:27,2,3,STL 40,0,14,Steven Jackson right tackle for 10 yards (tackle by Darren Sharper),1.540,2.260
2,13:56,1,10,,0,14,Steven Jackson left guard for 6 yards (tackle by Jonathan Vilma and Anthony Hargrove),2.260,2.520
2,13:18,2,4,NOR 44,0,14,Sam Bradford pass complete short middle to Steven Jackson for 19 yards (tackle by Malcolm Jenkins),2.520,3.910
2,12:41,1,10,NOR 25,0,14,Sam Bradford for 4 yards (tackle by Danny Clark),3.910,3.900
2,12:11,2,6,NOR 21,0,14,Keith Toston left tackle for 2 yards (tackle by Roman Harper and Sedrick Ellis),3.900,3.490
2,11:29,3,4,NOR 19,0,14,Sam Bradford pass incomplete short right intended for Brandon Gibson,3.490,2.260
2,11:24,4,4,NOR 19,3,14,Josh Brown 38 yard field goal good,2.260,3.000
2,,,,STL 30,3,14,"Josh Brown kicks off 72 yards, returned by Courtney Roby for 21 yards (tackle by Chris Chamberlain)",0.000,0.150
2,11:15,1,10,NOR 19,3,14,Drew Brees pass incomplete short right intended for Jeremy Shockey,0.150,-0.390
2,11:09,2,10,NOR 19,3,14,Reggie Bush left end for 9 yards (tackle by Darian Stewart),-0.390,0.100
2,10:29,3,1,NOR 28,3,14,Drew Brees pass complete short right to Lance Moore for 5 yards (tackle by Bradley Fletcher),0.100,1.140
2,10:03,1,10,NOR 33,3,14,"Reggie Bush left guard for 13 yards (tackle by O.J. Atogwe). Penalty on O.J. Atogwe: Personal Foul, 15 yards",1.140,2.980
2,9:39,1,10,STL 39,3,14,Drew Brees pass incomplete deep left intended for Robert Meachem,2.980,2.440
2,9:32,2,10,STL 39,3,14,Drew Brees pass complete short right to Pierre Thomas for 6 yards (tackle by Gary Gibson),2.440,2.540
2,8:49,3,4,STL 33,3,14,Drew Brees pass complete short left to Reggie Bush for no gain,2.540,1.180
2,8:07,4,4,STL 33,3,14,Drew Brees pass incomplete short left intended for Robert Meachem,1.180,-1.200
2,8:03,1,10,STL 34,3,14,"Sam Bradford sacked by Jonathan Vilma for -22 yards. Sam Bradford fumbles (forced by Jonathan Vilma), recovered by Steven Jackson at STL-12",1.200,-2.390
2,7:17,2,32,STL 12,3,14,Sam Bradford pass complete short right to Steven Jackson for 16 yards (tackle by Malcolm Jenkins),-2.390,-0.820
2,6:39,3,16,STL 28,3,14,Sam Bradford pass complete short middle to Danny Amendola for 10 yards (tackle by Marvin Mitchell),-0.820,-0.850
2,5:54,4,6,STL 38,3,14,"Donnie Jones punts 49 yards, fair catch by Reggie Bush",-0.850,0.320
2,5:46,1,10,NOR 13,3,14,Reggie Bush right end for 4 yards (tackle by Bradley Fletcher),-0.320,-0.300
2,5:06,2,6,NOR 17,3,14,Drew Brees pass incomplete short right intended for Marques Colston,-0.300,-0.940
2,5:00,3,6,NOR 17,3,14,Drew Brees pass complete short middle to Jimmy Graham for 21 yards (tackle by Craig Dahl),-0.940,1.470
2,4:13,1,10,NOR 38,3,14,Drew Brees pass complete short right to Jeremy Shockey for 7 yards (tackle by Bryan Kehl and Bradley Fletcher),1.470,1.870
2,3:38,2,3,NOR 45,3,14,Drew Brees pass complete short right to Marques Colston for 7 yards (tackle by Kevin Dockery),1.870,2.390
2,3:02,1,10,STL 48,3,14,Drew Brees pass incomplete short left intended for Marques Colston,2.390,1.850
2,2:56,2,10,STL 48,3,14,Drew Brees pass incomplete short right intended for Marques Colston is intercepted by Bradley Fletcher at STL-35 and returned for 8 yards,1.850,-1.800
2,2:48,1,10,STL 43,3,14,"Penalty on Remi Ayodele: Encroachment, 5 yards (no play)",1.800,2.530
2,2:48,1,5,STL 48,3,14,Steven Jackson left end for 2 yards (tackle by Danny Clark),2.530,2.200
2,2:14,2,3,,3,14,Sam Bradford pass complete short left to Brandon Gibson for 23 yards (tackle by Tracy Porter),2.200,3.780
2,2:00,1,10,NOR 27,3,14,Sam Bradford pass incomplete deep right intended for Danario Alexander (defended by Jabari Greer),3.780,3.230
2,1:55,2,10,NOR 27,3,14,Sam Bradford pass incomplete short right intended for Laurent Robinson (defended by Jabari Greer),3.230,2.540
2,1:51,3,10,NOR 27,3,14,Steven Jackson right guard for no gain (tackle by Alex Brown and Anthony Hargrove),2.540,1.670
2,1:47,,,,3,14,Timeout #1 by New Orleans Saints,0.000,1.670
2,1:47,4,10,NOR 27,6,14,Josh Brown 45 yard field goal good,1.670,3.000
2,,,,STL 30,6,14,"Josh Brown kicks off 71 yards, returned by Courtney Roby for 22 yards (tackle by Chris Chamberlain). Courtney Roby fumbles (forced by Chris Chamberlain), recovered by Darian Stewart at NOR-21",0.000,-4.170
2,1:37,1,10,NOR 21,6,14,Steven Jackson right guard for 6 yards (tackle by Jonathan Vilma and Remi Ayodele),4.170,4.550
2,1:02,2,4,NOR 15,6,20,"Sam Bradford pass incomplete short left intended for Brandon Gibson is intercepted by Malcolm Jenkins at NOR-4 and returned for 96 yards, touchdown",4.550,-7.000
2,,,,STL 2,6,21,Garrett Hartley kicks extra point good,0.000,0.000
2,,,,NOR 30,6,21,"Thomas Morstead kicks off 73 yards, returned by Danny Amendola for 28 yards (tackle by Pierson Prioleau). Penalty on Anthony Waters: Face Mask (15 Yards), 15 yards",0.000,1.600
2,0:41,1,10,STL 40,6,21,Sam Bradford pass complete short left to Steven Jackson for 6 yards (tackle by Tracy Porter),1.600,1.860
2,0:37,2,4,STL 46,6,21,"Sam Bradford pass incomplete. Penalty on Sam Bradford: Intentional Grounding, 14 yards",1.860,-0.690
2,0:32,3,18,STL 32,6,21,Steven Jackson left guard for 13 yards (tackle by Alex Brown and Darren Sharper),-0.690,-0.390
2,0:24,,,,6,21,Timeout #2 by New Orleans Saints,0.000,-0.390
2,0:24,4,5,STL 45,6,21,Donnie Jones punts 54 yards,-0.390,0.380
2,0:12,1,10,NOR 1,6,21,Pierre Thomas left guard for 5 yards (tackle by James Hall),-0.380,-0.420
Quarter,Time,Down,ToGo,Location,STL,NOR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NOR 30,6,21,"Thomas Morstead kicks off 71 yards, returned by Danny Amendola for 25 yards (tackle by Anthony Hargrove)",0.000,0.540
3,14:55,1,10,STL 24,6,21,Steven Jackson left guard for 1 yard (tackle by Will Smith),0.540,0.130
3,14:20,2,9,STL 25,6,21,Sam Bradford pass incomplete short right intended for Laurent Robinson,0.130,-0.560
3,14:16,3,9,STL 25,6,21,Sam Bradford pass incomplete short left intended for Danny Amendola (defended by Malcolm Jenkins),-0.560,-1.700
3,14:12,4,9,STL 25,6,21,"Donnie Jones punts 58 yards, returned by Reggie Bush for 8 yards (tackle by Brit Miller)",-1.700,-0.610
3,13:59,1,10,NOR 25,6,21,Drew Brees pass incomplete short left intended for Marques Colston (defended by Quincy Butler),0.610,0.060
3,13:54,2,10,NOR 25,6,21,Reggie Bush right end for 3 yards (tackle by Chris Chamberlain and Bradley Fletcher),0.060,-0.230
3,13:18,3,7,NOR 28,6,21,Drew Brees pass incomplete short left intended for Marques Colston,-0.230,-1.500
3,13:12,4,7,NOR 28,6,21,"Thomas Morstead punts 50 yards, returned by Danny Amendola for 10 yards (tackle by Danny Clark)",-1.500,-1.070
3,13:01,1,10,STL 32,6,21,Sam Bradford pass complete short right to Daniel Fells for 9 yards (tackle by Will Smith),1.070,1.740
3,12:24,2,1,STL 41,6,21,Steven Jackson left tackle for 4 yards (tackle by Anthony Hargrove),1.740,1.930
3,11:49,1,10,STL 45,6,21,Sam Bradford pass complete short middle to Brandon Gibson for 32 yards (tackle by Malcolm Jenkins),1.930,4.040
3,11:07,1,10,NOR 23,6,21,Steven Jackson right guard for no gain (tackle by Roman Harper and Remi Ayodele),4.040,3.500
3,10:23,2,10,NOR 23,6,21,"Penalty on Rodger Saffold: False Start, 5 yards (no play)",3.500,2.820
3,10:02,2,15,NOR 28,6,21,Sam Bradford pass complete short right to Billy Bajema for no gain,2.820,2.150
3,9:17,3,15,NOR 28,6,21,Sam Bradford pass incomplete deep left intended for Laurent Robinson,2.150,1.590
3,9:11,4,15,NOR 28,6,21,Josh Brown 46 yard field goal no good,1.590,-1.330
3,9:06,1,10,NOR 36,6,21,Pierre Thomas left guard for no gain (tackle by James Laurinaitis),1.330,0.790
3,8:29,2,10,NOR 36,6,21,Drew Brees pass complete short left to Reggie Bush for 5 yards (tackle by Quincy Butler and Bryan Kehl),0.790,0.760
3,7:47,3,5,NOR 41,6,21,Drew Brees pass complete short middle to Lance Moore for 13 yards (tackle by Craig Dahl),0.760,2.520
3,7:03,1,10,STL 46,6,21,Drew Brees pass incomplete deep right intended for Robert Meachem,2.520,1.980
3,6:55,2,10,STL 46,6,21,Reggie Bush left end for no gain (tackle by Chris Chamberlain),1.980,1.290
3,6:14,3,10,STL 46,6,21,Drew Brees pass complete short left to Marques Colston for 11 yards (tackle by Craig Dahl and Quincy Butler),1.290,3.250
3,5:38,1,10,STL 35,6,21,Pierre Thomas left end for 4 yards (tackle by Chris Chamberlain),3.250,3.240
3,5:01,2,6,STL 31,6,27,"Drew Brees pass complete deep left to Lance Moore for 31 yards, touchdown",3.240,7.000
3,,,,STL 2,6,28,Garrett Hartley kicks extra point good,0.000,0.000
3,,,,NOR 30,6,28,"Thomas Morstead kicks off 67 yards, returned by Danny Amendola for 18 yards (tackle by Marvin Mitchell)",0.000,0.340
3,4:49,1,10,STL 21,6,28,Sam Bradford pass complete short left to Danny Amendola for -1 yards (tackle by Tracy Porter),0.340,-0.340
3,4:12,2,11,STL 20,6,28,Sam Bradford pass incomplete short left intended for Laurent Robinson (defended by Jabari Greer),-0.340,-1.020
3,4:07,3,11,STL 20,6,28,Sam Bradford sacked by Roman Harper for -10 yards,-1.020,-2.490
3,3:30,4,21,STL 10,6,28,"Donnie Jones punts 58 yards, returned by Reggie Bush for 8 yards (tackle by Mardy Gilyard)",-2.490,-1.600
3,3:17,1,10,NOR 40,6,28,Drew Brees pass complete short right to Jeremy Shockey for 9 yards (tackle by David Vobora),1.600,2.270
3,2:50,2,1,NOR 49,6,28,Reggie Bush right tackle for 2 yards (tackle by Chris Long),2.270,2.320
3,2:18,1,10,STL 49,6,28,Pierre Thomas right end for 14 yards (tackle by Craig Dahl and O.J. Atogwe),2.320,3.250
3,1:41,1,10,STL 35,6,28,Drew Brees left end for 7 yards (tackle by O.J. Atogwe),3.250,3.650
3,1:11,2,3,STL 28,6,28,Pierre Thomas left tackle for 4 yards (tackle by Bryan Kehl and Quincy Butler),3.650,3.970
3,0:34,1,10,STL 24,6,28,Drew Brees pass complete short middle to Pierre Thomas for 9 yards (tackle by James Laurinaitis),3.970,4.850
Quarter,Time,Down,ToGo,Location,STL,NOR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,1,STL 15,6,28,"Reggie Bush left end for 3 yards (tackle by Quincy Butler). Penalty on David Thomas: Offensive Holding, 10 yards",4.850,3.700
4,14:28,2,8,STL 22,6,28,Drew Brees pass incomplete deep right intended for Marques Colston,3.700,3.010
4,14:23,3,8,STL 22,6,28,Drew Brees pass incomplete,3.010,1.990
4,14:14,4,8,STL 22,6,31,Garrett Hartley 40 yard field goal good,1.990,3.000
4,,,,NOR 30,6,31,"Thomas Morstead kicks off 70 yards, returned by Danny Amendola for 20 yards (tackle by Jeff Charleston)",0.000,0.280
4,14:05,1,10,STL 20,6,31,Sam Bradford pass complete short middle to Brandon Gibson for 7 yards (tackle by Scott Shanle and Roman Harper),0.280,0.680
4,13:30,2,3,STL 27,6,31,Steven Jackson left guard for 10 yards (tackle by Roman Harper and Darren Sharper),0.680,1.400
4,12:59,1,10,STL 37,6,31,Sam Bradford pass complete deep right to Laurent Robinson for 29 yards (tackle by Jabari Greer),1.400,3.310
4,12:34,1,10,NOR 34,6,31,Steven Jackson right guard for 19 yards (tackle by Darren Sharper),3.310,4.580
4,12:01,1,10,NOR 15,6,31,Steven Jackson right guard for 1 yard (tackle by Will Smith and Sedrick Ellis),4.580,4.110
4,11:27,2,9,NOR 14,6,31,Sam Bradford pass complete short right to Danny Amendola for 7 yards (tackle by Roman Harper),4.110,4.680
4,10:49,3,2,NOR 7,6,31,Sam Bradford pass incomplete short right intended for Laurent Robinson is intercepted by Malcolm Jenkins and returned for 9 yards,4.680,0.380
4,10:41,1,10,NOR 8,6,31,Drew Brees pass incomplete short right intended for Marques Colston,-0.380,-0.780
4,10:37,2,10,NOR 8,6,31,Reggie Bush left guard for 2 yards (tackle by Darell Scott),-0.780,-1.190
4,9:52,3,8,NOR 10,6,31,Drew Brees pass incomplete deep right intended for Lance Moore is intercepted by Craig Dahl at 50,-1.190,-2.260
4,9:44,1,10,,6,31,Sam Bradford pass complete short left to Steven Jackson for -3 yards (tackle by Jonathan Vilma),2.260,1.310
4,9:12,2,13,STL 47,6,31,Sam Bradford pass complete short right to Brandon Gibson for 5 yards (tackle by Jonathan Vilma),1.310,1.290
4,8:29,3,8,NOR 48,6,31,Sam Bradford pass complete short right to Keith Toston for 23 yards (tackle by Scott Shanle),1.290,3.910
4,7:55,1,10,NOR 25,6,31,Sam Bradford sacked by Jeff Charleston for -8 yards,3.910,2.280
4,7:22,2,18,NOR 33,6,31,Sam Bradford pass incomplete (defended by Jeff Charleston),2.280,1.620
4,7:16,3,18,NOR 33,6,31,Sam Bradford pass incomplete short middle intended for Danny Amendola (defended by Roman Harper),1.620,1.150
4,7:13,4,18,NOR 33,6,31,Sam Bradford pass complete deep right to Laurent Robinson for 32 yards (tackle by Jabari Greer),1.150,6.970
4,6:30,,,,6,31,Timeout #1 by Los Angeles Rams,0.000,6.970
4,6:30,1,1,NOR 1,6,31,Steven Jackson right guard for no gain (tackle by Jimmy Wilkerson and Danny Clark),6.970,5.910
4,5:56,2,1,NOR 1,6,31,Sam Bradford pass incomplete,5.910,5.170
4,5:48,3,1,NOR 1,6,31,Steven Jackson left end for no gain (tackle by Marvin Mitchell and Jonathan Vilma),5.170,3.550
,,,,,,,"STL challenged the fumble ruling, and the original play was overturned.",,
4,5:26,4,1,NOR 1,12,31,"Sam Bradford right guard for 1 yard, touchdown",3.550,7.000
4,,,,NOR 2,13,31,Josh Brown kicks extra point good,0.000,0.000
4,,,,STL 30,13,31,Josh Brown kicks onside 13 yards,0.000,2.720
4,5:23,1,10,STL 43,13,31,Pierre Thomas right guard for 6 yards (tackle by James Laurinaitis and Bradley Fletcher),2.720,2.990
4,4:38,2,4,STL 37,13,31,Pierre Thomas right tackle for 3 yards (tackle by Darell Scott and Eugene Sims),2.990,2.680
4,3:53,3,1,STL 34,13,31,Pierre Thomas right guard for 1 yard (tackle by Larry Grant),2.680,3.380
4,3:10,1,10,STL 33,13,31,Pierre Thomas left tackle for no gain (tackle by O.J. Atogwe and Darell Scott),3.380,2.840
4,3:04,,,,13,31,Timeout #2 by Los Angeles Rams,0.000,2.840
4,3:04,2,10,STL 33,13,31,Pierre Thomas left end for 1 yard (tackle by O.J. Atogwe),2.840,2.280
4,2:58,,,,13,31,Timeout #3 by Los Angeles Rams,0.000,2.280
4,2:58,3,9,STL 32,13,31,Drew Brees sacked by Darian Stewart for -8 yards,2.280,0.590
4,2:15,,,,13,31,Timeout #1 by New Orleans Saints,0.000,0.590
4,2:15,4,17,STL 40,13,31,"Thomas Morstead punts 40 yards, touchback. Penalty on Anthony Waters: Offensive Holding, 10 yards",0.590,-0.940
4,2:08,1,10,STL 30,13,31,Keith Toston left tackle for 9 yards (tackle by Jimmy Wilkerson),0.940,1.610
4,2:00,2,1,STL 39,13,31,Keith Toston left tackle for 10 yards (tackle by Jimmy Wilkerson),1.610,2.190
4,1:29,1,10,STL 49,13,31,"Keith Toston right tackle for 7 yards (tackle by Marvin Mitchell and Jeff Charleston). Penalty on Danario Alexander: Illegal Motion, 5 yards (no play)",2.190,1.860
4,1:23,1,15,STL 44,13,31,Keith Toston right tackle for 3 yards (tackle by Jeff Charleston and Anthony Hargrove),1.860,1.380
4,0:46,2,12,STL 47,13,31,Keith Toston right tackle for -2 yards (tackle by Anthony Hargrove),1.380,0.430
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
