Unnamed: 0,STL,NOR
First Downs,14,22
Rush-Yds-TDs,24-136-1,29-132-0
Cmp-Att-Yd-TD-INT,18-32-231-0-2,25-40-221-3-2
Sacked-Yards,3-40,1-8
Net Pass Yards,191,213
Total Yards,327,345
Fumbles-Lost,2-1,1-1
Turnovers,3,3
Penalties-Yards,4-39,5-55
Third Down Conv.,1-11,11-16
Fourth Down Conv.,2-2,0-1
Time of Possession,26:59,33:01
