Quarter,Time,Down,ToGo,Location,NWE,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss, Patriots to receive the opening kickoff.",,
1,15:00,,,PHI 30,0,0,"David Akers kicks off 67 yards, returned by Bethel Johnson for 23 yards (tackle by Ike Reese)",0.000,0.670
1,14:53,1,10,NWE 26,0,0,Tom Brady pass complete to Troy Brown for 6 yards (tackle by Carlos Emmons),0.670,0.940
1,14:13,2,4,NWE 32,0,0,Tom Brady pass incomplete intended for Troy Brown,0.940,0.230
1,14:13,3,4,NWE 32,0,0,"Penalty on Darwin Walker: Encroachment, 5 yards (no play)",0.230,1.400
1,14:11,1,10,NWE 37,0,0,Tom Brady pass incomplete intended for Christian Fauria (defended by Mark Simoneau),1.400,0.860
1,14:07,2,10,NWE 37,0,0,Tom Brady pass complete to Troy Brown for 6 yards (tackle by Nate Wayne),0.860,0.960
1,13:24,3,4,NWE 43,0,0,"Tom Brady pass complete to Larry Centers for 6 yards (tackle by Nate Wayne). Penalty on Nate Wayne: Face Mask (5 Yards), 5 yards",0.960,2.520
1,13:02,1,10,PHI 46,0,0,Kevin Faulk left tackle for 3 yards (tackle by Michael Lewis and Keith Adams),2.520,2.380
1,12:30,2,7,PHI 43,0,0,Kevin Faulk left tackle for 3 yards (tackle by Hollis Thomas),2.380,2.080
1,11:50,3,4,PHI 40,0,0,Tom Brady pass incomplete intended for Fred Baxter,2.080,0.590
1,11:42,4,4,PHI 40,0,0,Ken Walter punts 37 yards,0.590,0.380
1,11:32,1,10,PHI 3,0,0,Donovan McNabb for 14 yards (tackle by Tedy Bruschi),-0.380,-0.060
1,11:02,1,10,PHI 17,0,0,Donovan McNabb pass incomplete intended for Chad Lewis (defended by Rodney Harrison),-0.060,-0.580
1,10:57,2,10,PHI 17,0,0,Donovan McNabb sacked by Rosevelt Colvin for -1 yards. Penalty on Jon Runyan: Clipping (Declined),-0.580,-1.410
1,10:39,3,11,PHI 16,0,0,Donovan McNabb pass incomplete intended for James Thrash,-1.410,-2.390
1,10:35,4,11,PHI 16,0,0,"Dirk Johnson punts 56 yards, returned by Troy Brown for 9 yards (tackle by Roderick Hood)",-2.390,-1.400
1,10:25,1,10,NWE 37,0,0,Kevin Faulk left guard for 9 yards (tackle by Hollis Thomas and Michael Lewis),1.400,2.070
1,9:49,2,1,NWE 46,0,0,Antowain Smith up the middle for no gain (tackle by Corey Simon),2.070,1.360
1,9:49,3,1,NWE 46,0,0,"Penalty on Adrian Klemm: False Start, 5 yards (no play)",1.360,0.700
1,8:35,3,6,NWE 41,0,0,Tom Brady pass incomplete intended for Larry Centers (defended by Clinton Hart),0.700,-0.650
1,8:31,4,6,NWE 41,0,0,Ken Walter punts 26 yards,-0.650,-1.140
1,8:24,1,10,PHI 33,0,0,Brian Westbrook left tackle for 1 yard (tackle by Ted Washington),1.140,0.730
1,7:47,2,9,PHI 34,0,0,Donovan McNabb pass incomplete intended for Chad Lewis (defended by Tedy Bruschi),0.730,0.040
1,7:42,3,9,PHI 34,0,0,"Donovan McNabb pass complete to Chad Lewis for no gain. Penalty on Hank Fraley: Offensive Holding, 10 yards (no play)",0.040,-1.290
1,7:11,3,19,PHI 24,0,0,Donovan McNabb pass complete to Duce Staley for 8 yards (tackle by Roman Phifer),-1.290,-1.240
1,6:44,4,11,PHI 32,0,0,"Dirk Johnson punts 55 yards, returned by Troy Brown for 11 yards (tackle by Roderick Hood)",-1.240,-0.540
1,6:33,1,10,NWE 24,0,0,Tom Brady pass complete to Troy Brown for 6 yards (tackle by Clinton Hart),0.540,0.810
1,6:04,2,4,NWE 30,0,0,Tom Brady pass complete to Kevin Faulk for 25 yards (tackle by Troy Vincent),0.810,2.590
1,5:34,1,10,PHI 45,0,0,Tom Brady pass complete to Troy Brown for 1 yard (tackle by Lito Sheppard),2.590,2.180
1,4:59,2,9,PHI 44,0,0,Kevin Faulk right tackle for -2 yards (tackle by Ike Reese),2.180,1.220
1,4:16,3,11,PHI 46,0,0,Tom Brady pass complete to Deion Branch for 15 yards (tackle by Troy Vincent),1.220,3.510
1,3:38,1,10,PHI 31,0,0,Kevin Faulk right guard for 6 yards (tackle by Marco Coleman),3.510,3.780
1,3:07,2,4,PHI 25,0,0,Tom Brady pass complete to Troy Brown for 6 yards (tackle by Mark Simoneau),3.780,4.310
1,2:28,1,10,PHI 19,0,0,Tom Brady pass incomplete intended for Kevin Faulk (defended by Mark Simoneau),4.310,3.750
1,2:22,2,10,PHI 19,0,0,Tom Brady pass complete to David Patten for no gain,3.750,3.030
1,1:40,3,10,PHI 19,0,0,Tom Brady pass complete to Deion Branch for 9 yards (tackle by Lito Sheppard),3.030,2.910
1,1:14,4,1,PHI 10,3,0,Adam Vinatieri 27 yard field goal good,2.910,3.000
1,,,,NWE 30,3,0,"Adam Vinatieri kicks off 61 yards, returned by Brian Westbrook for 24 yards (tackle by Eugene Wilson)",0.000,1.140
1,1:06,1,10,PHI 33,3,0,Donovan McNabb pass complete to Todd Pinkston for 13 yards (tackle by Tyrone Poole),1.140,1.990
1,0:42,1,10,PHI 46,3,0,Brian Westbrook left end for 7 yards (tackle by Tedy Bruschi),1.990,2.400
1,0:15,2,3,NWE 47,3,0,Donovan McNabb pass incomplete intended for Jon Ritchie (defended by Richard Seymour),2.400,1.690
1,0:11,3,3,NWE 47,3,0,"Brian Westbrook left end for no gain (tackle by Tyrone Poole). Penalty on Tyrone Poole: Face Mask (15 Yards), 15 yards",1.690,3.450
Quarter,Time,Down,ToGo,Location,NWE,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NWE 32,3,0,Donovan McNabb pass complete to Correll Buckhalter for 21 yards (tackle by Mike Vrabel),3.450,4.840
2,14:26,1,10,NWE 11,3,0,Donovan McNabb pass incomplete intended for James Thrash,4.840,4.140
2,14:23,2,10,NWE 11,3,0,Brian Westbrook right end for 9 yards (tackle by Ty Law),4.140,5.120
2,14:07,,,,3,0,Timeout #1 by Philadelphia Eagles,0.000,0.000
2,14:07,,,,3,0,Timeout #1 by New England Patriots,0.000,5.120
2,14:07,3,1,NWE 2,3,6,"Duce Staley left guard for 2 yards, touchdown",5.120,7.000
2,,,,NWE 2,3,7,David Akers kicks extra point good,0.000,0.000
2,,,,PHI 30,3,7,"David Akers kicks off 63 yards, returned by Bethel Johnson for 19 yards (tackle by Ike Reese)",0.000,0.670
2,13:54,1,10,NWE 26,3,7,Tom Brady pass complete to Deion Branch for 14 yards (tackle by Clinton Hart),0.670,1.600
2,13:21,1,10,NWE 40,3,7,Antowain Smith up the middle for 3 yards (tackle by Hollis Thomas and Carlos Emmons),1.600,1.460
2,12:46,2,7,NWE 43,3,7,Tom Brady pass complete to Antowain Smith for 8 yards (tackle by Clinton Hart),1.460,2.320
2,11:24,1,10,PHI 49,3,7,Tom Brady up the middle for 3 yards (tackle by Darwin Walker),2.320,2.190
2,10:43,2,7,PHI 46,3,7,Antowain Smith left tackle for 2 yards (tackle by Paul Grasmanis and Carlos Emmons),2.190,1.750
2,10:33,3,5,PHI 44,3,7,Tom Brady pass complete to Deion Branch for 16 yards (tackle by Lito Sheppard),1.750,3.710
2,10:13,1,10,PHI 28,3,7,Tom Brady pass incomplete intended for David Patten,3.710,3.170
2,10:10,2,10,PHI 28,3,7,Tom Brady pass complete to Larry Centers for 6 yards (tackle by Mark Simoneau),3.170,3.270
2,9:58,3,4,PHI 22,3,7,Tom Brady pass incomplete intended for David Patten (defended by Sheldon Brown),3.270,2.070
2,9:22,4,4,PHI 22,3,7,"Ken Walter for no gain. Ken Walter fumbles, recovered by Ken Walter at NWE-PHI",2.070,-1.660
2,9:17,1,10,PHI 41,3,7,"Donovan McNabb sacked by Ted Washington for -5 yards. Donovan McNabb fumbles (forced by Ted Washington), recovered by Rosevelt Colvin at PHI-36 and returned for 1 yards (tackle by Correll Buckhalter)",1.660,-3.250
2,9:11,1,10,PHI 35,3,7,Tom Brady pass incomplete intended for Fred Baxter (defended by Nate Wayne),3.250,2.700
2,9:06,,,,3,7,Timeout #2 by New England Patriots,0.000,2.700
2,9:05,2,10,PHI 35,3,7,Tom Brady pass complete to Kevin Faulk for 27 yards (tackle by Michael Lewis),2.700,5.370
2,8:37,1,8,PHI 8,3,7,Antowain Smith left tackle for no gain (tackle by Marco Coleman),5.370,4.570
2,8:04,2,8,PHI 8,9,7,"Tom Brady pass complete to Christian Fauria for 8 yards, touchdown",4.570,7.000
2,,,,PHI 2,10,7,Adam Vinatieri kicks extra point good,0.000,0.000
2,,,,NWE 30,10,7,"Adam Vinatieri kicks off 71 yards, returned by Brian Westbrook for 22 yards (tackle by Larry Izzo)",0.000,0.340
2,7:55,1,10,PHI 21,10,7,Donovan McNabb for 11 yards,0.340,1.070
2,7:22,1,10,PHI 32,10,7,Brian Westbrook left tackle for 7 yards (tackle by Ted Washington),1.070,1.470
2,6:38,2,3,PHI 39,10,7,Donovan McNabb pass complete to Brian Westbrook for 7 yards (tackle by Rodney Harrison),1.470,1.990
2,5:56,1,10,PHI 46,10,7,Donovan McNabb pass incomplete intended for Todd Pinkston (defended by Tyrone Poole),1.990,1.450
2,5:49,2,10,PHI 46,10,7,Donovan McNabb right tackle for 2 yards (tackle by Richard Seymour),1.450,1.030
2,5:03,3,8,PHI 48,10,7,Donovan McNabb pass incomplete intended for James Thrash,1.030,-0.190
2,4:59,4,8,PHI 48,10,7,"Dirk Johnson punts 32 yards, returned by Troy Brown for 7 yards (tackle by Roderick Hood)",-0.190,-0.740
2,4:52,1,10,NWE 27,10,7,Tom Brady pass complete to Kevin Faulk for no gain,0.740,0.200
