Quarter,Time,Tm,Detail,NWE,PHI
1.0,1:10,Patriots,Adam Vinatieri 27 yard field goal,3,0
2.0,14:00,Eagles,Duce Staley 2 yard rush (David Akers kick),3,7
,7:59,Patriots,Christian Fauria 8 yard pass from Tom Brady (Adam Vinatieri kick),10,7
,2:09,Patriots,Christian Fauria 5 yard pass from Tom Brady (Adam Vinatieri kick),17,7
3.0,7:02,Patriots,Deion Branch 26 yard pass from Tom Brady (Adam Vinatieri kick),24,7
4.0,10:48,Eagles,David Akers 57 yard field goal,24,10
,5:02,Patriots,Tedy Bruschi 18 yard interception return (Adam Vinatieri kick),31,10
