0,1
Game Info,Game Info
Won Toss,Rams
Roof,outdoors
Surface,fieldturf
Duration,3:05
Attendance,68164
Weather,"52 degrees, relative humidity 85%, wind 11 mph, wind chill 0"
Vegas Line,Seattle Seahawks -7.5
Over/Under,39.5 (under)
