Quarter,Time,Down,ToGo,Location,STL,SEA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,SEA 30,0,0,"Josh Brown kicks off 63 yards, returned by Brandon Williams for 23 yards (tackle by Michael Green)",0.000,0.940
1,14:54,1,10,STL 30,0,0,Brian Leonard left tackle for no gain (tackle by Brandon Mebane),0.940,0.390
1,14:19,2,10,STL 30,0,0,Brian Leonard right tackle for 8 yards (tackle by Marcus Trufant),0.390,0.760
1,13:40,3,2,STL 38,0,0,Marc Bulger pass incomplete short right intended for Randy McMichael,0.760,-0.850
1,13:37,4,2,STL 38,0,0,"Donnie Jones punts 39 yards, returned by Nate Burleson for 6 yards (tackle by Tim McGarigle)",-0.850,-0.870
1,13:25,1,10,SEA 29,0,0,Matt Hasselbeck pass complete short right to Will Heller for 6 yards (tackle by Will Witherspoon),0.870,1.140
1,12:51,2,4,SEA 35,0,0,Matt Hasselbeck pass complete short right to Nate Burleson for 12 yards (tackle by Fakhir Brown),1.140,2.060
1,12:19,1,10,SEA 47,0,0,Shaun Alexander left tackle for 4 yards (tackle by Corey Chavous),2.060,2.060
1,11:43,2,6,STL 49,0,0,Shaun Alexander up the middle for 7 yards (tackle by Will Witherspoon). Penalty on Adam Carriker: Defensive Offside (Declined),2.060,2.790
1,11:25,1,10,STL 42,0,0,Matt Hasselbeck pass complete short left to Leonard Weaver for 15 yards (tackle by Fakhir Brown),2.790,3.780
1,11:00,1,10,STL 27,0,0,Shaun Alexander right tackle for no gain (tackle by Will Witherspoon),3.780,3.230
1,10:15,2,10,STL 27,0,0,Maurice Morris right tackle for 14 yards (tackle by O.J. Atogwe),3.230,4.710
1,9:38,1,10,STL 13,0,0,Shaun Alexander right guard for 5 yards (tackle by Brandon Chillar),4.710,4.960
1,9:03,2,5,STL 8,0,0,Matt Hasselbeck pass complete short right to Bobby Engram for 4 yards (tackle by O.J. Atogwe),4.960,5.010
1,8:27,3,1,STL 4,0,0,Maurice Morris left end for 3 yards (tackle by Will Witherspoon),5.010,6.970
1,7:45,1,1,STL 1,0,6,"Matt Hasselbeck pass complete to Will Heller for 1 yard, touchdown",6.970,7.000
1,,,,STL 2,0,7,Josh Brown kicks extra point good,0.000,0.000
1,,,,SEA 30,0,7,"Josh Brown kicks off 73 yards, returned by Brandon Williams for 27 yards (tackle by Kevin Bentley)",0.000,0.540
1,7:35,1,10,STL 24,0,7,Brian Leonard left end for 17 yards (tackle by Kelly Jennings),0.540,1.660
1,6:55,1,10,STL 41,0,7,Marc Bulger pass incomplete short middle intended for Torry Holt,1.660,1.120
1,6:51,2,10,STL 41,0,7,"Penalty on Andy McCollum: False Start, 5 yards (no play)",1.120,0.450
1,6:51,2,15,STL 36,0,7,"Penalty on Milford Brown: False Start, 5 yards (no play)",0.450,-0.230
1,6:51,2,20,STL 31,0,7,Brian Leonard up the middle for -2 yards (tackle by Craig Terrill),-0.230,-1.150
1,6:16,3,22,STL 29,0,7,Marc Bulger pass incomplete short middle intended for Travis Minor,-1.150,-1.440
1,6:12,4,22,STL 29,0,7,"Donnie Jones punts 44 yards, returned by Nate Burleson for 12 yards (tackle by Travis Minor)",-1.440,-1.530
1,5:59,1,10,SEA 39,0,7,Matt Hasselbeck pass incomplete short left intended for Bobby Engram (defended by Fakhir Brown),1.530,0.990
1,5:57,2,10,SEA 39,0,7,Shaun Alexander right tackle for -1 yards (tackle by Pisa Tinoisamoa and Will Witherspoon),0.990,0.170
1,5:16,3,11,SEA 38,0,7,Matt Hasselbeck pass complete short right to Maurice Morris for 10 yards (tackle by Tye Hill),0.170,-0.190
1,4:37,4,1,SEA 48,0,7,Maurice Morris right tackle for no gain (tackle by Will Witherspoon),-0.190,-2.390
1,4:32,1,10,SEA 48,0,7,Brian Leonard right tackle for 1 yard (tackle by Patrick Kerney),2.390,1.980
1,3:57,2,9,SEA 47,0,7,Marc Bulger pass incomplete,1.980,1.290
1,3:52,3,9,SEA 47,0,7,Marc Bulger pass complete deep right to Isaac Bruce for 31 yards (tackle by Marcus Trufant),1.290,4.510
1,3:09,1,10,SEA 16,0,7,Brian Leonard up the middle for 12 yards (tackle by Julian Peterson),4.510,6.280
1,2:30,1,4,SEA 4,0,7,Brian Leonard up the middle for no gain (tackle by Patrick Kerney),6.280,5.340
1,1:48,2,4,SEA 4,0,7,Marc Bulger sacked by Julian Peterson for -9 yards,5.340,3.060
1,1:12,3,13,SEA 13,0,7,Marc Bulger pass incomplete short left intended for Torry Holt,3.060,2.570
1,1:06,4,13,SEA 13,3,7,Jeff Wilkins 31 yard field goal good,2.570,3.000
1,,,,STL 30,3,7,"Jeff Wilkins kicks off 42 yards, fair catch by Tom Ashworth",0.000,0.810
1,1:02,1,10,SEA 28,3,7,Matt Hasselbeck pass complete short middle to Bobby Engram for 15 yards (tackle by Ronald Bartell),0.810,1.800
1,0:30,1,10,SEA 43,3,7,Shaun Alexander right tackle for 4 yards (tackle by James Hall),1.800,1.790
Quarter,Time,Down,ToGo,Location,STL,SEA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,SEA 47,3,7,"Shaun Alexander right tackle for 22 yards (tackle by Tye Hill). Penalty on Sean Locklear: Offensive Holding, 10 yards (no play)",1.790,0.440
2,14:30,2,16,SEA 37,3,7,Matt Hasselbeck pass complete short left to Shaun Alexander for 18 yards (tackle by Fakhir Brown),0.440,2.590
2,13:47,1,10,STL 45,3,7,Matt Hasselbeck pass incomplete deep left intended for Ben Obomanu,2.590,2.040
2,13:41,2,10,STL 45,3,7,Leonard Weaver left end for 1 yard (tackle by Will Witherspoon),2.040,1.490
2,13:03,3,9,STL 44,3,7,Matt Hasselbeck pass complete short right to Courtney Taylor for 12 yards,1.490,3.450
2,12:32,1,10,STL 32,3,7,Shaun Alexander left tackle for 1 yard (tackle by Adam Carriker),3.450,3.040
2,11:54,2,9,STL 31,3,7,Matt Hasselbeck pass complete short right to Bobby Engram for 14 yards (tackle by Ronald Bartell),3.040,4.440
2,11:09,1,10,STL 17,3,7,Maurice Morris left end for -3 yards (tackle by James Hall),4.440,3.490
2,10:29,2,13,STL 20,3,7,Matt Hasselbeck pass incomplete deep middle intended for Ben Obomanu (defended by Corey Chavous),3.490,2.810
2,10:23,3,13,STL 20,3,7,Matt Hasselbeck pass incomplete short left intended for Nate Burleson,2.810,2.120
2,10:19,4,13,STL 20,3,10,Josh Brown 38 yard field goal good,2.120,3.000
2,,,,SEA 30,3,10,"Josh Brown kicks off 61 yards, returned by Brandon Williams for 23 yards (tackle by Niko Koutouvides)",0.000,1.070
2,10:08,1,10,STL 32,3,10,Marc Bulger pass incomplete deep right intended for Isaac Bruce is intercepted by Marcus Trufant at SEA-40,1.070,-1.600
2,10:03,1,10,SEA 40,3,10,Matt Hasselbeck pass complete deep right to Bobby Engram for 21 yards (tackle by Tye Hill),1.600,2.980
2,9:28,1,10,STL 39,3,10,Shaun Alexander right end for 1 yard (tackle by Pisa Tinoisamoa),2.980,2.580
2,8:51,2,9,STL 38,3,10,Matt Hasselbeck pass incomplete short middle intended for Nate Burleson,2.580,1.880
2,8:46,3,9,STL 38,3,10,Matt Hasselbeck pass incomplete deep right intended for Nate Burleson (defended by O.J. Atogwe). Penalty on Walter Jones: Offensive Holding (Declined),1.880,0.720
2,8:39,4,9,STL 38,3,10,Ryan Plackemeier punts 25 yards,0.720,0.320
2,8:32,1,10,STL 13,3,10,Brian Leonard up the middle for no gain (tackle by Brandon Mebane and Rocky Bernard),-0.320,-0.770
