Unnamed: 0,STL,SEA
First Downs,15,19
Rush-Yds-TDs,17-53-0,32-100-0
Cmp-Att-Yd-TD-INT,21-40-225-0-3,18-35-195-2-1
Sacked-Yards,7-57,1-6
Net Pass Yards,168,189
Total Yards,221,289
Fumbles-Lost,2-2,0-0
Turnovers,5,1
Penalties-Yards,8-45,4-25
Third Down Conv.,4-15,4-14
Fourth Down Conv.,0-0,0-1
Time of Possession,26:59,33:01
