Quarter,Time,Down,ToGo,Location,MIA,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss and deferred, Dolphins to receive the opening kickoff.",,
1,15:00,,,TEN 35,0,0,"Ryan Succop kicks off 66 yards, muffed catch by Damien Williams, recovered by Damien Williams at MIA-6, and returned for 14 yards",0.000,-0.280
1,14:53,1,10,MIA 20,0,0,Lamar Miller left guard for 4 yards (tackle by Derrick Morgan and Zach Brown),0.280,0.270
1,14:16,2,6,MIA 24,0,0,Lamar Miller right tackle for 14 yards (tackle by Da'Norris Searcy),0.270,1.470
1,13:39,1,10,MIA 38,0,0,Ryan Tannehill pass complete short right to Lamar Miller for 4 yards (tackle by Wesley Woodyard and Zach Brown),1.470,1.460
1,12:57,2,6,MIA 42,0,0,Lamar Miller left guard for 3 yards (tackle by DaQuan Jones),1.460,1.160
1,12:35,3,3,MIA 45,0,0,Ryan Tannehill pass complete short right to Rishard Matthews for 6 yards (tackle by Jason McCourty and Michael Griffin),1.160,2.320
1,11:55,1,10,TEN 49,0,0,Ryan Tannehill pass complete short right to Rishard Matthews for 22 yards (tackle by Da'Norris Searcy),2.320,3.780
1,11:14,1,10,TEN 27,0,0,"Damien Williams left guard for no gain (tackle by Wesley Woodyard). Penalty on Angelo Blackson: Defensive Offside, 5 yards (no play)",3.780,4.510
1,10:48,1,5,TEN 22,6,0,"Jarvis Landry right end for 22 yards, touchdown",4.510,7.000
1,10:48,,,TEN 22,7,0,Andrew Franks kicks extra point good,0.000,0.000
1,10:48,,,MIA 35,7,0,"Andrew Franks kicks off 65 yards, touchback",0.000,-0.280
1,10:39,1,10,TEN 20,7,0,Marcus Mariota pass complete short left to Kendall Wright for -3 yards (tackle by Olivier Vernon and Earl Mitchell),0.280,-0.790
1,10:01,2,13,TEN 17,7,0,Marcus Mariota pass complete short middle to Delanie Walker for 13 yards (tackle by Michael Thomas and Reshad Jones),-0.790,0.940
1,9:21,1,10,TEN 30,7,0,Marcus Mariota pass complete short right to Harry Douglas for 11 yards (tackle by Brent Grimes),0.940,1.660
1,8:44,1,10,TEN 41,7,0,Dexter McCluster right end for 16 yards (tackle by Brice McCain and Koa Misi),1.660,2.720
1,8:02,1,10,MIA 43,7,0,Dexter McCluster right end for 4 yards (tackle by Reshad Jones),2.720,2.720
1,7:22,2,6,MIA 39,7,0,Marcus Mariota pass complete short right to Dorial Green-Beckham for 13 yards,2.720,3.840
1,7:00,1,10,MIA 26,7,0,Dexter McCluster right end for -1 yards (tackle by Koa Misi),3.840,3.160
1,6:19,2,11,MIA 27,7,0,Antonio Andrews middle for 8 yards (tackle by Koa Misi),3.160,3.570
1,5:37,3,3,MIA 19,7,0,Marcus Mariota pass incomplete short left intended for Dorial Green-Beckham,3.570,2.280
1,5:33,4,3,MIA 19,7,3,Ryan Succop 37 yard field goal good,2.280,3.000
1,5:33,,,TEN 35,7,3,"Ryan Succop kicks off 65 yards, touchback",0.000,-0.280
1,5:28,1,10,MIA 20,7,3,Lamar Miller left guard for 6 yards (tackle by Derrick Morgan),0.280,0.540
1,4:54,2,4,MIA 26,7,3,"Ryan Tannehill left end for 18 yards (tackle by Da'Norris Searcy). Penalty on Jordan Cameron: Offensive Holding, 10 yards (no play)",0.540,-0.940
1,4:24,2,14,MIA 16,7,3,Ryan Tannehill pass complete short left to Rishard Matthews for 15 yards (tackle by Blidi Wreh-Wilson),-0.940,1.000
1,3:53,1,10,MIA 31,7,3,Ryan Tannehill right end for 10 yards (tackle by Wesley Woodyard),1.000,1.660
1,3:16,1,10,MIA 41,7,3,Lamar Miller right guard for 4 yards (tackle by Zach Brown),1.660,1.660
1,2:40,2,6,MIA 45,7,3,Lamar Miller right end for 22 yards (tackle by Zach Brown),1.660,3.380
1,1:54,1,10,TEN 33,7,3,Ryan Tannehill pass complete short left to Jarvis Landry for 19 yards (tackle by Da'Norris Searcy),3.380,4.650
1,1:14,1,10,TEN 14,7,3,Jonas Gray right end for -3 yards (tackle by Al Woods),4.650,3.590
1,0:29,2,13,TEN 17,7,3,Ryan Tannehill pass incomplete short right intended for Jordan Cameron (defended by Jurrell Casey),3.590,2.930
1,0:26,3,13,TEN 17,7,3,Ryan Tannehill pass complete short left to Jarvis Landry for 10 yards (tackle by Wesley Woodyard and Zach Brown),2.930,2.930
1,0:11,3,13,TEN 17,7,3,Timeout #1 by Miami Dolphins,2.930,2.990
1,0:11,4,3,TEN 7,7,3,"Penalty on Ryan Tannehill: Delay of Game, 5 yards (no play)",2.990,2.630
1,0:11,4,8,TEN 12,10,3,Andrew Franks 30 yard field goal good,2.630,3.000
1,0:11,,,MIA 35,10,3,"Andrew Franks kicks off 65 yards, touchback",0.000,-0.280
1,0:06,1,10,TEN 20,10,3,Marcus Mariota pass complete short right to Delanie Walker for 15 yards (tackle by Michael Thomas),0.280,1.270
Quarter,Time,Down,ToGo,Location,MIA,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,TEN 35,10,3,"Antonio Andrews right guard for 4 yards (tackle by Kelvin Sheppard). Penalty on Brice McCain: Unnecessary Roughness, 15 yards",1.270,2.520
2,14:27,1,10,MIA 46,10,3,Antonio Andrews left tackle for 5 yards (tackle by Michael Thomas),2.520,2.650
2,13:50,2,5,MIA 41,10,3,Marcus Mariota sacked by Cameron Wake for -7 yards,2.650,1.030
2,13:06,3,12,MIA 48,10,3,"Marcus Mariota pass incomplete short right intended for Kendall Wright. Penalty on Olivier Vernon: Roughing the Passer, 15 yards (no play)",1.030,3.380
2,13:01,1,10,MIA 33,10,3,Bishop Sankey left tackle for 3 yards (tackle by Olivier Vernon),3.380,3.240
2,12:23,2,7,MIA 30,10,3,Marcus Mariota pass complete short left to Antonio Andrews for 2 yards (tackle by Reshad Jones and Ndamukong Suh),3.240,2.810
2,11:39,3,5,MIA 28,10,3,"Marcus Mariota sacked by Cameron Wake for -7 yards. Marcus Mariota fumbles (forced by Cameron Wake), recovered by Jelani Jenkins at MIA-27. Penalty on Chance Warmack: Offensive Holding (Declined)",2.810,-0.740
,,,,,,,"MIA challenged the incomplete pass ruling, and the original play was overturned.",,
2,11:30,1,10,MIA 27,10,3,Lamar Miller middle for 20 yards (tackle by Da'Norris Searcy),0.740,2.060
2,10:50,1,10,MIA 47,10,3,Ryan Tannehill pass complete short left to Dion Sims for 2 yards (tackle by Brian Orakpo),2.060,1.790
2,10:14,2,8,MIA 49,10,3,Ryan Tannehill pass incomplete short middle intended for Jordan Cameron is intercepted by Michael Griffin at TEN-40 and returned for 29 yards,1.790,-3.510
2,10:03,1,10,MIA 31,10,3,"Antonio Andrews left end for -2 yards (tackle by Koa Misi). Penalty on Taylor Lewan: Offensive Holding, 10 yards (no play)",3.510,2.850
2,9:38,1,20,MIA 41,10,3,Marcus Mariota pass incomplete deep right intended for Harry Douglas (defended by Brent Grimes),2.850,1.620
2,9:31,2,20,MIA 41,10,3,Marcus Mariota pass complete short left to Justin Hunter for 17 yards (tackle by Koa Misi),1.620,1.620
2,9:01,2,20,MIA 41,10,3,Timeout #1 by Tennessee Titans,1.620,3.200
2,9:01,3,3,MIA 24,10,3,"Marcus Mariota sacked by Cameron Wake for -7 yards. Marcus Mariota fumbles (forced by Cameron Wake), recovered by Jamar Taylor at MIA-35 and returned for 31 yards (tackle by Delanie Walker)",3.200,-3.310
2,8:46,1,10,TEN 34,10,3,Lamar Miller right guard for 2 yards (tackle by Jurrell Casey),3.310,3.040
2,8:13,2,8,TEN 32,10,3,Lamar Miller middle for -2 yards (tackle by Wesley Woodyard),3.040,2.080
2,7:35,3,10,TEN 34,10,3,Ryan Tannehill pass complete short left to Jordan Cameron for 13 yards (tackle by Da'Norris Searcy),2.080,4.170
2,7:01,1,10,TEN 21,10,3,Ryan Tannehill pass incomplete short middle intended for Lamar Miller,4.170,3.630
2,6:57,2,10,TEN 21,10,3,Lamar Miller left end for 11 yards (tackle by Zach Brown),3.630,4.910
2,6:15,1,10,TEN 10,10,3,"Damien Williams right guard for 1 yard (tackle by Wesley Woodyard). Penalty on Ja'Wuan James: Offensive Holding, 10 yards (no play)",4.910,4.240
2,5:54,1,20,TEN 20,10,3,Ryan Tannehill pass complete short left to Dion Sims for 13 yards (tackle by Michael Griffin),4.240,4.760
2,5:12,2,7,TEN 7,16,3,"Lamar Miller middle for 7 yards, touchdown",4.760,7.000
2,5:12,,,TEN 7,17,3,Andrew Franks kicks extra point good,0.000,0.000
2,5:12,,,MIA 35,17,3,"Andrew Franks kicks off 65 yards, touchback",0.000,-0.280
2,5:07,1,10,TEN 20,17,3,Marcus Mariota pass complete short left to Kendall Wright for 7 yards (tackle by Jamar Taylor),0.280,0.680
2,4:32,2,3,TEN 27,17,3,Antonio Andrews left end for 3 yards (tackle by Reshad Jones),0.680,0.940
2,3:53,1,10,TEN 30,17,3,Marcus Mariota pass complete short right to Kendall Wright for 14 yards,0.940,1.860
2,3:26,1,10,TEN 44,17,3,Marcus Mariota pass complete short middle to Delanie Walker for 14 yards (tackle by Reshad Jones),1.860,2.790
2,2:50,1,10,MIA 42,17,3,Bishop Sankey left guard for 9 yards (tackle by Jelani Jenkins),2.790,3.460
2,2:26,2,1,MIA 33,17,3,Antonio Andrews left guard for 2 yards (tackle by Earl Mitchell and Koa Misi),3.460,3.510
2,2:06,1,10,MIA 31,17,3,Marcus Mariota pass incomplete short middle intended for Delanie Walker (defended by Ndamukong Suh),3.510,2.970
2,2:01,2,10,MIA 31,17,3,Marcus Mariota sacked by Olivier Vernon for -12 yards,2.970,0.700
2,1:56,3,22,MIA 43,17,3,Marcus Mariota pass incomplete deep left intended for Dorial Green-Beckham,0.700,0.400
2,1:51,4,22,MIA 43,17,3,Brett Kern punts 37 yards,0.400,0.380
2,1:40,1,10,MIA 6,17,3,Lamar Miller middle for 5 yards (tackle by Michael Griffin),-0.380,-0.380
2,1:35,1,10,MIA 6,17,3,Timeout #2 by Tennessee Titans,-0.380,-0.420
2,1:35,2,5,MIA 11,17,3,Ryan Tannehill left end for 4 yards (tackle by Brian Orakpo),-0.420,-0.420
2,1:29,2,5,MIA 11,17,3,Timeout #3 by Tennessee Titans,-0.420,-0.370
2,1:29,3,1,MIA 15,17,3,Lamar Miller right guard for 3 yards (tackle by Al Woods),-0.370,0.040
2,1:04,1,10,MIA 18,17,3,Ryan Tannehill pass complete short left to Jordan Cameron for 5 yards (tackle by Da'Norris Searcy),0.040,0.280
2,1:00,2,5,MIA 23,17,3,Ryan Tannehill pass complete short left to Kenny Stills for 8 yards (tackle by Blidi Wreh-Wilson),0.280,0.280
2,1:00,2,5,MIA 23,17,3,Timeout #2 by Miami Dolphins,0.280,1.000
2,0:55,1,10,MIA 31,17,3,Ryan Tannehill pass complete short right to Greg Jennings for 13 yards (tackle by Michael Griffin and Jason McCourty),1.000,1.000
2,0:46,1,10,MIA 31,17,3,Timeout #3 by Miami Dolphins,1.000,1.860
2,0:46,1,10,MIA 44,17,3,Ryan Tannehill pass complete short right to Lamar Miller for 1 yard (tackle by Zach Brown),1.860,1.450
2,0:43,2,9,MIA 45,17,3,Ryan Tannehill pass complete short right to Rishard Matthews for 11 yards,1.450,2.650
2,0:38,1,10,TEN 44,17,3,"Ryan Tannehill pass complete short right to Rishard Matthews for 7 yards (tackle by Blidi Wreh-Wilson). Penalty on Blidi Wreh-Wilson: Defensive Delay of Game, 5 yards",2.650,3.450
2,0:23,1,10,TEN 32,17,3,Ryan Tannehill pass incomplete short middle intended for Jordan Cameron is intercepted by Coty Sensabaugh at TEN-26 and returned for 16 yards,3.450,-1.730
2,0:14,1,10,TEN 42,17,3,Marcus Mariota pass incomplete short right intended for Dexter McCluster,1.730,1.190
2,0:09,2,10,TEN 42,17,3,Marcus Mariota sacked by Cameron Wake for -7 yards,1.190,-0.430
Quarter,Time,Down,ToGo,Location,MIA,TEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIA 35,17,3,"Andrew Franks kicks off 67 yards, returned by Bishop Sankey for 22 yards (tackle by Damien Williams)",0.000,0.280
3,14:53,1,10,TEN 20,17,3,Antonio Andrews middle for 3 yards (tackle by Jelani Jenkins and Earl Mitchell),0.280,0.140
3,14:12,2,7,TEN 23,17,3,Marcus Mariota pass incomplete short right intended for Harry Douglas (defended by Brent Grimes),0.140,-0.560
3,14:07,3,7,TEN 23,17,3,"Marcus Mariota pass complete deep right to Delanie Walker for 25 yards (tackle by Bobby McCain). Penalty on Olivier Vernon: Roughing the Passer, 15 yards",-0.560,3.120
3,13:45,1,10,MIA 37,17,3,Antonio Andrews right tackle for -5 yards (tackle by Jelani Jenkins),3.120,1.900
3,13:06,2,15,MIA 42,17,3,Dexter McCluster middle for 3 yards (tackle by Jelani Jenkins),1.900,1.620
3,12:26,3,12,MIA 39,17,3,Marcus Mariota pass complete short right to Anthony Fasano for -9 yards (tackle by Koa Misi),1.620,0.070
3,11:44,4,21,MIA 48,17,3,"Brett Kern punts 27 yards, fair catch by Jarvis Landry",0.070,-0.340
3,11:37,1,10,MIA 21,17,3,Jarvis Landry right end for 2 yards (tackle by Derrick Morgan),0.340,0.070
3,11:07,2,8,MIA 23,17,3,"Penalty on DaQuan Jones: Neutral Zone Infraction, 5 yards (no play)",0.070,0.750
3,10:53,2,3,MIA 28,17,3,Lamar Miller right guard for 4 yards (tackle by Derrick Morgan),0.750,1.070
3,10:18,1,10,MIA 32,17,3,Lamar Miller middle for 7 yards (tackle by Jurrell Casey),1.070,1.470
3,9:42,2,3,MIA 39,17,3,Lamar Miller middle for 1 yard (tackle by DaQuan Jones and Jurrell Casey),1.470,0.890
3,9:03,3,2,MIA 40,17,3,Ryan Tannehill pass incomplete deep right intended for Jarvis Landry,0.890,-0.720
3,8:58,4,2,MIA 40,17,3,"Matt Darr punts 47 yards, fair catch by Dexter McCluster",-0.720,0.320
3,8:49,1,10,TEN 13,17,3,Marcus Mariota pass complete short middle to Delanie Walker for 6 yards (tackle by Jelani Jenkins),-0.320,0.030
3,8:11,2,4,TEN 19,17,3,Bishop Sankey left tackle for 1 yard (tackle by Terrence Fede),0.030,-0.590
3,7:32,3,3,TEN 20,17,3,"Marcus Mariota pass complete short middle to Dexter McCluster for 5 yards (tackle by Jelani Jenkins and Reshad Jones). Penalty on Jamon Meredith: Offensive Holding, 10 yards (no play)",-0.590,-1.770
3,7:09,3,13,TEN 10,17,3,Marcus Mariota pass complete short left to Kendall Wright for 16 yards (tackle by Jelani Jenkins and Jamar Taylor),-1.770,0.670
3,6:23,1,10,TEN 26,17,3,Dexter McCluster left end for 1 yard (tackle by Jamar Taylor and Jelani Jenkins),0.670,0.270
3,5:50,2,9,TEN 27,23,3,"Marcus Mariota pass incomplete short right intended for Delanie Walker is intercepted by Reshad Jones at TEN-30 and returned for 30 yards, touchdown",0.270,-7.000
3,5:40,,,TEN 27,24,3,Andrew Franks kicks extra point good,0.000,0.000
3,5:40,,,MIA 35,24,3,"Andrew Franks kicks off 66 yards, returned by Bishop Sankey for 34 yards (tackle by Damien Williams)",0.000,-1.140
3,5:32,1,10,TEN 33,24,3,Marcus Mariota pass incomplete deep right intended for Justin Hunter,1.140,0.590
3,5:28,2,10,TEN 33,24,3,Antonio Andrews left end for -4 yards (tackle by Olivier Vernon),0.590,-0.620
3,4:47,3,14,TEN 29,24,3,Marcus Mariota pass complete short right to Dexter McCluster for 2 yards (tackle by Derrick Shelby),-0.620,-1.310
3,4:03,4,12,TEN 31,24,3,"Brett Kern punts 61 yards, returned by Jarvis Landry for 51 yards (tackle by Wesley Woodyard). Penalty on Zach Vigil: Illegal Block Above the Waist, 7 yards",-1.310,0.380
3,3:45,1,10,MIA 7,24,3,Lamar Miller right tackle for 2 yards (tackle by Wesley Woodyard),-0.380,-0.630
3,3:07,2,8,MIA 9,24,3,Ryan Tannehill pass incomplete short middle intended for Jordan Cameron (defended by Da'Norris Searcy),-0.630,-1.190
3,3:02,3,8,MIA 9,24,3,Ryan Tannehill sacked by Brian Orakpo for -2 yards,-1.190,-2.490
3,2:23,4,10,MIA 7,24,3,"Matt Darr punts 45 yards, fair catch by Dexter McCluster",-2.490,-2.130
3,2:15,1,10,TEN 48,24,3,Marcus Mariota pass complete deep middle to Dorial Green-Beckham for 32 yards (tackle by Koa Misi),2.130,4.240
3,1:31,1,10,MIA 20,24,3,Antonio Andrews left tackle for 7 yards (tackle by Koa Misi),4.240,4.830
3,0:46,2,3,MIA 13,24,3,Marcus Mariota pass complete short right to Anthony Fasano for 10 yards (tackle by Reshad Jones and Brent Grimes),4.830,6.510
3,0:09,1,3,MIA 3,24,3,Marcus Mariota pass incomplete short left intended for Kendall Wright,6.510,5.530
3,0:05,2,3,MIA 3,24,9,"Marcus Mariota pass complete short middle to Dexter McCluster for 3 yards, touchdown",5.530,7.000
3,0:05,,,MIA 3,24,10,Ryan Succop kicks extra point good,0.000,0.000
Quarter,Time,Down,ToGo,Location,MIA,TEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,,,,TEN 35,24,10,"Ryan Succop kicks off 74 yards, returned by Damien Williams for 31 yards (tackle by Phillip Supernaw)",0.000,0.410
4,14:54,1,10,MIA 22,24,10,Ryan Tannehill pass incomplete deep right intended for Jordan Cameron (defended by Da'Norris Searcy),0.410,-0.130
4,14:47,2,10,MIA 22,24,10,Lamar Miller right guard for no gain (tackle by Al Woods),-0.130,-0.820
4,14:04,3,10,MIA 22,24,10,Ryan Tannehill sacked by Wesley Woodyard for -10 yards,-0.820,-2.490
4,13:26,4,20,MIA 12,24,10,"Matt Darr punts 39 yards, returned by Dexter McCluster for 14 yards (tackle by Michael Thomas). Penalty on Spencer Paysinger: Offensive Holding, 10 yards",-2.490,-3.780
4,13:15,1,10,MIA 27,24,10,Marcus Mariota pass incomplete deep right intended for Anthony Fasano is intercepted by Brent Grimes at MIA-3,3.780,3.780
4,13:15,1,10,MIA 27,24,10,Timeout #1 by Tennessee Titans,3.780,0.380
4,13:08,1,10,MIA 3,24,10,Ryan Tannehill pass complete deep left to Kenny Stills for 38 yards (tackle by Da'Norris Searcy),-0.380,1.660
4,12:26,1,10,MIA 41,24,10,Lamar Miller right tackle for no gain (tackle by Zach Brown),1.660,1.120
4,11:51,2,10,MIA 41,24,10,Ryan Tannehill pass complete deep left to Rishard Matthews for 24 yards (tackle by Da'Norris Searcy),1.120,3.250
4,11:09,1,10,TEN 35,24,10,Ryan Tannehill pass complete short left to Jarvis Landry for 13 yards (tackle by Coty Sensabaugh),3.250,4.110
4,10:32,1,10,TEN 22,24,10,"Lamar Miller left tackle for no gain (tackle by Al Woods and Zach Brown). Penalty on Daniel Thomas: Offensive Holding, 10 yards (no play)",4.110,3.450
4,10:10,1,20,TEN 32,24,10,Ryan Tannehill pass complete short left to Jonas Gray for 12 yards (tackle by Zach Brown and Coty Sensabaugh),3.450,3.830
4,9:34,2,8,TEN 20,24,10,Jonas Gray middle for 7 yards (tackle by Brian Orakpo),3.830,4.390
4,8:56,3,1,TEN 13,24,10,Jonas Gray middle for 6 yards (tackle by Zach Brown),4.390,5.600
4,8:22,1,7,TEN 7,24,10,Jonas Gray left guard for 5 yards (tackle by Wesley Woodyard),5.600,5.720
4,7:43,2,2,TEN 2,30,10,"Ryan Tannehill pass complete short right to Dion Sims for 2 yards, touchdown",5.720,7.000
4,7:43,,,TEN 2,31,10,Andrew Franks kicks extra point good,0.000,0.000
4,7:43,,,MIA 35,31,10,"Andrew Franks kicks off 62 yards, returned by Bishop Sankey for 23 yards (tackle by Zach Vigil)",0.000,-0.670
4,7:33,1,10,TEN 26,31,10,Marcus Mariota pass complete short middle to Delanie Walker for 13 yards (tackle by Reshad Jones),0.670,1.530
4,7:10,1,10,TEN 39,31,10,Marcus Mariota pass complete short middle to Delanie Walker for 4 yards (tackle by Reshad Jones),1.530,1.530
4,6:48,2,6,TEN 43,31,10,"Marcus Mariota pass incomplete. Penalty on Jamon Meredith: Offensive Holding, 10 yards (no play)",1.530,0.180
4,6:41,2,16,TEN 33,31,10,Marcus Mariota pass complete short left to Dexter McCluster for 14 yards (tackle by Bobby McCain),0.180,1.360
4,6:09,3,2,TEN 47,31,10,Marcus Mariota pass incomplete short right intended for Dorial Green-Beckham (defended by Ndamukong Suh),1.360,-0.260
4,6:05,4,2,TEN 47,31,10,Marcus Mariota pass incomplete short right intended for Harry Douglas (defended by Brent Grimes),-0.260,-2.460
4,5:59,1,10,TEN 47,31,10,Damien Williams left guard for 1 yard (tackle by Zach Brown),2.460,2.050
4,5:19,2,9,TEN 46,31,10,Ryan Tannehill pass complete short right to Dion Sims for 16 yards (tackle by Wesley Woodyard),2.050,3.580
4,4:33,1,10,TEN 30,31,10,Damien Williams middle for 4 yards (tackle by Jurrell Casey),3.580,3.570
4,3:49,2,6,TEN 26,31,10,"Ryan Tannehill sacked by Wesley Woodyard for 0 yards. Penalty on Michael Griffin: Defensive Offside, 5 yards (no play)",3.570,4.250
4,3:42,2,1,TEN 21,31,10,Jonas Gray right end for 7 yards (tackle by Zach Brown),4.250,4.650
4,2:54,1,10,TEN 14,31,10,Jonas Gray middle for 1 yard (tackle by Wesley Woodyard),4.650,4.160
4,2:14,2,9,TEN 13,31,10,Jonas Gray left guard for 1 yard (tackle by David Bass),4.160,3.430
4,2:00,3,8,TEN 12,37,10,"Ryan Tannehill pass complete short right to Jordan Cameron for 12 yards, touchdown",3.430,7.000
4,2:00,,,TEN 12,38,10,Andrew Franks kicks extra point good,0.000,0.000
4,2:00,,,MIA 35,38,10,"Andrew Franks kicks off 65 yards, touchback",0.000,-0.280
4,1:54,1,10,TEN 20,38,10,Zach Mettenberger pass complete short left to Dorial Green-Beckham for 12 yards,0.280,1.070
4,1:50,1,10,TEN 32,38,10,Zach Mettenberger pass incomplete short middle intended for Bishop Sankey,1.070,0.530
4,1:45,2,10,TEN 32,38,10,Zach Mettenberger pass complete short middle to Delanie Walker for 7 yards (tackle by Neville Hewitt),0.530,0.530
4,1:31,2,10,TEN 32,38,10,Timeout #2 by Tennessee Titans,0.530,0.760
4,1:31,3,3,TEN 39,38,10,Zach Mettenberger pass incomplete short left intended for Bishop Sankey,0.760,-0.780
4,1:26,4,3,TEN 39,38,10,Zach Mettenberger middle for 4 yards (tackle by Terrence Fede),-0.780,1.800
4,1:02,1,10,TEN 43,38,10,Zach Mettenberger pass complete short middle to Bishop Sankey for 7 yards (tackle by Zach Vigil and Neville Hewitt),1.800,2.200
4,0:38,2,3,,38,10,Zach Mettenberger pass complete deep right to Justin Hunter for 23 yards (tackle by Jordan Kovacs),2.200,3.780
4,0:17,1,10,MIA 27,38,10,Zach Mettenberger spiked the ball,3.780,3.230
4,0:16,2,10,MIA 27,38,10,Zach Mettenberger pass complete short right to Justin Hunter for 14 yards (tackle by Bobby McCain),3.230,3.230
4,0:04,2,10,MIA 27,38,10,Timeout #3 by Tennessee Titans,3.230,4.710
4,0:03,1,10,MIA 13,38,10,Zach Mettenberger sacked by Jordan Kovacs for -9 yards,4.710,2.940
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
