Unnamed: 0,DAL,GNB
First Downs,11,29
Rush-Yds-TDs,20-171-1,44-230-2
Cmp-Att-Yd-TD-INT,13-29-114-0-1,22-35-218-2-0
Sacked-Yards,2-15,2-13
Net Pass Yards,99,205
Total Yards,270,435
Fumbles-Lost,0-0,1-0
Turnovers,1,0
Penalties-Yards,6-30,8-69
Third Down Conv.,1-11,7-14
Fourth Down Conv.,0-2,0-1
Time of Possession,22:12,37:48
