Quarter,Time,Down,ToGo,Location,ATL,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss and deferred, Falcons to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Caleb Sturgis kicks off 70 yards, returned by Eric Weems for 23 yards (tackle by Najee Goode)",0.000,-0.040
1,14:54,1,10,ATL 18,0,0,Devonta Freeman right end for 4 yards (tackle by Fletcher Cox and Jordan Hicks),0.040,0.140
1,14:13,2,6,ATL 22,0,0,Matt Ryan pass complete short right to Julio Jones for 6 yards (tackle by Jalen Mills),0.140,0.810
1,13:36,1,10,ATL 28,0,0,Matt Ryan pass complete short left to Devonta Freeman for 8 yards (tackle by Rodney McLeod),0.810,1.340
1,12:56,2,2,ATL 36,0,0,Devonta Freeman left end for no gain (tackle by Brandon Graham),1.340,0.630
1,12:13,3,2,ATL 36,0,0,"Penalty on Ryan Schraeder: False Start, 5 yards (no play)",0.630,-0.030
1,11:47,3,7,ATL 31,0,0,Matt Ryan pass incomplete deep left intended for Julio Jones,-0.030,-1.310
1,11:42,4,7,ATL 31,0,0,Matthew Bosher punts 50 yards,-1.310,-0.150
1,11:31,1,10,PHI 19,0,0,Ryan Mathews left end for 2 yards (tackle by Courtney Upshaw and Vic Beasley),0.150,-0.060
1,10:46,2,8,PHI 21,0,0,Ryan Mathews left end for 4 yards (tackle by Deion Jones),-0.060,-0.290
1,10:01,3,4,PHI 25,0,0,Carson Wentz pass complete short right to Jordan Matthews for 10 yards,-0.290,1.270
1,9:30,1,10,PHI 35,0,0,"Penalty on Zach Ertz: False Start, 5 yards (no play)",1.270,0.940
1,9:06,1,15,PHI 30,0,0,Carson Wentz pass complete short right to Zach Ertz for 14 yards (tackle by Jalen Collins),0.940,1.940
1,8:30,2,1,PHI 44,0,0,Wendell Smallwood left guard for 5 yards (tackle by Paul Worrilow and Ra'Shede Hageman),1.940,2.190
1,7:51,1,10,PHI 49,0,0,Carson Wentz pass complete short middle to Jordan Matthews for 16 yards (tackle by Ricardo Allen),2.190,3.250
1,7:12,1,10,ATL 35,0,0,Carson Wentz pass complete short left to Darren Sproles for 7 yards,3.250,3.650
1,6:42,2,3,ATL 28,0,0,Ryan Mathews left end for 5 yards (tackle by Keanu Neal),3.650,4.040
1,5:59,1,10,ATL 23,0,0,Ryan Mathews middle for 5 yards (tackle by Grady Jarrett),4.040,4.210
1,5:20,2,5,ATL 18,0,0,Ryan Mathews left end for 6 yards (tackle by Ra'Shede Hageman),4.210,4.780
1,4:42,1,10,ATL 12,0,0,Ryan Mathews middle for 8 yards (tackle by Deion Jones),4.780,0.000
1,4:19,,,,0,0,Timeout #1 by Atlanta Falcons,0.000,-5.600
1,4:19,2,2,ATL 4,0,6,"Ryan Mathews left tackle for 4 yards, touchdown",5.600,7.000
1,4:17,,,ATL 15,0,7,Caleb Sturgis kicks extra point good,0.000,0.000
1,4:17,,,PHI 35,0,7,"Caleb Sturgis kicks off 67 yards, returned by Eric Weems for 28 yards (tackle by Marcus Smith)",0.000,-0.670
1,4:11,1,10,ATL 26,0,7,"Penalty on Chris Chester: False Start, 5 yards (no play)",0.670,0.340
1,4:11,1,15,ATL 21,0,7,Matt Ryan pass incomplete short right intended for Julio Jones (defended by Nigel Bradham),0.340,-0.550
1,4:04,2,15,ATL 21,0,7,Devonta Freeman middle for 4 yards (tackle by Nigel Bradham),-0.550,-0.690
1,3:25,3,11,ATL 25,0,7,Matt Ryan pass complete short right to Mohamed Sanu for 8 yards (tackle by Malcolm Jenkins),-0.690,-1.180
1,2:44,4,3,ATL 33,0,7,"Matthew Bosher punts 45 yards, fair catch by Darren Sproles",-1.180,-0.410
1,2:37,1,10,PHI 22,0,7,Carson Wentz pass complete short right to Jordan Matthews for 9 yards (tackle by Brian Poole),0.410,1.080
1,1:56,2,1,PHI 31,0,7,Carson Wentz pass complete short right to Ryan Mathews for 20 yards (tackle by Deion Jones),1.080,2.320
1,1:23,1,10,ATL 49,0,7,Carson Wentz sacked by Vic Beasley for -5 yards,2.320,1.110
1,0:42,2,15,PHI 46,0,7,Wendell Smallwood left end for 7 yards (tackle by Philip Wheeler),1.110,1.360
Quarter,Time,Down,ToGo,Location,ATL,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,8,ATL 47,0,7,Carson Wentz pass complete deep right to Jordan Matthews for 20 yards,1.360,3.780
2,14:39,1,10,ATL 27,0,7,Wendell Smallwood middle for 1 yard (tackle by Vic Beasley),3.780,3.370
2,14:04,2,9,ATL 26,0,7,Wendell Smallwood middle for 1 yard (tackle by Deion Jones),3.370,2.810
2,13:19,3,8,ATL 25,0,7,Carson Wentz pass complete short right to Zach Ertz for -1 yards (tackle by Keanu Neal),2.810,1.740
2,12:43,4,9,ATL 26,0,7,Caleb Sturgis 44 yard field goal no good,1.740,-1.200
2,12:40,1,10,ATL 34,0,7,Devonta Freeman middle for 11 yards (tackle by Jalen Mills),1.200,1.930
2,12:00,1,10,ATL 45,0,7,Matt Ryan pass complete deep left to Julio Jones for 29 yards,1.930,3.840
2,11:42,1,10,PHI 26,0,7,Devonta Freeman left end for -2 yards (tackle by Connor Barwin),3.840,3.030
2,11:04,2,12,PHI 28,0,7,Matt Ryan pass complete short left to Aldrick Robinson for 2 yards (tackle by Nolan Carroll),3.030,2.610
2,10:19,3,10,PHI 26,0,7,Matt Ryan pass complete short middle to Mohamed Sanu for 6 yards (tackle by Malcolm Jenkins),2.610,2.200
2,9:40,4,4,PHI 20,3,7,Matt Bryant 38 yard field goal good,2.200,3.000
2,9:36,,,ATL 35,3,7,"Matthew Bosher kicks off 61 yards, returned by Kenjon Barner for 31 yards (tackle by Matthew Bosher)",0.000,-1.270
2,9:30,1,10,PHI 35,3,7,Carson Wentz pass incomplete deep right intended for Zach Ertz,1.270,0.720
2,9:26,2,10,PHI 35,3,7,Ryan Mathews left end for 1 yard (tackle by Paul Worrilow),0.720,0.170
2,8:48,3,9,PHI 36,3,7,"Penalty on Jason Peters: False Start, 5 yards (no play)",0.170,-0.490
2,8:25,3,14,PHI 31,3,7,Carson Wentz pass complete short right to Ryan Mathews for 10 yards (tackle by Jalen Collins),-0.490,-0.650
2,7:47,4,4,PHI 41,3,7,"Donnie Jones punts 43 yards, returned by Eric Weems for 9 yards (tackle by Wendell Smallwood)",-0.650,-0.610
2,7:35,1,10,ATL 25,3,7,Matt Ryan pass complete short right to Devonta Freeman for 15 yards (tackle by Mychal Kendricks),0.610,1.600
2,7:06,1,10,ATL 40,3,7,Devonta Freeman right tackle for 1 yard (tackle by Malcolm Jenkins),1.600,1.190
2,6:30,2,9,ATL 41,3,7,Matt Ryan pass complete short left to Julio Jones for 5 yards (tackle by Mychal Kendricks),1.190,1.160
2,5:48,3,4,ATL 46,3,7,Matt Ryan pass complete short left to Julio Jones for 20 yards (tackle by Rodney McLeod),1.160,3.310
2,5:11,1,10,PHI 34,3,7,Devonta Freeman right end for 17 yards (tackle by Mychal Kendricks),3.310,4.440
2,4:33,1,10,PHI 17,3,7,Devonta Freeman middle for -2 yards (tackle by Malcolm Jenkins),4.440,3.600
2,3:51,2,12,PHI 19,3,7,Matt Ryan sacked by Connor Barwin for -6 yards,3.600,2.150
2,3:08,3,18,PHI 25,3,7,Matt Ryan pass incomplete short left intended for Austin Hooper,2.150,1.800
2,3:03,4,18,PHI 25,6,7,Matt Bryant 43 yard field goal good,1.800,3.000
2,2:59,,,ATL 35,6,7,"Matthew Bosher kicks off 62 yards, returned by Wendell Smallwood for 15 yards (tackle by Eric Weems)",0.000,-0.040
2,2:53,1,10,PHI 18,6,7,Ryan Mathews middle for 21 yards (tackle by Ricardo Allen),0.040,1.530
2,2:14,1,10,PHI 39,6,7,Wendell Smallwood middle for 3 yards (tackle by LaRoy Reynolds),1.530,1.390
2,2:00,2,7,PHI 42,6,7,"Penalty on Zach Ertz: False Start, 5 yards (no play)",1.390,0.720
2,2:00,2,12,PHI 37,6,7,Carson Wentz pass complete deep middle to Jordan Matthews for 20 yards (tackle by LaRoy Reynolds),0.720,2.720
2,1:38,1,10,ATL 43,6,7,Carson Wentz pass incomplete short left intended for Jordan Matthews,2.720,2.180
2,1:36,2,10,ATL 43,6,7,"Carson Wentz sacked by Vic Beasley for -7 yards. Carson Wentz fumbles (forced by Vic Beasley), recovered by Brian Poole at ATL-48 and returned for 10 yards (tackle by Jordan Matthews)",2.180,-2.790
2,1:27,1,10,PHI 42,6,7,Matt Ryan sacked by Brandon Graham for -6 yards,2.790,1.430
2,0:56,2,16,PHI 48,6,7,Matt Ryan pass complete short left to Julio Jones for 8 yards (tackle by Malcolm Jenkins and Nolan Carroll),1.430,0.000
2,0:46,,,,6,7,Timeout #1 by Philadelphia Eagles,0.000,-1.820
2,0:46,3,8,PHI 40,6,7,Matt Ryan pass complete short right to Julio Jones for 5 yards (tackle by Malcolm Jenkins and Jalen Mills),1.820,0.000
2,0:30,,,,6,7,Timeout #2 by Philadelphia Eagles,0.000,-0.990
2,0:30,4,3,PHI 35,6,7,Matt Bryant 53 yard field goal no good,0.990,-1.800
2,0:25,1,10,PHI 43,6,7,Carson Wentz pass incomplete short left intended for Darren Sproles (defended by De'Vondre Campbell),1.800,1.250
2,0:21,2,10,PHI 43,6,7,Carson Wentz pass incomplete deep middle intended for Jordan Matthews,1.250,0.560
2,0:15,3,10,PHI 43,6,7,Carson Wentz pass complete short right to Darren Sproles for 9 yards (tackle by Robert Alford),0.560,0.000
2,0:08,,,,6,7,Timeout #3 by Philadelphia Eagles,0.000,-0.070
2,0:08,4,1,ATL 48,6,7,Carson Wentz pass incomplete short right intended for Nelson Agholor,0.070,-2.130
2,0:03,1,10,ATL 48,6,7,Matt Ryan pass incomplete,2.130,1.580
Quarter,Time,Down,ToGo,Location,ATL,PHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 35,6,7,"Matthew Bosher kicks off 63 yards, returned by Wendell Smallwood for 17 yards (tackle by Paul Worrilow)",0.000,-0.150
3,14:56,1,10,PHI 19,6,7,Ryan Mathews right end for 4 yards (tackle by Grady Jarrett),0.150,0.210
3,14:16,2,6,PHI 23,6,7,Ryan Mathews right end for 1 yard (tackle by Deion Jones and Jonathan Babineaux),0.210,-0.420
3,13:37,3,5,PHI 24,6,7,Carson Wentz pass complete short right to Darren Sproles for 7 yards (tackle by Deion Jones),-0.420,1.000
3,13:03,1,10,PHI 31,6,7,Carson Wentz pass complete short right to Darren Sproles for 12 yards,1.000,1.800
3,12:33,1,10,PHI 43,6,7,Darren Sproles middle for 11 yards (tackle by De'Vondre Campbell),1.800,2.520
3,11:58,1,10,ATL 46,6,7,Wendell Smallwood left end for 19 yards (tackle by Jalen Collins),2.520,3.780
3,11:17,1,10,ATL 27,6,7,"Penalty on Isaac Seumalo: False Start, 5 yards (no play)",3.780,3.450
3,10:59,1,15,ATL 32,6,7,Carson Wentz pass incomplete short left intended for Wendell Smallwood,3.450,2.560
3,10:54,2,15,ATL 32,6,7,Wendell Smallwood left end for 12 yards (tackle by Keanu Neal),2.560,3.470
3,10:32,3,3,ATL 20,6,7,Carson Wentz pass complete short middle to Zach Ertz for 8 yards (tackle by Grady Jarrett and Deion Jones),3.470,4.780
3,9:55,1,10,ATL 12,6,7,"Ryan Mathews right end for 1 yard (tackle by Robert Alford). Penalty on Jason Kelce: Offensive Holding, 10 yards",4.780,4.170
3,9:28,1,19,ATL 21,6,7,Carson Wentz pass complete short right to Nelson Agholor for 4 yards,4.170,3.420
3,9:02,2,15,ATL 17,6,7,Carson Wentz pass complete short middle to Darren Sproles for 6 yards (tackle by Keanu Neal),3.420,3.290
3,8:22,3,9,ATL 11,6,7,Carson Wentz pass incomplete short left intended for Nelson Agholor,3.290,2.700
3,8:18,4,9,ATL 11,6,10,Caleb Sturgis 29 yard field goal good,2.700,3.000
3,8:16,,,PHI 35,6,10,"Caleb Sturgis kicks off 65 yards, touchback",0.000,-0.610
3,8:16,1,10,ATL 25,6,10,Matt Ryan pass complete deep left to Julio Jones for 28 yards (tackle by Jalen Mills),0.610,2.460
3,7:32,1,10,PHI 47,6,10,Devonta Freeman middle for 6 yards (tackle by Jordan Hicks),2.460,2.720
3,6:56,2,4,PHI 41,6,10,Matt Ryan pass incomplete deep middle intended for Taylor Gabriel (defended by Leodis McKelvin),2.720,2.010
3,6:50,3,4,PHI 41,6,10,Devonta Freeman middle for 5 yards (tackle by Brandon Graham),2.010,3.180
3,6:13,1,10,PHI 36,6,10,Terron Ward right end for -1 yards (tackle by Vinny Curry),3.180,2.500
3,5:35,2,11,PHI 37,6,10,Matt Ryan pass incomplete short left intended for Terron Ward (defended by Mychal Kendricks),2.500,1.820
3,5:30,3,11,PHI 37,6,10,Matt Ryan pass complete short left to Julio Jones for 9 yards (tackle by Malcolm Jenkins),1.820,1.700
3,4:50,4,2,PHI 28,9,10,Matt Bryant 46 yard field goal good,1.700,3.000
3,4:46,,,ATL 35,9,10,"Matthew Bosher kicks off 62 yards, returned by Kenjon Barner for 31 yards (tackle by LaRoy Reynolds)",0.000,-1.200
3,4:39,1,10,PHI 34,9,10,Wendell Smallwood middle for 5 yards (tackle by Ra'Shede Hageman),1.200,1.330
3,3:59,2,5,PHI 39,9,10,"Carson Wentz pass complete short left to Brent Celek for 9 yards (tackle by Keanu Neal). Brent Celek fumbles (forced by Keanu Neal), recovered by Brent Celek at PHI-48",1.330,2.130
3,3:14,1,10,PHI 48,9,10,Ryan Mathews left end for 20 yards (tackle by Ricardo Allen),2.130,3.450
3,2:44,1,10,ATL 32,9,10,Carson Wentz pass complete short right to Jordan Matthews for -2 yards (tackle by Jalen Collins),3.450,2.630
3,2:02,2,12,ATL 34,9,10,Carson Wentz middle for 13 yards (tackle by Deion Jones),2.630,4.170
