Unnamed: 0,ATL,PHI
First Downs,11,25
Rush-Yds-TDs,13-48-0,38-208-2
Cmp-Att-Yd-TD-INT,18-33-267-1-1,25-36-231-0-0
Sacked-Yards,2-12,2-10
Net Pass Yards,255,221
Total Yards,303,429
Fumbles-Lost,0-0,2-1
Turnovers,1,1
Penalties-Yards,8-67,10-77
Third Down Conv.,2-11,5-14
Fourth Down Conv.,0-1,0-1
Time of Possession,21:50,38:10
