Unnamed: 0,KAN,DEN
First Downs,8,32
Rush-Yds-TDs,28-93-0,43-172-2
Cmp-Att-Yd-TD-INT,7-16-49-0-0,25-33-316-3-0
Sacked-Yards,4-23,0-0
Net Pass Yards,26,316
Total Yards,119,488
Fumbles-Lost,0-0,1-1
Turnovers,0,1
Penalties-Yards,5-32,5-30
Third Down Conv.,4-14,7-12
Fourth Down Conv.,0-0,0-0
Time of Possession,22:30,37:30
