Unnamed: 0,BAL,JAX
First Downs,11,13
Rush-Yds-TDs,12-34-0,42-132-0
Cmp-Att-Yd-TD-INT,21-38-137-1-1,9-20-93-0-0
Sacked-Yards,3-25,4-20
Net Pass Yards,112,73
Total Yards,146,205
Fumbles-Lost,2-1,4-1
Turnovers,2,1
Penalties-Yards,10-85,6-90
Third Down Conv.,2-12,2-16
Fourth Down Conv.,0-0,1-1
Time of Possession,23:45,36:15
