Unnamed: 0,PIT,NOR
First Downs,23,17
Rush-Yds-TDs,26-120-1,28-121-2
Cmp-Att-Yd-TD-INT,22-38-268-3-1,13-23-205-1-0
Sacked-Yards,4-24,2-11
Net Pass Yards,244,194
Total Yards,364,315
Fumbles-Lost,1-1,0-0
Turnovers,2,0
Penalties-Yards,7-80,6-35
Third Down Conv.,7-13,5-12
Fourth Down Conv.,1-1,0-0
Time of Possession,32:14,27:46
