Unnamed: 0,ATL,TAM
First Downs,24,13
Rush-Yds-TDs,37-183-0,23-40-0
Cmp-Att-Yd-TD-INT,23-35-223-2-2,15-31-172-1-2
Sacked-Yards,1-9,1-6
Net Pass Yards,214,166
Total Yards,397,206
Fumbles-Lost,2-1,1-0
Turnovers,3,2
Penalties-Yards,3-15,5-51
Third Down Conv.,7-15,7-15
Fourth Down Conv.,0-1,0-0
Time of Possession,35:29,24:31
