Quarter,Time,Down,ToGo,Location,SEA,LAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Seahawks won the coin toss and deferred, Rams to receive the opening kickoff.",,
1,15:00,,,SEA 35,0,0,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,LAR 25,0,0,Jared Goff pass complete short left to Cooper Kupp for 8 yards (tackle by L.J. Collier),0.610,1.140
1,14:19,2,2,LAR 33,0,0,Jared Goff pass complete short right to Robert Woods for 5 yards (tackle by D.J. Reed),1.140,1.470
1,13:40,1,10,LAR 38,0,0,Cam Akers left end for 6 yards (tackle by Jordyn Brooks),1.470,1.730
1,12:59,2,4,LAR 44,0,0,Darrell Henderson left tackle for 3 yards (tackle by Poona Ford and Jarran Reed),1.730,1.420
1,12:17,3,1,LAR 47,0,0,Jared Goff pass complete short left to Josh Reynolds for 11 yards (tackle by Tre Flowers),1.420,2.790
1,11:54,1,10,SEA 42,0,0,Jared Goff pass complete deep middle to Cooper Kupp for 31 yards (tackle by Quandre Diggs),2.790,4.840
1,11:06,1,10,SEA 11,0,0,Cam Akers left end for 7 yards (tackle by K.J. Wright),4.840,5.470
1,10:23,2,3,SEA 4,0,0,Cam Akers right end for -1 yards (tackle by D.J. Reed),5.470,4.440
1,9:46,3,4,SEA 5,0,0,Jared Goff pass incomplete short left intended for Cooper Kupp,4.440,3.010
1,9:41,4,4,SEA 5,0,3,Kai Forbath 23 yard field goal good,3.010,3.000
1,9:37,,,LAR 35,0,3,"Kai Forbath kicks off 65 yards, returned by Travis Homer for 22 yards (tackle by Nsimba Webster and Juju Hughes)",0.000,0.410
1,9:30,1,10,SEA 22,0,3,Alex Collins right guard for 2 yards (tackle by Sebastian Joseph),0.410,0.140
1,8:53,2,8,SEA 24,0,3,Russell Wilson pass complete short left to David Moore for 7 yards (tackle by Micah Kiser),0.140,0.370
1,8:19,3,1,SEA 31,0,3,Russell Wilson pass complete deep middle to Greg Olsen for 22 yards (tackle by John Johnson),0.370,2.460
1,7:45,1,10,LAR 47,0,3,Russell Wilson pass complete short left to Freddie Swain for 21 yards (tackle by Micah Kiser),2.460,3.840
1,7:17,1,10,LAR 26,0,3,Alex Collins right tackle for 5 yards (tackle by Micah Kiser),3.840,3.970
1,6:43,2,5,LAR 21,0,3,Russell Wilson pass complete short right to Freddie Swain for 8 yards (tackle by John Johnson),3.970,4.710
1,6:08,1,10,LAR 13,6,3,"Alex Collins left end for 13 yards, touchdown",4.710,7.000
1,6:00,,,LAR 15,7,3,Jason Myers kicks extra point good,0.000,0.000
1,6:00,,,SEA 35,7,3,"Jason Myers kicks off 62 yards, returned by Nsimba Webster for 20 yards (tackle by Nick Bellore)",0.000,0.480
1,5:54,1,10,LAR 23,7,3,Darrell Henderson right end for 7 yards (tackle by D.J. Reed),0.480,0.880
1,5:14,2,3,LAR 30,7,3,Darrell Henderson up the middle for -1 yards (tackle by Bobby Wagner),0.880,0.040
1,4:32,3,4,LAR 29,7,3,Jared Goff pass complete deep left to Tyler Higbee for 39 yards (tackle by Quandre Diggs),0.040,3.450
1,4:02,1,10,SEA 32,7,3,Jared Goff left end for 1 yard (tackle by Bobby Wagner),3.450,3.040
1,3:25,2,9,SEA 31,7,3,Jared Goff pass complete short middle to Tyler Higbee for 14 yards (tackle by Jordyn Brooks),3.040,4.440
1,2:51,1,10,SEA 17,7,3,Jared Goff pass complete short right to Gerald Everett for 16 yards (tackle by K.J. Wright),4.440,6.970
1,2:27,1,1,SEA 1,7,9,"Darrell Henderson left tackle for 1 yard, touchdown",6.970,7.000
1,2:24,,,SEA 15,7,10,Kai Forbath kicks extra point good,0.000,0.000
1,2:24,,,LAR 35,7,10,"Kai Forbath kicks off 65 yards, touchback.",0.000,0.610
1,2:24,1,10,SEA 25,7,10,Alex Collins right tackle for 1 yard (tackle by Leonard Floyd),0.610,0.200
1,1:47,2,9,SEA 26,7,10,"Russell Wilson pass short right is intercepted by Darious Williams at SEA-41 and returned for 41 yards. Penalty on Leonard Floyd: Defensive Offside, 5 yards (no play)",0.200,0.870
1,1:33,2,4,SEA 31,7,10,Russell Wilson pass incomplete deep right intended for Tyler Lockett,0.870,0.170
1,1:27,3,4,SEA 31,7,10,Russell Wilson pass complete short middle to Jacob Hollister for 6 yards (tackle by Taylor Rapp),0.170,1.400
1,0:54,1,10,SEA 37,7,10,Russell Wilson pass complete short middle to Tyler Lockett for 7 yards (tackle by Micah Kiser),1.400,1.800
1,0:12,2,3,SEA 44,7,10,Alex Collins right guard for 1 yard (tackle by Troy Hill),1.800,1.220
Quarter,Time,Down,ToGo,Location,SEA,LAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,2,SEA 45,7,10,Russell Wilson pass complete short middle to Tyler Lockett for 10 yards (tackle by John Johnson),1.220,2.590
2,14:15,1,10,LAR 45,7,10,Russell Wilson pass incomplete deep middle intended for Tyler Lockett,2.590,2.040
2,14:08,2,10,LAR 45,7,10,"Russell Wilson pass incomplete short left. Penalty on Russell Wilson: Intentional Grounding, 11 yards",2.040,-0.100
2,14:02,3,21,SEA 44,7,10,Russell Wilson up the middle for 9 yards (tackle by Nick Scott),-0.100,0.130
2,13:24,4,12,LAR 47,7,10,"Michael Dickson punts 40 yards, fair catch by Nsimba Webster at LA-7",0.130,0.380
2,13:16,1,10,LAR 7,7,10,Cam Akers left end for 17 yards (tackle by Bobby Wagner),-0.380,0.540
2,12:40,1,10,LAR 24,7,10,Jared Goff pass complete short right to Robert Woods for 8 yards (tackle by D.J. Reed),0.540,1.080
2,12:22,2,2,LAR 32,7,10,Jared Goff pass complete short left to Josh Reynolds for 9 yards (tackle by Tre Flowers),1.080,1.660
2,11:52,1,10,LAR 41,7,10,Jared Goff pass incomplete short middle intended for Tyler Higbee (defended by Bobby Wagner),1.660,1.120
2,11:47,2,10,LAR 41,7,10,Jared Goff pass complete short left to Josh Reynolds for 9 yards (tackle by Tre Flowers and K.J. Wright),1.120,1.620
2,11:04,3,1,LAR 50,7,10,Malcolm Brown left guard for 13 yards (tackle by Quandre Diggs),1.620,3.120
2,10:23,1,10,SEA 37,7,10,Jared Goff pass incomplete short middle,3.120,2.570
2,10:18,2,10,SEA 37,7,10,Malcolm Brown left guard for 6 yards (tackle by Jordyn Brooks),2.570,2.680
2,9:30,3,4,SEA 31,7,10,"Penalty on LAR: Delay of Game, 5 yards (no play)",2.680,2.010
2,9:07,3,9,SEA 36,7,10,Jared Goff pass complete short left to Malcolm Brown for 11 yards (tackle by Alton Robinson),2.010,3.910
2,8:18,,,,,,Timeout #1 by Los Angeles Rams,,
2,8:18,1,10,SEA 25,7,10,Jared Goff pass complete short right to Josh Reynolds for 10 yards (tackle by Jamal Adams),3.910,4.580
2,7:47,1,10,SEA 15,7,10,Cam Akers left tackle for -1 yards (tackle by Poona Ford),4.580,3.810
2,7:07,2,11,SEA 16,7,10,Jared Goff pass complete short right to Cooper Kupp for 9 yards (tackle by Ugo Amadi),3.810,4.680
2,6:24,3,2,SEA 7,7,16,"Malcolm Brown right tackle for 7 yards, touchdown",4.680,7.000
2,6:19,,,SEA 15,7,17,Kai Forbath kicks extra point good,0.000,0.000
2,6:19,,,LAR 35,7,17,"Kai Forbath kicks off 65 yards, returned by Travis Homer for 32 yards (tackle by Nsimba Webster and Jachai Polite)",0.000,1.070
2,6:09,1,10,SEA 32,7,17,Russell Wilson pass complete short left to Tyler Lockett for 6 yards (tackle by Micah Kiser),1.070,1.340
2,5:39,2,4,SEA 38,7,17,Russell Wilson pass complete short left to Tyler Lockett for 39 yards (tackle by Jordan Fuller),1.340,4.040
2,5:10,1,10,LAR 23,7,17,Alex Collins left end for -1 yards (tackle by Morgan Fox and Samson Ebukam),4.040,3.360
2,4:27,2,11,LAR 24,7,17,Russell Wilson pass incomplete deep left intended for Freddie Swain,3.360,2.680
2,4:21,3,11,LAR 24,7,17,Russell Wilson pass complete short right to Travis Homer for 5 yards (tackle by Jalen Ramsey),2.680,2.210
2,3:49,4,6,LAR 19,10,17,Jason Myers 37 yard field goal good,2.210,3.000
2,3:45,,,SEA 35,10,17,"Jason Myers kicks off 64 yards, returned by Nsimba Webster for 17 yards (tackle by Neiko Thorpe)",0.000,0.040
2,3:40,1,10,LAR 18,10,17,Jared Goff pass complete short middle to Van Jefferson for 15 yards (tackle by Quandre Diggs),0.040,1.140
2,2:58,1,10,LAR 33,10,17,"Jared Goff sacked by Jamal Adams for -6 yards. Jared Goff fumbles (forced by Jamal Adams), recovered by D.J. Reed at LA-27",1.140,-3.780
2,2:51,1,10,LAR 27,10,17,Alex Collins left tackle for 5 yards (tackle by Justin Hollins),3.780,3.910
2,2:12,2,5,LAR 22,10,17,Russell Wilson pass deep left intended for Will Dissly is intercepted by Darious Williams at LA-0 and returned for no gain,3.910,-0.280
2,2:03,1,10,LAR 20,10,17,Jared Goff pass complete short right to Tyler Higbee for 7 yards (tackle by K.J. Wright and Jamal Adams),0.280,0.680
2,1:56,2,3,LAR 27,10,17,Jared Goff pass incomplete short right intended for Tyler Higbee,0.680,-0.030
2,1:54,3,3,LAR 27,10,17,Jared Goff pass complete short middle to Gerald Everett for 11 yards (tackle by Jamal Adams),-0.030,1.470
2,1:36,1,10,LAR 38,10,17,Jared Goff pass incomplete short right intended for Gerald Everett,1.470,0.920
2,1:33,2,10,LAR 38,10,17,Jared Goff sacked by Jamal Adams for -5 yards,0.920,-0.430
2,1:25,,,,,,Timeout #2 by Los Angeles Rams,,
2,1:25,3,15,LAR 33,10,17,Jared Goff pass complete short right to Josh Reynolds for 8 yards (tackle by D.J. Reed),-0.430,-0.650
2,1:19,,,,,,Timeout #1 by Seattle Seahawks,,
2,1:19,4,7,LAR 41,10,17,"Johnny Hekker punts 50 yards, fair catch by David Moore at SEA-9",-0.650,0.380
