Unnamed: 0,SEA,LAR
First Downs,20,24
Rush-Yds-TDs,22-113-1,29-106-3
Cmp-Att-Yd-TD-INT,22-37-248-0-2,27-37-302-0-0
Sacked-Yards,6-28,3-19
Net Pass Yards,220,283
Total Yards,333,389
Fumbles-Lost,1-1,1-1
Turnovers,3,1
Penalties-Yards,4-23,4-49
Third Down Conv.,7-14,9-15
Fourth Down Conv.,0-0,1-1
Time of Possession,26:24,33:36
