Unnamed: 0,WAS,NYG
First Downs,19,22
Rush-Yds-TDs,16-74-0,36-197-4
Cmp-Att-Yd-TD-INT,26-44-296-1-2,15-25-161-0-1
Sacked-Yards,4-32,0-0
Net Pass Yards,264,161
Total Yards,338,358
Fumbles-Lost,6-4,1-0
Turnovers,6,1
Penalties-Yards,5-35,5-35
Third Down Conv.,5-12,2-10
Fourth Down Conv.,0-0,0-0
Time of Possession,25:32,34:28
