Quarter,Time,Down,ToGo,Location,SEA,SFO,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Seahawks won the coin toss and deferred, 49ers to receive the opening kickoff.",,
1,15:00,,,SEA 35,0,0,"Steven Hauschka kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,SFO 20,0,0,Colin Kaepernick pass complete short middle to Quinton Patton for 2 yards (tackle by Richard Sherman),0.280,0.000
1,14:32,2,8,SFO 22,0,0,Colin Kaepernick pass complete short left to Vance McDonald for 1 yard (tackle by Bruce Irvin),0.000,-0.560
1,13:51,3,7,SFO 23,0,0,Colin Kaepernick pass incomplete short left intended for Reggie Bush,-0.560,-1.830
1,13:47,4,7,SFO 23,0,0,"Bradley Pinion punts 42 yards, returned by Tyler Lockett for 4 yards (tackle by Jaquiski Tartt)",-1.830,-1.530
1,13:37,1,10,SEA 39,0,0,Marshawn Lynch left tackle for 5 yards (tackle by Aaron Lynch),1.530,1.660
1,13:04,2,5,SEA 44,0,0,Marshawn Lynch middle for 17 yards (tackle by Antoine Bethea),1.660,2.980
1,12:27,1,10,SFO 39,0,0,Russell Wilson pass complete short right to Tyler Lockett for 16 yards (tackle by Tramaine Brock),2.980,4.040
1,11:57,1,10,SFO 23,0,0,Marshawn Lynch right guard for 4 yards (tackle by Michael Wilhoite),4.040,4.050
1,11:20,2,6,SFO 19,0,0,Russell Wilson pass complete short left to Fred Jackson for 7 yards (tackle by Jimmie Ward and NaVorro Bowman),4.050,4.780
1,10:37,1,10,SFO 12,0,0,Marshawn Lynch middle for 9 yards (tackle by Antoine Bethea and Michael Wilhoite),4.780,5.790
1,10:01,2,1,SFO 3,0,0,Marshawn Lynch middle for no gain (tackle by Ian Williams and Quinton Dial),5.790,5.060
1,9:26,3,1,SFO 3,0,0,Marshawn Lynch right guard for no gain (tackle by Aaron Lynch and Eli Harold),5.060,3.060
1,8:49,4,1,SFO 3,0,0,Marshawn Lynch middle for 2 yards (tackle by Tank Carradine),3.060,6.970
1,7:50,1,1,SFO 1,0,0,Marshawn Lynch left guard for no gain (tackle by Ian Williams and NaVorro Bowman),6.970,5.910
1,7:11,2,1,SFO 1,0,0,Russell Wilson pass incomplete short right intended for Ricardo Lockette,5.910,5.170
1,7:05,3,1,SFO 1,6,0,"Marshawn Lynch middle for 1 yard, touchdown",5.170,7.000
1,7:05,,,SFO 1,7,0,Steven Hauschka kicks extra point good,0.000,0.000
1,7:05,,,SEA 35,7,0,"Steven Hauschka kicks off 64 yards, returned by Quinton Patton for 31 yards (tackle by Earl Thomas)",0.000,-1.070
1,6:53,1,10,SFO 32,7,0,Carlos Hyde right end for 2 yards (tackle by Cliff Avril),1.070,0.800
1,6:11,2,8,SFO 34,7,0,Colin Kaepernick pass incomplete deep right intended for Vernon Davis,0.800,0.100
1,6:06,3,8,SFO 34,7,0,Colin Kaepernick pass incomplete short right intended for Anquan Boldin,0.100,-1.110
1,6:01,4,8,SFO 34,7,0,"Bradley Pinion punts 41 yards, returned by Tyler Lockett for 10 yards (tackle by Eric Reid). Penalty on Chris Matthews: Offensive Holding, 10 yards",-1.110,0.220
1,5:51,1,10,SEA 15,7,0,Thomas Rawls middle for 2 yards (tackle by Quinton Dial),-0.220,-0.440
1,5:15,2,8,SEA 17,7,0,Thomas Rawls right guard for 2 yards (tackle by Ian Williams),-0.440,-0.880
1,4:31,3,6,SEA 19,7,0,Russell Wilson left tackle for 9 yards (tackle by Eric Reid),-0.880,0.810
1,3:55,1,10,SEA 28,7,0,Russell Wilson pass complete short middle to Thomas Rawls for 4 yards (tackle by NaVorro Bowman),0.810,0.800
1,3:15,2,6,SEA 32,7,0,Thomas Rawls left end for 17 yards (tackle by Antoine Bethea),0.800,2.190
1,2:34,1,10,SEA 49,7,0,Russell Wilson right end for 3 yards (tackle by Aaron Lynch),2.190,2.050
1,2:16,2,7,SFO 48,7,0,"Penalty on SEA: Offensive 12 On-field, 5 yards (no play)",2.050,1.380
1,1:52,2,12,SEA 47,7,0,Thomas Rawls right tackle for 3 yards (tackle by Antoine Bethea),1.380,1.090
1,1:14,3,9,,7,0,Russell Wilson pass incomplete short left intended for Jimmy Graham,1.090,-0.060
1,1:10,4,9,,7,0,Jon Ryan punts 39 yards,-0.060,0.370
1,0:59,1,10,SFO 11,7,0,Carlos Hyde left tackle for 13 yards (tackle by Earl Thomas),-0.370,0.540
1,0:27,1,10,SFO 24,7,0,"Penalty on Brandon Mebane: Neutral Zone Infraction, 5 yards (no play)",0.540,1.270
