Unnamed: 0,SEA,SFO
First Downs,21,8
Rush-Yds-TDs,41-176-1,15-61-0
Cmp-Att-Yd-TD-INT,18-24-235-1-2,13-24-124-0-0
Sacked-Yards,5-23,6-43
Net Pass Yards,212,81
Total Yards,388,142
Fumbles-Lost,0-0,1-0
Turnovers,2,0
Penalties-Yards,6-50,4-33
Third Down Conv.,5-13,1-11
Fourth Down Conv.,1-1,0-0
Time of Possession,38:05,21:55
