Quarter,Time,Tm,Detail,MIA,HOU
1.0,4:58,Dolphins,Kenyan Drake 12 yard rush (Jason Sanders kick),7,0
,0:31,Texans,Lamar Miller 2 yard rush (Ka'imi Fairbairn kick),7,7
2.0,14:14,Texans,Jordan Thomas 13 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),7,14
,2:57,Dolphins,Jason Sanders 37 yard field goal,10,14
3.0,11:34,Texans,Jordan Thomas 2 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),10,21
,4:55,Dolphins,Kenyan Drake 28 yard pass from Danny Amendola (Jason Sanders kick),17,21
,4:21,Texans,Will Fuller 73 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),17,28
,0:36,Dolphins,Jason Sanders 41 yard field goal,20,28
4.0,14:49,Texans,DeAndre Hopkins 49 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),20,35
,11:26,Dolphins,Jason Sanders 46 yard field goal,23,35
,7:34,Texans,DeAndre Hopkins 2 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),23,42
