Quarter,Time,Down,ToGo,Location,MIA,HOU,Detail,EPB,EPA
1,4:58,,,MIA 35,3,0,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
1,4:58,1,10,HOU 25,7,0,Deshaun Watson pass complete short right to DeAndre Hopkins for 6 yards (tackle by Bobby McCain),0.610,0.870
1,4:40,2,4,HOU 31,7,0,Lamar Miller right guard for 4 yards (tackle by Kiko Alonso and T.J. McDonald),0.870,1.270
1,4:04,1,10,HOU 35,7,0,Lamar Miller up the middle for 7 yards (tackle by Kiko Alonso and Reshad Jones),1.270,1.670
1,3:38,2,3,HOU 42,7,0,Lamar Miller right tackle for 2 yards (tackle by Vincent Taylor),1.670,1.220
1,2:58,3,1,HOU 44,3,0,Deshaun Watson pass complete short left to Will Fuller for 34 yards (tackle by Reshad Jones),1.220,4.110
1,2:33,1,10,MIA 22,3,0,Lamar Miller left guard for 19 yards (tackle by T.J. McDonald),4.110,6.510
1,2:01,1,3,MIA 3,7,0,Lamar Miller left guard for -1 yards (tackle by Vincent Taylor and Reshad Jones),6.510,5.340
1,1:21,2,4,MIA 4,7,0,Deshaun Watson pass complete short right to DeAndre Hopkins for 2 yards (tackle by Kiko Alonso and Xavien Howard),5.340,4.950
1,0:35,3,2,MIA 2,7,6,"Lamar Miller right guard for 2 yards, touchdown",4.950,7.000
1,0:31,,,MIA 15,7,7,Ka'imi Fairbairn kicks extra point good,0.000,0.000
1,0:31,,,HOU 35,7,7,"Ka'imi Fairbairn kicks off 64 yards, returned by Senorise Perry for no gain (tackle by Gregory Howell). Penalty on Walt Aikens: Offensive Holding, 10 yards",0.000,-0.380
1,0:23,1,10,MIA 10,7,7,Frank Gore left guard for 5 yards (tackle by Benardrick McKinney),-0.380,-0.350
Quarter,Time,Down,ToGo,Location,MIA,HOU,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,MIA 15,7,7,Brock Osweiler pass deep middle intended for Danny Amendola is intercepted by Justin Reid at MIA-37 and returned for 21 yards,-0.350,-4.510
2,14:50,1,10,MIA 16,7,7,Alfred Blue up the middle for 3 yards (tackle by Cameron Wake),4.510,4.390
2,14:18,2,7,MIA 13,7,13,"Deshaun Watson pass complete short right to Jordan Thomas for 13 yards, touchdown",4.390,7.000
2,14:14,,,MIA 15,7,14,Ka'imi Fairbairn kicks extra point good,0.000,0.000
2,14:14,,,HOU 35,7,14,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
2,14:14,1,10,MIA 25,7,14,Brock Osweiler pass complete short left to Danny Amendola for 4 yards (tackle by Natrell Jamerson),0.610,0.600
2,13:47,2,6,MIA 29,7,14,Frank Gore left end for 4 yards (tackle by Josh Keyes and Michael Tyson),0.600,0.430
2,13:05,3,2,MIA 33,7,14,Brock Osweiler pass complete short middle to Mike Gesicki for -1 yards (tackle by Kareem Jackson). Penalty on Jakeem Grant: Offensive Pass Interference (Declined),0.430,-1.240
2,12:51,4,3,MIA 32,7,14,"Matt Haack punts 60 yards, fair catch by Tyler Ervin at HOU-8",-1.240,0.380
2,12:41,1,10,HOU 8,7,14,Alfred Blue up the middle for 6 yards (tackle by Davon Godchaux and Vincent Taylor),-0.380,-0.320
2,12:09,2,4,HOU 14,7,14,Alfred Blue left guard for 12 yards (tackle by Bobby McCain),-0.320,0.670
2,11:35,1,10,HOU 26,7,14,Lamar Miller right guard for 15 yards (tackle by T.J. McDonald and Kiko Alonso),0.670,1.660
2,11:03,1,10,HOU 41,7,14,Alfred Blue right end for -1 yards (tackle by Akeem Spence),1.660,0.990
2,10:26,2,11,HOU 40,7,14,Deshaun Watson pass complete short left to Will Fuller for 3 yards (tackle by Raekwon McMillan and Jerome Baker),0.990,0.700
2,9:49,3,8,HOU 43,7,14,Deshaun Watson right end for 14 yards (tackle by Robert Quinn),0.700,2.720
2,9:06,1,10,MIA 43,7,14,"Deshaun Watson up the middle for no gain (tackle by Jerome Baker). Penalty on Jordan Akins: Offensive Holding, 10 yards (no play)",2.720,2.060
2,8:35,1,20,HOU 47,7,14,Deshaun Watson pass incomplete short right intended for Lamar Miller,2.060,0.830
2,8:28,2,20,HOU 47,7,14,Deshaun Watson pass complete short middle to Will Fuller for 10 yards (tackle by Reshad Jones and Kiko Alonso),0.830,1.490
2,7:43,3,10,MIA 43,7,14,Deshaun Watson pass incomplete deep left intended for Will Fuller,1.490,0.400
2,7:37,4,10,MIA 43,7,14,"Trevor Daniel punts 43 yards, touchback.",0.400,-0.280
2,7:29,1,10,MIA 20,7,14,Kenyan Drake right end for 5 yards (tackle by Kareem Jackson),0.280,0.410
2,6:46,2,5,MIA 25,7,14,Brock Osweiler pass complete short left to Jakeem Grant for 16 yards (tackle by Natrell Jamerson),0.410,1.660
2,6:15,1,10,MIA 41,7,14,Brock Osweiler pass complete short right to DeVante Parker for 19 yards (tackle by Peter Kalambayi and Justin Reid),1.660,2.920
2,5:33,1,10,HOU 40,7,14,Kenyan Drake up the middle for -1 yards (tackle by Tyrann Mathieu and Jadeveon Clowney),2.920,2.240
2,4:48,2,11,HOU 41,7,14,Brock Osweiler pass incomplete short right,2.240,1.550
2,4:41,,,,,,Timeout #2 by Miami Dolphins,,
2,4:41,3,11,HOU 41,7,14,Brock Osweiler pass complete short middle to DeVante Parker for 17 yards (tackle by Justin Reid),1.550,3.970
2,3:56,1,10,HOU 24,7,14,Brock Osweiler pass incomplete short left intended for Jakeem Grant (defended by Natrell Jamerson),3.970,3.430
2,3:49,2,10,HOU 24,7,14,Brock Osweiler pass complete short left to Frank Gore for 5 yards (tackle by Josh Keyes and Christian Covington),3.430,3.410
2,3:06,3,5,HOU 19,7,14,Brock Osweiler pass incomplete short right intended for Jakeem Grant,3.410,2.240
2,3:01,4,5,HOU 19,10,14,Jason Sanders 37 yard field goal good,2.240,3.000
2,2:57,,,MIA 35,10,14,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
2,2:57,1,10,HOU 25,10,14,Lamar Miller right end for 8 yards (tackle by Raekwon McMillan),0.610,1.140
2,2:26,2,2,HOU 33,10,14,Lamar Miller right end for 1 yard (tackle by Jerome Baker),1.140,0.560
2,2:00,3,1,HOU 34,10,14,Alfred Blue right guard for no gain (tackle by Cameron Wake),0.560,-1.110
2,1:46,,,,,,Timeout #1 by Houston Texans,,
2,1:46,4,1,HOU 34,10,14,"Trevor Daniel punts 42 yards, fair catch by Jakeem Grant at MIA-24",-1.110,-0.540
2,1:36,1,10,MIA 24,10,14,Kenyan Drake left end for 8 yards (tackle by J.J. Watt and Justin Reid),0.540,1.080
2,1:12,2,2,MIA 32,10,14,Brock Osweiler pass complete short right to Mike Gesicki for no gain (tackle by Kareem Jackson),1.080,0.370
2,1:06,,,,,,Timeout #3 by Miami Dolphins,,
2,1:06,3,2,MIA 32,10,14,Brock Osweiler pass complete short left to Danny Amendola for 13 yards (tackle by Josh Keyes),0.370,1.930
2,0:41,1,10,MIA 45,10,14,Brock Osweiler pass incomplete deep middle intended for Mike Gesicki,1.930,1.380
2,0:35,2,10,MIA 45,10,14,Brock Osweiler pass incomplete short middle,1.380,0.700
2,0:33,3,10,MIA 45,10,14,Brock Osweiler pass incomplete deep middle intended for Jakeem Grant,0.700,-0.390
2,0:28,4,10,MIA 45,10,14,"Matt Haack punts 41 yards, fair catch by Tyler Ervin at HOU-14",-0.390,0.280
2,0:20,1,10,HOU 14,10,14,"Deshaun Watson kneels for no gain. Penalty on Julie'n Davenport: Illegal Formation, 5 yards (no play)",-0.280,-0.570
2,0:16,1,15,HOU 9,10,14,Brandon Weeden kneels for -1 yards,-0.570,-1.220
Quarter,Time,Down,ToGo,Location,MIA,HOU,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIA 35,10,14,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,HOU 25,10,14,Lamar Miller right guard for 8 yards (tackle by Bobby McCain),0.610,1.140
3,14:29,2,2,HOU 33,10,14,Lamar Miller up the middle for 58 yards (tackle by Raekwon McMillan),1.140,5.140
3,13:51,1,9,MIA 9,10,14,Alfred Blue right tackle for no gain (tackle by Cameron Wake),5.140,4.380
3,13:15,2,9,MIA 9,10,14,"Deshaun Watson pass complete short left to Tyler Ervin for 9 yards. Penalty on Greg Mancz: Ineligible Downfield Pass, 5 yards (no play)",4.380,3.580
3,13:07,2,14,MIA 14,10,14,Deshaun Watson pass complete short right to Will Fuller for 4 yards (tackle by Kiko Alonso and Jerome Baker),3.580,3.130
3,12:22,3,10,MIA 10,10,14,Deshaun Watson pass complete short middle to Jordan Thomas for 8 yards (tackle by Kiko Alonso),3.130,3.250
3,11:43,,,,,,Timeout #1 by Houston Texans,,
3,11:43,4,2,MIA 2,10,20,"Deshaun Watson pass complete short middle to Jordan Thomas for 2 yards, touchdown",3.250,7.000
3,11:34,,,MIA 15,10,21,Ka'imi Fairbairn kicks extra point good,0.000,0.000
3,11:34,,,HOU 35,10,21,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
3,11:34,1,10,MIA 25,10,21,Frank Gore right end for 4 yards (tackle by D.J. Reader and Benardrick McKinney),0.610,0.600
3,10:53,2,6,MIA 29,10,21,"Brock Osweiler pass complete short right to Frank Gore for no gain (tackle by Kareem Jackson). Penalty on D.J. Reader: Defensive Offside, 5 yards (no play)",0.600,1.280
3,10:26,2,1,MIA 34,10,21,Brock Osweiler pass incomplete deep middle intended for DeVante Parker,1.280,0.560
3,10:20,,,,,,Timeout #2 by Houston Texans,,
3,10:20,3,1,MIA 34,10,21,Brock Osweiler pass complete short left to DeVante Parker for 8 yards (tackle by Natrell Jamerson),0.560,1.730
3,9:54,1,10,MIA 42,10,21,Frank Gore left guard for 4 yards (tackle by J.J. Watt),1.730,1.730
3,9:15,2,6,MIA 46,10,21,Brock Osweiler pass incomplete short right,1.730,1.030
3,9:09,3,6,MIA 46,10,21,Brock Osweiler pass incomplete deep right,1.030,-0.320
3,9:01,4,6,MIA 46,10,21,"Matt Haack punts 37 yards, fair catch by Tyler Ervin at HOU-17",-0.320,0.060
3,8:51,1,10,HOU 17,10,21,Lamar Miller up the middle for -2 yards (tackle by Reshad Jones),-0.060,-0.850
3,8:10,2,12,HOU 15,10,21,Deshaun Watson pass complete short left to Tyler Ervin for 4 yards (tackle by Reshad Jones),-0.850,-1.000
3,7:34,3,8,HOU 19,10,21,Deshaun Watson pass complete deep left to DeAndre Hopkins for 34 yards (tackle by Xavien Howard). Penalty on Bobby McCain: Illegal Contact (Offsetting) (no play),-1.000,-1.000
3,7:02,3,8,HOU 19,10,21,Deshaun Watson pass incomplete short left intended for Lamar Miller (defended by Andre Branch),-1.000,-2.140
3,6:55,4,8,HOU 19,10,21,"Trevor Daniel punts 53 yards, returned by Jakeem Grant for 21 yards (tackle by Justin Reid)",-2.140,-2.190
3,6:41,1,10,MIA 49,10,21,Frank Gore left tackle for 7 yards (tackle by Justin Reid and Peter Kalambayi),2.190,2.590
3,6:12,2,3,HOU 44,10,21,Frank Gore right guard for 8 yards (tackle by Michael Tyson and Christian Covington),2.590,3.180
3,5:40,1,10,HOU 36,10,21,Frank Gore right tackle for 8 yards (tackle by Benardrick McKinney),3.180,3.720
3,5:03,2,2,HOU 28,16,21,"Danny Amendola pass complete deep right to Kenyan Drake for 28 yards, touchdown",3.720,7.000
3,4:55,,,HOU 15,17,21,Jason Sanders kicks extra point good,0.000,0.000
3,4:55,,,MIA 35,17,21,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
3,4:55,1,10,HOU 25,17,21,Alfred Blue up the middle for 2 yards (tackle by Minkah Fitzpatrick),0.610,0.330
3,4:31,2,8,HOU 27,17,27,"Deshaun Watson pass complete deep right to Will Fuller for 73 yards, touchdown",0.330,7.000
3,4:21,,,MIA 15,17,28,Ka'imi Fairbairn kicks extra point good,0.000,0.000
3,4:21,,,HOU 35,17,28,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
3,4:21,1,10,MIA 25,17,28,Frank Gore right end for -1 yards (tackle by Brandon Dunn),0.610,-0.070
3,3:45,2,11,MIA 24,17,28,Frank Gore up the middle for no gain (tackle by Brandon Dunn),-0.070,-0.760
3,3:03,,,,,,Timeout #1 by Miami Dolphins,,
3,3:03,3,11,MIA 24,17,28,Brock Osweiler pass complete deep left to DeVante Parker for 46 yards (tackle by Tyrann Mathieu),-0.760,3.580
3,2:17,1,10,HOU 30,17,28,Kenyan Drake left end for 3 yards (tackle by Tyrann Mathieu),3.580,3.440
3,1:36,2,7,HOU 27,17,28,Kenyan Drake up the middle for 4 yards (tackle by Benardrick McKinney),3.440,3.270
3,0:47,3,3,HOU 23,17,28,Brock Osweiler pass incomplete deep left,3.270,2.030
3,0:39,4,3,HOU 23,20,28,Jason Sanders 41 yard field goal good,2.030,3.000
3,0:36,,,MIA 35,20,28,"Jason Sanders kicks onside 14 yards, returned by Josh Keyes for no gain (tackle by Stephone Anthony)",0.000,-2.320
3,0:35,1,10,MIA 49,20,28,Lamar Miller right guard for no gain (tackle by Raekwon McMillan and Andre Branch),2.320,1.780
Quarter,Time,Down,ToGo,Location,MIA,HOU,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,MIA 49,20,34,"Deshaun Watson pass complete deep right to DeAndre Hopkins for 49 yards, touchdown",1.780,7.000
4,14:49,,,MIA 15,20,35,Ka'imi Fairbairn kicks extra point good,0.000,0.000
4,14:49,,,HOU 35,20,35,"Ka'imi Fairbairn kicks off 68 yards, returned by Senorise Perry for no gain (tackle by Natrell Jamerson and Peter Kalambayi)",0.000,0.670
4,14:38,1,10,MIA 26,20,35,Kenyan Drake left tackle for 9 yards (tackle by Justin Reid and Whitney Mercilus),0.670,1.350
4,14:09,2,1,MIA 35,20,35,Kenyan Drake up the middle for 1 yard (tackle by Peter Kalambayi and Kareem Jackson),1.350,1.330
4,13:29,1,10,MIA 36,20,35,Brock Osweiler pass complete deep middle to DeVante Parker for 30 yards (tackle by Tyrann Mathieu),1.330,3.310
4,12:54,1,10,HOU 34,20,35,Kenyan Drake right tackle for -3 yards (tackle by Brennan Scarlett and Jadeveon Clowney),3.310,2.370
4,12:23,2,13,HOU 37,20,35,Brock Osweiler pass complete short middle to Danny Amendola for 9 yards (tackle by Benardrick McKinney),2.370,2.870
4,11:36,3,4,HOU 28,20,35,Brock Osweiler pass incomplete deep left intended for DeVante Parker (defended by Justin Reid),2.870,1.650
4,11:30,4,4,HOU 28,23,35,Jason Sanders 46 yard field goal good,1.650,3.000
4,11:26,,,MIA 35,23,35,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
4,11:26,1,10,HOU 25,23,35,Lamar Miller right guard for 2 yards (tackle by Akeem Spence),0.610,0.330
4,10:47,2,8,HOU 27,23,35,"Deshaun Watson pass complete short right to Jordan Thomas for 5 yards (tackle by Bobby McCain). Penalty on Cameron Wake: Defensive Offside, 5 yards (no play)",0.330,1.010
4,10:23,2,3,HOU 32,23,35,Deshaun Watson pass complete deep left to DeAndre Hopkins for 19 yards (tackle by Xavien Howard),1.010,2.320
4,9:41,1,10,MIA 49,23,35,Lamar Miller left guard for 3 yards (tackle by Cameron Wake),2.320,2.190
4,9:03,2,7,MIA 46,23,35,"Deshaun Watson pass incomplete deep right intended for Will Fuller. Penalty on Bobby McCain: Defensive Pass Interference, 38 yards. Penalty on Bobby McCain: Defensive Holding (Declined) (no play)",2.190,5.370
4,8:56,1,8,MIA 8,23,35,Lamar Miller left end for 5 yards (tackle by Jonathan Woodard and Minkah Fitzpatrick),5.370,5.530
4,8:17,2,3,MIA 3,23,35,Lamar Miller up the middle for 1 yard (tackle by Kiko Alonso),5.530,4.950
4,7:39,3,2,MIA 2,23,41,"Deshaun Watson pass complete short left to DeAndre Hopkins for 2 yards, touchdown",4.950,7.000
4,7:34,,,MIA 15,23,42,Ka'imi Fairbairn kicks extra point good,0.000,0.000
4,7:34,,,HOU 35,23,42,"Ka'imi Fairbairn kicks off 69 yards, returned by Senorise Perry for no gain (tackle by Duke Ejiofor and Josh Keyes)",0.000,0.810
4,7:26,1,10,MIA 28,23,42,Brock Osweiler sacked by Tyrann Mathieu for -9 yards,0.810,-1.010
4,6:55,2,19,MIA 19,23,42,Brock Osweiler pass incomplete deep left intended for DeVante Parker,-1.010,-1.720
4,6:50,3,19,MIA 19,23,42,Brock Osweiler pass complete short right to Mike Gesicki for 5 yards (tackle by Kareem Jackson),-1.720,-1.770
4,6:06,4,14,MIA 24,23,42,"Matt Haack punts 50 yards, returned by Tyler Ervin for 13 yards (tackle by Jerome Baker and Martrell Spaight). Penalty on Johnson Bademosi: Illegal Block Above the Waist, 10 yards",-1.770,-0.870
4,5:53,1,10,HOU 29,23,42,Alfred Blue up the middle for 1 yard (tackle by Raekwon McMillan),0.870,0.460
4,5:49,2,9,HOU 30,23,42,"Penalty on Akeem Spence: Encroachment, 5 yards (no play)",0.460,1.140
4,4:51,2,4,HOU 35,23,42,Alfred Blue right guard for 1 yard (tackle by Raekwon McMillan and Jerome Baker),1.140,0.560
4,4:43,,,,,,Timeout #2 by Miami Dolphins,,
4,4:43,3,3,HOU 36,23,42,Deshaun Watson pass complete short right to DeAndre Hopkins for 4 yards (tackle by Bobby McCain),0.560,1.600
4,4:39,1,10,HOU 40,23,42,Alfred Blue right tackle for 2 yards (tackle by Raekwon McMillan),1.600,1.320
4,3:59,2,8,HOU 42,23,42,Alfred Blue left guard for 3 yards (tackle by Jamiyus Pittman and Cameron Wake),1.320,1.030
4,3:15,3,5,HOU 45,23,42,Alfred Blue right end for 8 yards (tackle by Kiko Alonso),1.030,2.460
4,3:08,1,10,MIA 47,23,42,Alfred Blue right guard for 2 yards (tackle by Minkah Fitzpatrick and Raekwon McMillan),2.460,2.180
4,2:26,2,8,MIA 45,23,42,Alfred Blue left guard for 2 yards (tackle by Raekwon McMillan),2.180,1.750
4,2:00,3,6,MIA 43,23,42,Alfred Blue left tackle for 1 yard (tackle by Davon Godchaux and Akeem Spence),1.750,0.460
4,1:14,4,5,MIA 42,23,42,"Trevor Daniel punts 31 yards, fair catch by Danny Amendola at MIA-11",0.460,0.370
4,1:06,1,10,MIA 11,23,42,Brock Osweiler pass complete short middle to Danny Amendola for 7 yards (tackle by Tyrann Mathieu),-0.370,0.000
4,0:43,2,3,MIA 18,23,42,Brock Osweiler pass complete short middle to Mike Gesicki for 10 yards (tackle by Kareem Jackson),0.000,0.810
4,0:17,1,10,MIA 28,23,42,Brock Osweiler pass complete short middle to Jakeem Grant for 4 yards (tackle by Brennan Scarlett and Kareem Jackson),0.810,0.800
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
