Quarter,Time,Tm,Detail,SEA,SFO
1.0,2:09,Seahawks,Jason Myers 36 yard field goal,3,0
2.0,9:27,Seahawks,Jason Myers 30 yard field goal,6,0
,0:25,49ers,Tristan Vizcaino 36 yard field goal,6,3
3.0,9:31,49ers,Tristan Vizcaino 47 yard field goal,6,6
,6:19,49ers,Tristan Vizcaino 33 yard field goal,6,9
4.0,14:22,49ers,Jeff Wilson 7 yard rush (Tristan Vizcaino kick),6,16
,10:54,Seahawks,Tyler Lockett 6 yard pass from Russell Wilson (Jason Myers kick failed),12,16
,2:20,Seahawks,Tyler Lockett 4 yard pass from Russell Wilson (Jason Myers kick),19,16
,1:49,Seahawks,Alex Collins 8 yard rush (Jason Myers kick),26,16
,0:23,49ers,Jeff Wilson 3 yard pass from C.J. Beathard (Tristan Vizcaino kick),26,23
