Quarter,Time,Down,ToGo,Location,MIA,HOU,Detail,EPB,EPA
2,10:34,3,7,HOU 25,10,7,Cleo Lemon pass complete short middle to David Martin for 3 yards (tackle by C.C. Brown),2.870,2.070
2,9:51,4,4,HOU 22,13,7,Jay Feely 40 yard field goal good,2.070,3.000
2,,,,MIA 30,13,7,"Jay Feely kicks off 78 yards, touchback",0.000,0.280
2,9:46,1,10,HOU 20,13,7,Ron Dayne right end for 4 yards (tackle by Keith Traylor),0.280,0.270
2,9:10,2,6,HOU 24,13,7,Ron Dayne left guard for 9 yards (tackle by Cameron Worrell),0.270,1.140
2,8:28,1,10,HOU 33,13,7,Matt Schaub pass complete short left to Owen Daniels for 7 yards (tackle by Zach Thomas),1.140,1.540
2,7:49,2,3,HOU 40,13,7,Samkon Gado right end for -1 yards (tackle by Will Allen),1.540,0.700
2,7:07,3,4,HOU 39,13,7,Matt Schaub pass complete short middle to Kevin Walter for 7 yards (tackle by Joey Porter),0.700,1.990
2,6:28,1,10,HOU 46,13,7,Ron Dayne left guard for 2 yards (tackle by Rodrique Wright),1.990,1.720
2,5:53,2,8,HOU 48,13,7,"Matt Schaub sacked by Jason Taylor for -7 yards. Matt Schaub fumbles (forced by Jason Taylor), recovered by Rodrique Wright at HOU-41 (tackle by Fred E. Weary)",1.720,-2.850
2,5:45,1,10,HOU 41,13,7,Ronnie Brown left guard for 3 yards (tackle by DeMeco Ryans),2.850,2.710
2,5:11,2,7,HOU 38,13,7,Cleo Lemon pass incomplete short left intended for David Martin (defended by Morlon Greenwood),2.710,2.020
2,5:05,3,7,HOU 38,13,7,Cleo Lemon pass complete short right to Ronnie Brown for 21 yards (tackle by Fred Bennett),2.020,4.440
2,4:27,1,10,HOU 17,13,7,Ronnie Brown left tackle for 2 yards (tackle by Amobi Okoye),4.440,4.150
2,3:44,2,8,HOU 15,13,7,Cleo Lemon pass incomplete short right intended for Justin Peelle (defended by Earl Cochran),4.150,3.340
2,3:40,3,8,HOU 15,13,7,Cleo Lemon pass incomplete short right intended for Chris Chambers,3.340,2.440
2,3:35,4,8,HOU 15,16,7,Jay Feely 33 yard field goal good,2.440,3.000
2,,,,MIA 30,16,7,"Jay Feely kicks off 72 yards, returned by Dexter Wynn for 37 yards (tackle by Jay Feely)",0.000,1.270
2,3:23,1,10,HOU 35,16,7,Samkon Gado right guard for 3 yards (tackle by Keith Traylor),1.270,1.130
2,2:50,2,7,HOU 38,16,7,"Matt Schaub pass complete deep middle to Andre' Davis for 30 yards (tackle by Will Allen). Penalty on Chester Pitts: Offensive Holding, 10 yards (no play)",1.130,-0.220
2,2:21,2,17,HOU 28,16,7,Matt Schaub pass complete short middle to Andre' Davis for 16 yards (tackle by Renaldo Hill),-0.220,1.220
2,2:00,3,1,HOU 44,16,7,Matt Schaub right guard for 2 yards (tackle by Jason Taylor and Keith Traylor),1.220,1.990
2,1:37,1,10,HOU 46,16,7,Matt Schaub pass complete short middle to Samkon Gado for 20 yards (tackle by Cameron Worrell),1.990,3.310
2,1:13,1,10,MIA 34,16,7,Matt Schaub pass complete short middle to Andre' Davis for 7 yards (tackle by Will Allen),3.310,3.720
2,1:04,,,,16,7,Timeout #1 by Houston Texans,0.000,3.720
2,1:04,2,3,MIA 27,16,7,Matt Schaub sacked by Jason Taylor for -9 yards,3.720,1.820
2,0:56,,,,16,7,Timeout #2 by Houston Texans,0.000,1.820
2,0:56,3,12,MIA 36,16,7,Matt Schaub pass incomplete short middle intended for Kevin Walter,1.820,0.880
2,0:51,4,12,MIA 36,16,10,Kris Brown 54 yard field goal good,0.880,3.000
2,,,,HOU 30,,,"Kris Brown kicks off 56 yards, returned by Ted Ginn for 23 yards (tackle by Fred Bennett)",,
2,0:39,1,10,MIA 37,16,10,Cleo Lemon pass incomplete deep right intended for Ted Ginn Jr. (defended by Fred Bennett),1.400,0.860
2,0:33,2,10,MIA 37,16,10,Cleo Lemon pass complete short left to Ronnie Brown for -3 yards (tackle by Demarcus Faggins),0.860,-0.230
Quarter,Time,Down,ToGo,Location,MIA,HOU,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,HOU 30,16,10,"Kris Brown kicks off 73 yards, returned by Ted Ginn Jr. for 35 yards (tackle by Fred Bennett)",0.000,1.070
3,14:52,1,10,MIA 32,16,10,Ronnie Brown left tackle for 3 yards (tackle by Morlon Greenwood),1.070,0.930
3,14:15,2,7,MIA 35,16,10,Cleo Lemon pass incomplete deep left intended for Marty Booker is intercepted by C.C. Brown at HOU-45 and returned for 9 yards (tackle by Marty Booker),0.930,-2.520
3,14:04,1,10,MIA 46,16,10,Ron Dayne left tackle for 7 yards (tackle by Cameron Worrell),2.520,2.920
3,13:29,2,3,MIA 39,16,10,Ron Dayne right guard for 2 yards (tackle by Keith Traylor),2.920,2.480
3,12:52,3,1,MIA 37,16,10,Ron Dayne up the middle for 1 yard (tackle by Matt Roth),2.480,3.180
3,12:14,1,10,MIA 36,16,10,"Matt Schaub pass incomplete deep left intended for Andre' Davis. Penalty on Michael Lehan: Illegal Contact, 5 yards (no play)",3.180,3.510
3,12:07,1,10,MIA 31,16,10,Ron Dayne up the middle for 2 yards (tackle by Rodrique Wright),3.510,3.240
3,11:29,2,8,MIA 29,16,10,Matt Schaub pass complete short left to Vonta Leach for 4 yards,3.240,3.070
3,10:54,3,4,MIA 25,16,10,Matt Schaub pass incomplete short middle intended for Owen Daniels (defended by Will Allen),3.070,1.880
3,10:49,4,4,MIA 25,16,13,Kris Brown 43 yard field goal good,1.880,3.000
3,,,,HOU 30,16,13,"Kris Brown kicks off 51 yards, returned by Gene Mruczkowski for 9 yards",0.000,0.810
3,10:41,1,10,MIA 28,16,13,Cleo Lemon pass incomplete short right intended for Marty Booker (defended by Demarcus Faggins),0.810,0.260
3,10:36,2,10,MIA 28,16,13,Ronnie Brown up the middle for 1 yard (tackle by DeMeco Ryans and Mario Williams),0.260,-0.300
3,9:54,3,9,MIA 29,16,13,Cleo Lemon pass complete short middle to David Martin for 9 yards (tackle by DeMeco Ryans),-0.300,1.470
3,9:20,1,10,MIA 38,16,13,Ronnie Brown up the middle for 19 yards (tackle by C.C. Brown),1.470,2.720
3,8:42,1,10,HOU 43,16,13,Ronnie Brown left guard for 3 yards (tackle by DeMeco Ryans and Travis Johnson),2.720,2.580
3,8:01,2,7,HOU 40,16,13,Ronnie Brown left tackle for 9 yards (tackle by C.C. Brown),2.580,3.510
3,7:15,1,10,HOU 31,16,13,Ronnie Brown left end for 1 yard (tackle by C.C. Brown),3.510,3.100
3,6:30,2,9,HOU 30,16,13,Cleo Lemon sacked by Mario Williams for -8 yards,3.100,1.360
3,5:50,,,,16,13,Timeout #1 by Miami Dolphins,0.000,1.360
3,5:50,3,17,HOU 38,16,13,Cleo Lemon pass complete short middle to Ronnie Brown for no gain,1.360,0.720
3,5:01,4,17,HOU 38,16,13,"Brandon Fields punts 25 yards, fair catch by Dexter Wynn. Penalty on Cameron Worrell: Offensive Holding, 10 yards",0.720,-0.480
3,4:53,1,10,HOU 23,16,13,Samkon Gado left guard for 1 yard (tackle by Keith Traylor),0.480,0.070
3,4:19,2,9,HOU 24,16,13,Matt Schaub pass complete deep right to Kevin Walter for 21 yards (tackle by Joey Porter),0.070,1.930
3,3:40,1,10,HOU 45,16,13,Matt Schaub pass complete short middle to Owen Daniels for 17 yards (tackle by Cameron Worrell),1.930,3.050
3,3:06,1,10,MIA 38,16,13,Samkon Gado right guard for 2 yards (tackle by Renaldo Hill),3.050,2.780
3,2:28,2,8,MIA 36,16,13,Matt Schaub pass incomplete short middle intended for Kevin Walter (defended by Michael Lehan),2.780,2.080
3,2:21,3,8,MIA 36,16,13,Matt Schaub pass incomplete short middle intended for Andre' Davis,2.080,0.880
3,2:16,4,8,MIA 36,16,16,Kris Brown 54 yard field goal good,0.880,3.000
3,,,,HOU 30,16,16,"Kris Brown kicks off 69 yards, returned by Ted Ginn Jr. for 29 yards (tackle by Jameel Cook)",0.000,0.940
3,2:06,1,10,MIA 30,16,16,Ronnie Brown up the middle for 3 yards (tackle by Morlon Greenwood),0.940,0.800
3,1:26,2,7,MIA 33,16,16,Cleo Lemon pass complete short right to Ronnie Brown for 11 yards (tackle by Demarcus Faggins). Penalty on Danny Clark: Defensive Holding (Declined),0.800,1.860
3,1:00,1,10,MIA 44,16,16,Ronnie Brown up the middle for 2 yards (tackle by C.C. Brown and Mario Williams),1.860,1.590
3,0:21,2,8,MIA 46,16,16,Cleo Lemon pass complete short right to Chris Chambers for 9 yards (tackle by Demarcus Faggins),1.590,2.590
Quarter,Time,Down,ToGo,Location,MIA,HOU,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,HOU 45,16,16,"Penalty on Chris Liwienski: False Start, 5 yards (no play)",2.590,2.260
4,15:00,1,15,,16,16,Cleo Lemon pass complete short left to Marty Booker for 9 yards (tackle by DeMeco Ryans),2.260,2.580
4,14:16,2,6,HOU 41,16,16,Cleo Lemon pass complete short left to Chris Chambers for 10 yards (tackle by Dunta Robinson),2.580,3.510
4,13:41,1,10,HOU 31,16,16,Ronnie Brown up the middle for 1 yard (tackle by Danny Clark),3.510,3.100
4,13:00,2,9,HOU 30,16,16,Cleo Lemon pass incomplete deep right intended for Ted Ginn Jr. (defended by Demarcus Faggins),3.100,2.410
4,12:53,3,9,HOU 30,16,16,Cleo Lemon pass incomplete short left intended for Chris Chambers,2.410,1.410
4,12:50,4,9,HOU 30,19,16,Jay Feely 48 yard field goal good,1.410,3.000
4,,,,MIA 30,19,16,"Jay Feely kicks off 74 yards, returned by Dexter Wynn for 38 yards (tackle by Jay Feely)",0.000,1.200
4,12:38,1,10,HOU 34,19,16,Matt Schaub pass incomplete deep right intended for Kevin Walter,1.200,0.660
4,12:38,2,10,HOU 34,19,16,"Penalty on Owen Daniels: False Start, 5 yards (no play)",0.660,-0.020
4,12:30,2,15,HOU 29,19,16,Matt Schaub pass complete short right to Kevin Walter for 17 yards (tackle by Travis Daniels),-0.020,1.990
4,11:56,1,10,HOU 46,19,16,Ron Dayne left guard for 2 yards (tackle by Keith Traylor),1.990,1.720
4,11:21,2,8,HOU 48,19,16,Matt Schaub pass complete short left to Ron Dayne for 5 yards (tackle by Zach Thomas),1.720,1.690
4,10:38,3,3,MIA 47,19,16,"Matt Schaub pass complete short left to Ron Dayne for 4 yards (tackle by Zach Thomas). Penalty on Chester Pitts: Offensive Holding, 10 yards (no play)",1.690,0.370
4,10:04,3,13,HOU 43,19,16,Matt Schaub pass complete short left to Owen Daniels for 15 yards (tackle by Zach Thomas),0.370,2.790
4,9:22,1,10,MIA 42,19,16,Ron Dayne up the middle for 2 yards (tackle by Cameron Worrell and Zach Thomas),2.790,2.510
4,8:45,2,8,MIA 40,19,16,Matt Schaub pass complete short left to Andre' Davis for 7 yards (tackle by Will Allen),2.510,2.740
4,8:11,3,1,MIA 33,19,16,Matt Schaub right guard for 3 yards (tackle by Joey Porter and Matt Roth),2.740,3.580
4,7:32,1,10,MIA 30,19,16,Samkon Gado left guard for 2 yards (tackle by Jason Taylor),3.580,3.300
4,6:53,2,8,MIA 28,19,16,Matt Schaub pass complete deep left to Owen Daniels for 24 yards (tackle by Cameron Worrell),3.300,6.280
4,6:19,1,4,MIA 4,19,16,Matt Schaub pass incomplete short left intended for Andre' Davis,6.280,5.340
4,6:14,2,4,MIA 4,19,16,Ron Dayne right guard for 2 yards (tackle by Keith Traylor and Cameron Worrell),5.340,4.950
4,6:14,3,2,MIA 2,19,16,Matt Schaub pass incomplete short right intended for Ron Dayne,4.950,3.250
4,5:26,4,2,MIA 2,19,19,Kris Brown 20 yard field goal good,3.250,3.000
4,,,,HOU 30,19,19,"Kris Brown kicks off 75 yards, returned by Ted Ginn Jr. for 37 yards (tackle by Fred Bennett)",0.000,1.070
4,5:19,1,10,MIA 32,19,19,Cleo Lemon pass complete short right to Marty Booker for 9 yards,1.070,1.740
4,4:40,2,1,MIA 41,19,19,Ronnie Brown left guard for 2 yards (tackle by Morlon Greenwood and Amobi Okoye),1.740,1.800
4,4:04,1,10,MIA 43,19,19,Ronnie Brown right guard for 6 yards (tackle by C.C. Brown),1.800,2.060
4,3:26,2,4,MIA 49,19,19,"Cleo Lemon pass complete short left to Justin Peelle for 8 yards (tackle by Dunta Robinson). Penalty on Marty Booker: Offensive Pass Interference, 10 yards (no play)",2.060,0.710
4,3:20,2,14,MIA 39,19,19,Cleo Lemon pass complete short left to Marty Booker for 11 yards (tackle by Dunta Robinson),0.710,1.490
4,2:39,3,3,,19,19,Cleo Lemon pass complete short right to Marty Booker for 11 yards (tackle by Dunta Robinson),1.490,2.980
4,2:08,1,10,HOU 39,19,19,Ronnie Brown right end for 1 yard (tackle by C.C. Brown and Fred Bennett),2.980,2.580
4,2:00,2,9,HOU 38,19,19,Cleo Lemon pass incomplete short right intended for Justin Peelle,2.580,1.880
4,1:55,3,9,HOU 38,19,19,Cleo Lemon pass incomplete short right intended for Marty Booker,1.880,0.720
4,1:51,,,,19,19,Timeout #2 by Miami Dolphins,0.000,0.720
4,1:51,4,9,HOU 38,19,19,Brandon Fields punts 35 yards,0.720,0.380
4,1:33,1,10,HOU 3,19,19,Samkon Gado for 1 yard (tackle by Zach Thomas),-0.380,-0.710
4,0:54,2,9,HOU 4,19,19,Matt Schaub pass complete short right to Owen Daniels for 19 yards (tackle by Renaldo Hill),-0.710,0.480
4,0:47,1,10,HOU 23,19,19,Matt Schaub pass incomplete short left intended for David Anderson,0.480,-0.070
4,0:42,2,10,HOU 23,19,19,Matt Schaub pass complete short middle to Owen Daniels for 14 yards (tackle by Michael Lehan),-0.070,1.400
4,0:36,,,,19,19,Timeout #1 by Houston Texans,0.000,1.400
4,0:36,1,10,HOU 37,19,19,Matt Schaub pass complete deep middle to David Anderson for 19 yards (tackle by Michael Lehan),1.400,2.650
4,0:22,,,,19,19,Timeout #2 by Houston Texans,0.000,2.650
4,0:22,1,10,MIA 44,19,19,Matt Schaub pass complete short middle to Kevin Walter for 6 yards (tackle by Will Allen),2.650,2.920
4,0:22,2,4,MIA 38,19,19,Matt Schaub spiked the ball,2.920,2.210
4,0:06,3,4,MIA 38,19,22,Kris Brown 57 yard field goal good,2.210,3.000
4,,,,HOU 30,19,22,"Kris Brown kicks off 45 yards, returned by Patrick Cobbs for 6 yards",0.000,0.940
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
