Quarter,Time,Tm,Detail,MIA,HOU
1.0,8:47,Texans,Ron Dayne 1 yard rush (Kris Brown kick),0,7
,4:18,Dolphins,Jay Feely 23 yard field goal,3,7
,0:16,Dolphins,Ronnie Brown 3 yard rush (Jay Feely kick),10,7
2.0,9:46,Dolphins,Jay Feely 40 yard field goal,13,7
,3:31,Dolphins,Jay Feely 33 yard field goal,16,7
,0:46,Texans,Kris Brown 54 yard field goal,16,10
3.0,10:45,Texans,Kris Brown 43 yard field goal,16,13
,2:12,Texans,Kris Brown 54 yard field goal,16,16
4.0,12:46,Dolphins,Jay Feely 48 yard field goal,19,16
,5:25,Texans,Kris Brown 20 yard field goal,19,19
,0:01,Texans,Kris Brown 57 yard field goal,19,22
