Unnamed: 0,CIN,KAN
First Downs,15,33
Rush-Yds-TDs,19-65-0,29-198-1
Cmp-Att-Yd-TD-INT,19-33-187-1-1,28-39-358-4-1
Sacked-Yards,2-13,2-5
Net Pass Yards,174,353
Total Yards,239,551
Fumbles-Lost,2-0,2-0
Turnovers,1,1
Penalties-Yards,8-58,8-49
Third Down Conv.,4-11,9-12
Fourth Down Conv.,0-1,0-1
Time of Possession,26:17,33:43
