Unnamed: 0,CIN,STL
First Downs,19,18
Rush-Yds-TDs,34-110-2,24-95-0
Cmp-Att-Yd-TD-INT,15-26-179-0-1,25-36-229-1-0
Sacked-Yards,1-6,3-19
Net Pass Yards,173,210
Total Yards,283,305
Fumbles-Lost,3-0,1-0
Turnovers,1,0
Penalties-Yards,11-101,10-109
Third Down Conv.,3-11,2-13
Fourth Down Conv.,0-1,0-1
Time of Possession,30:03,29:57
