Quarter,Time,Down,ToGo,Location,CIN,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Mike Nugent kicks off 68 yards, returned by Jerious Norwood for 23 yards (tackle by Jeromy Miles)",0.000,0.280
1,14:56,1,10,STL 20,0,0,Steven Jackson right guard for 6 yards (tackle by Manny Lawson),0.280,0.540
1,14:22,2,4,STL 26,0,0,Kellen Clemens pass complete short right to Austin Pettis for 16 yards (tackle by Chris Crocker),0.540,1.730
1,13:44,1,10,STL 42,0,0,Steven Jackson for 12 yards (tackle by Gibril Wilson),1.730,2.520
1,13:16,1,10,CIN 46,0,0,Steven Jackson left end for 3 yards (tackle by Micah Johnson),2.520,2.380
1,12:50,,,,0,0,Timeout #1 by Cincinnati Bengals,0.000,2.380
1,12:50,2,7,CIN 43,0,0,Kellen Clemens pass incomplete short right intended for Brandon Lloyd,2.380,1.680
1,12:45,,,,0,0,Timeout #1 by St. Louis Rams,0.000,1.680
1,12:44,3,7,CIN 43,0,0,Steven Jackson right end for -1 yards (tackle by Geno Atkins),1.680,0.330
1,12:04,4,8,CIN 44,0,0,"Donnie Jones punts 44 yards, touchback",0.330,-0.280
1,12:00,1,10,CIN 20,0,0,Andy Dalton pass incomplete short right intended for Jerome Simpson,0.280,-0.270
1,11:54,2,10,CIN 20,0,0,Andy Dalton pass complete short right to Jermaine Gresham for 3 yards (tackle by Roderick Hood),-0.270,-0.560
1,11:14,3,7,CIN 23,0,0,"Andy Dalton pass incomplete short right intended for A.J. Green. Penalty on Eugene Sims: Roughing the Passer, 15 yards (no play)",-0.560,1.470
1,11:10,1,10,CIN 38,0,0,Cedric Benson left tackle for 5 yards (tackle by Fred Robbins),1.470,1.600
1,10:36,2,5,CIN 43,0,0,Andy Dalton pass complete deep left to A.J. Green for 55 yards (tackle by Quintin Mikell),1.600,6.740
1,9:54,1,2,STL 2,0,0,Cedric Benson left tackle for -1 yards (tackle by Brady Poppinga and Quintin Mikell),6.740,5.530
1,9:11,2,3,STL 3,0,0,Andy Dalton pass incomplete short left intended for A.J. Green,5.530,4.720
1,9:07,3,3,STL 3,0,0,Andy Dalton pass incomplete short right intended for A.J. Green,4.720,3.040
1,9:02,4,3,STL 3,3,0,Mike Nugent 21 yard field goal good,3.040,3.000
1,,,,CIN 35,3,0,"Mike Nugent kicks off 63 yards, returned by Jerious Norwood for 13 yards (tackle by Dan Skuta)",0.000,-0.220
1,8:54,1,10,STL 15,3,0,Steven Jackson up the middle for 1 yard (tackle by Manny Lawson),-0.220,-0.580
1,8:16,2,9,STL 16,3,0,Kellen Clemens pass complete short right to Austin Pettis for 10 yards (tackle by Nate Clements),-0.580,0.670
1,7:31,1,10,STL 26,3,0,Steven Jackson right guard for 3 yards (tackle by Rey Maualuga),0.670,0.540
1,6:48,2,7,STL 29,3,0,Kellen Clemens pass complete short left to Brandon Lloyd for 15 yards (tackle by Pacman Jones),0.540,1.860
1,6:11,1,10,STL 44,3,0,Jerious Norwood left guard for -1 yards (tackle by Geno Atkins),1.860,1.180
1,5:29,2,11,STL 43,3,0,"Kellen Clemens pass complete short right to Brandon Lloyd for 8 yards (tackle by Nate Clements). Penalty on Chris Crocker: Roughing the Passer, 15 yards",1.180,3.310
1,5:14,1,10,CIN 34,3,0,Kellen Clemens pass incomplete short left intended for Austin Pettis,3.310,2.770
1,5:09,2,10,CIN 34,3,0,Steven Jackson left tackle for 9 yards (tackle by Thomas Howard),2.770,3.270
1,4:29,3,1,CIN 25,3,0,Steven Jackson right end for -2 yards (tackle by Nate Clements),3.270,1.770
1,3:49,4,3,CIN 27,3,0,Josh Brown 45 yard field goal no good,1.770,-1.270
1,3:45,1,10,CIN 35,3,0,"Andy Dalton pass incomplete short left intended for Jerome Simpson. Penalty on Mike McGlynn: Offensive Holding, 10 yards (no play)",1.270,0.610
1,3:42,1,20,CIN 25,3,0,Cedric Benson left tackle for 4 yards (tackle by Robert Quinn),0.610,-0.090
1,3:04,2,16,CIN 29,3,0,Andy Dalton pass complete short right to A.J. Green for 30 yards (tackle by Darian Stewart),-0.090,2.850
1,2:26,1,10,STL 41,3,0,"Cedric Benson left tackle for 2 yards (tackle by Chris Chamberlain). Penalty on Chris Long: Defensive Offside, 5 yards (no play)",2.850,3.580
1,1:56,1,5,STL 36,3,0,Andy Dalton pass complete short right to Colin Cochart for 6 yards (tackle by Brady Poppinga),3.580,3.580
1,1:17,1,10,STL 30,3,0,Cedric Benson right tackle for 5 yards (tackle by James Laurinaitis),3.580,3.710
1,0:39,2,5,STL 25,3,0,"Cedric Benson left guard for 6 yards (tackle by Darian Stewart). Cedric Benson fumbles (forced by Darian Stewart), recovered by Cedric Benson at STL-20",3.710,4.310
Quarter,Time,Down,ToGo,Location,CIN,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,STL 19,3,0,"Andy Dalton pass incomplete deep left intended for Donald Lee. Penalty on Mike McGlynn: Illegal Use of Hands, 10 yards (no play)",4.310,3.640
2,14:54,1,20,STL 29,3,0,Cedric Benson left guard for -1 yards (tackle by Chris Long),3.640,2.280
2,14:13,2,21,STL 30,3,0,Andy Dalton pass incomplete short left intended for Andrew Hawkins is intercepted by Josh Gordy at STL-22 and returned for 30 yards (tackle by Andy Dalton),2.280,-2.390
2,14:05,1,10,CIN 48,3,0,Steven Jackson right tackle for 5 yards (tackle by Chris Crocker),2.390,2.520
2,13:30,2,5,CIN 43,3,0,Steven Jackson right tackle for 2 yards (tackle by Chris Crocker and Thomas Howard),2.520,2.080
2,12:49,3,3,CIN 41,3,0,Kellen Clemens sacked by Jonathan Fanene for -6 yards,2.080,0.130
2,12:26,4,9,CIN 47,3,0,"Donnie Jones punts 36 yards, fair catch by Brandon Tate",0.130,0.370
2,12:18,1,10,CIN 11,3,0,Bernard Scott left tackle for 3 yards (tackle by Justin Bannan),-0.370,-0.530
2,11:39,2,7,CIN 14,3,0,Bernard Scott up the middle for 3 yards (tackle by Chris Chamberlain),-0.530,-0.720
2,11:04,3,4,CIN 17,3,0,Andy Dalton pass complete short right to A.J. Green for 2 yards (tackle by James Butler),-0.720,-2.140
2,10:18,4,2,CIN 19,3,0,"Kevin Huber punts 36 yards, fair catch by Nick Miller",-2.140,-1.930
2,10:11,1,10,STL 45,3,0,Kellen Clemens pass incomplete deep left intended for Brandon Lloyd (defended by Reggie Nelson),1.930,1.380
2,10:04,2,10,STL 45,3,0,Steven Jackson right tackle for 4 yards (tackle by Thomas Howard),1.380,1.220
2,9:28,3,6,STL 49,3,0,Kellen Clemens pass incomplete short left intended for Austin Pettis,1.220,-0.130
2,9:10,4,6,STL 49,3,0,"Donnie Jones punts 37 yards, fair catch by Brandon Tate",-0.130,0.280
2,9:06,1,10,CIN 14,3,0,"Penalty on Jermaine Gresham: False Start, 5 yards (no play)",-0.280,-0.570
2,9:06,1,15,CIN 9,3,0,Andy Dalton pass complete short left to A.J. Green for 7 yards (tackle by Josh Gordy),-0.570,-0.510
2,8:32,2,8,CIN 16,3,0,Cedric Benson left tackle for 2 yards (tackle by Justin Bannan),-0.510,-0.920
2,7:47,3,6,CIN 18,3,0,Andy Dalton pass incomplete short right intended for Cedric Peerman (defended by Quintin Mikell),-0.920,-2.240
2,7:43,4,6,CIN 18,3,0,Kevin Huber punts 21 yards,-2.240,-2.980
2,7:31,1,10,CIN 39,3,0,Cadillac Williams left tackle for 4 yards (tackle by Pacman Jones),2.980,2.980
2,6:53,2,6,CIN 35,3,0,Cadillac Williams left tackle for 5 yards (tackle by Micah Johnson),2.980,2.940
