Unnamed: 0,SFO,NOR
First Downs,10,23
Rush-Yds-TDs,15-57-0,41-190-3
Cmp-Att-Yd-TD-INT,14-28-171-1-3,17-28-186-1-0
Sacked-Yards,4-26,1-1
Net Pass Yards,145,185
Total Yards,202,375
Fumbles-Lost,0-0,1-0
Turnovers,3,0
Penalties-Yards,7-37,3-47
Third Down Conv.,3-11,8-16
Fourth Down Conv.,0-0,1-1
Time of Possession,22:41,37:19
