Quarter,Time,Tm,Detail,SFO,NOR
1.0,0:20,49ers,Joe Nedney 29 yard field goal,3,0
2.0,12:11,Saints,Reggie Bush 1 yard rush (John Carney kick),3,7
,0:43,Saints,Reggie Bush 8 yard rush (John Carney kick),3,14
3.0,10:52,49ers,Antonio Bryant 48 yard pass from Alex Smith (Joe Nedney kick),10,14
,9:02,Saints,John Carney 19 yard field goal,10,17
,0:12,Saints,Reggie Bush 5 yard pass from Drew Brees (John Carney kick),10,24
4.0,11:18,Saints,Reggie Bush 10 yard rush (John Carney kick),10,31
,2:31,Saints,John Carney 33 yard field goal,10,34
