Unnamed: 0,WAS,HOU
First Downs,20,16
Rush-Yds-TDs,23-131-1,34-115-0
Cmp-Att-Yd-TD-INT,29-37-267-0-0,14-22-206-1-0
Sacked-Yards,3-26,0-0
Net Pass Yards,241,206
Total Yards,372,321
Fumbles-Lost,3-2,2-1
Turnovers,2,1
Penalties-Yards,7-71,6-45
Third Down Conv.,3-12,7-14
Fourth Down Conv.,0-1,0-0
Time of Possession,30:54,29:06
