Unnamed: 0,BUF,MIA
First Downs,8,23
Rush-Yds-TDs,14-41-0,44-166-1
Cmp-Att-Yd-TD-INT,10-26-98-0-3,16-28-154-1-2
Sacked-Yards,4-21,1-7
Net Pass Yards,77,147
Total Yards,118,313
Fumbles-Lost,0-0,1-1
Turnovers,3,3
Penalties-Yards,11-84,4-35
Third Down Conv.,1-9,6-14
Fourth Down Conv.,0-0,0-0
Time of Possession,19:10,40:50
