Unnamed: 0,GNB,WAS
First Downs,24,20
Rush-Yds-TDs,32-141-2,18-84-1
Cmp-Att-Yd-TD-INT,21-36-210-2-0,29-46-329-1-0
Sacked-Yards,1-5,6-59
Net Pass Yards,205,270
Total Yards,346,354
Fumbles-Lost,1-1,3-1
Turnovers,1,1
Penalties-Yards,3-23,7-55
Third Down Conv.,3-11,5-15
Fourth Down Conv.,1-1,1-4
Time of Possession,29:33,30:27
