Quarter,Time,Tm,Detail,GNB,WAS
1.0,10:27,Redskins,"Safety, Aaron Rodgers preston Smith sack in end zone",0,2
,4:51,Redskins,Dustin Hopkins 25 yard field goal,0,5
2.0,13:02,Redskins,Jordan Reed 24 yard pass from Kirk Cousins (Dustin Hopkins kick failed),0,11
,9:04,Packers,Randall Cobb 12 yard pass from Aaron Rodgers (Mason Crosby kick),7,11
,2:54,Packers,Mason Crosby 43 yard field goal,10,11
,0:28,Packers,Davante Adams 10 yard pass from Aaron Rodgers (Mason Crosby kick),17,11
3.0,9:41,Redskins,Kirk Cousins 3 yard rush (Dustin Hopkins kick),17,18
,4:12,Packers,James Starks 4 yard rush (Mason Crosby kick),24,18
4.0,12:23,Packers,Eddie Lacy 2 yard rush (Jared Abbrederis pass from Aaron Rodgers),32,18
,4:39,Packers,Mason Crosby 29 yard field goal,35,18
