Unnamed: 0,NWE,IND
First Downs,21,23
Rush-Yds-TDs,28-105-0,31-119-1
Cmp-Att-Yd-TD-INT,21-32-255-3-2,16-27-225-1-1
Sacked-Yards,2-18,3-15
Net Pass Yards,237,210
Total Yards,342,329
Fumbles-Lost,0-0,2-1
Turnovers,2,2
Penalties-Yards,10-146,4-25
Third Down Conv.,7-12,5-12
Fourth Down Conv.,0-0,0-0
Time of Possession,29:44,30:16
