Unnamed: 0,LAC,PHI
First Downs,28,20
Rush-Yds-TDs,27-89-1,39-176-2
Cmp-Att-Yd-TD-INT,32-38-356-2-0,11-17-162-1-0
Sacked-Yards,0-0,1-7
Net Pass Yards,356,155
Total Yards,445,331
Fumbles-Lost,0-0,1-0
Turnovers,0,0
Penalties-Yards,4-30,3-25
Third Down Conv.,5-10,8-12
Fourth Down Conv.,2-4,0-0
Time of Possession,33:37,26:23
