Quarter,Time,Down,ToGo,Location,LAC,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss and deferred, Eagles to receive the opening kickoff.",,
1,15:00,,,LAC 35,0,0,"Dustin Hopkins kicks off 62 yards, returned by Quez Watkins for 24 yards (tackle by Amen Ogbongbemiga)",,
1,14:53,1,10,PHI 27,0,0,Boston Scott left end for 3 yards (tackle by Linval Joseph and Jerry Tillery),,
1,14:19,2,7,PHI 30,0,0,Jalen Hurts pass complete short right to Quez Watkins for 2 yards (tackle by Nasir Adderley),,
1,13:38,3,5,PHI 32,0,0,Jalen Hurts pass complete short left to Dallas Goedert for 18 yards (tackle by Chris Harris),,
1,13:02,1,10,LAC 50,0,0,Jalen Hurts pass incomplete short left intended for Dallas Goedert (defended by Nasir Adderley),,
1,12:57,2,10,LAC 50,0,0,Jalen Hurts pass incomplete short left intended for Dallas Goedert,,
1,12:52,3,10,LAC 50,0,0,"Penalty on Justin Jones: Neutral Zone Infraction, 5 yards (accepted) (no play)",,
1,12:52,3,5,LAC 45,0,0,Jalen Hurts pass incomplete deep left intended for Dallas Goedert,,
1,12:47,4,5,LAC 45,0,0,Arryn Siposs punts 44 yards downed by Zech McPhearson,,
1,12:39,1,10,LAC 1,0,0,Austin Ekeler up the middle for 3 yards (tackle by Fletcher Cox),,
1,12:07,2,7,LAC 4,0,0,Justin Herbert pass incomplete deep right intended for Keenan Allen,,
1,12:01,3,7,LAC 4,0,0,Justin Herbert pass complete short right to Jalen Guyton for 19 yards (tackle by Steven Nelson and Rodney McLeod),,
1,11:21,1,10,LAC 23,0,0,Justin Herbert pass complete short left to Keenan Allen for 12 yards (tackle by Avonte Maddox),,
1,11:06,1,10,LAC 35,0,0,Austin Ekeler left end for 1 yard (tackle by Avonte Maddox and T.J. Edwards),,
1,10:24,2,9,LAC 36,0,0,Justin Herbert pass complete short right to Keenan Allen for 9 yards (tackle by Darius Slay),,
1,9:47,1,10,LAC 45,0,0,Justin Herbert scrambles right end for 3 yards (tackle by Andre Chachere),,
1,9:06,2,7,LAC 48,0,0,Austin Ekeler up the middle for 7 yards (tackle by Rodney McLeod and T.J. Edwards),,
1,8:25,1,10,PHI 45,0,0,Justin Herbert pass complete deep left to Keenan Allen for 17 yards (tackle by Steven Nelson),,
1,7:47,1,10,PHI 28,0,0,Joshua Kelley up the middle for 3 yards (tackle by Hassan Ridgeway and T.J. Edwards),,
1,7:10,2,7,PHI 25,0,0,Justin Herbert pass complete short left to Stephen Anderson for 23 yards (tackle by Rodney McLeod),,
1,6:27,1,2,PHI 2,0,0,Justin Herbert pass incomplete short left intended for Mike Williams,,
1,6:24,2,2,PHI 2,0,0,Austin Ekeler up the middle for no gain (tackle by Davion Taylor and T.J. Edwards),,
1,5:51,3,2,PHI 2,0,0,Justin Herbert pass incomplete short right intended for Mike Williams,,
1,5:46,4,2,PHI 2,0,0,Justin Herbert pass complete short right to Keenan Allen for 1 yard (tackle by Andre Chachere),,
1,5:43,1,10,PHI 1,0,0,Jalen Hurts pass incomplete deep left intended for Quez Watkins,,
1,5:38,2,10,PHI 1,0,0,Jordan Howard up the middle for no gain (tackle by Kyzir White and Linval Joseph),,
1,4:55,3,10,PHI 1,0,0,Jalen Hurts scrambles up the middle for 3 yards (tackle by Joey Bosa),,
1,4:19,4,7,PHI 4,0,0,"Arryn Siposs punts 44 yards, returned by Andre Roberts for 10 yards (tackle by Alex Singleton)",,
1,4:09,1,10,PHI 38,0,0,Justin Herbert pass complete short right to Jared Cook for 9 yards (tackle by Andre Chachere),,
1,3:29,2,1,PHI 29,0,0,Austin Ekeler right guard for 2 yards (tackle by Hassan Ridgeway and Marlon Tuipulotu),,
1,2:48,1,10,PHI 27,0,0,Joshua Kelley up the middle for 2 yards (tackle by Fletcher Cox),,
1,2:13,2,8,PHI 25,0,0,Justin Herbert pass complete short left to Jared Cook for 23 yards (tackle by Anthony Harris and Andre Chachere),,
1,1:25,,,,,,Timeout #1 by Los Angeles Chargers,,
1,1:25,1,2,PHI 2,0,0,Austin Ekeler up the middle for no gain (tackle by Derek Barnett and T.J. Edwards),,
1,0:54,2,2,PHI 2,6,0,"Justin Herbert pass complete short right to Stephen Anderson for 2 yards, touchdown",,
1,0:50,,,PHI 15,7,0,Dustin Hopkins kicks extra point good,,
1,0:50,,,LAC 35,7,0,"Dustin Hopkins kicks off 65 yards, touchback.",,
1,0:50,1,10,PHI 25,7,0,Jordan Howard left guard for 8 yards (tackle by Drue Tranquill),,
1,0:23,2,2,PHI 33,7,0,Jordan Howard left tackle for 18 yards (tackle by Nasir Adderley),,
Quarter,Time,Down,ToGo,Location,LAC,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,LAC 49,7,0,Jordan Howard left tackle for 4 yards (tackle by Christian Covington),,
2,14:26,2,6,LAC 45,7,0,Jalen Hurts pass complete deep left to DeVonta Smith for 27 yards (tackle by Chris Harris),,
2,14:04,1,10,LAC 18,7,0,Jordan Howard up the middle for 2 yards (tackle by Jerry Tillery and Justin Jones),,
2,13:27,2,8,LAC 16,7,0,Jordan Howard up the middle for 5 yards (tackle by Joey Bosa and Justin Jones),,
2,12:48,,,,,,Timeout #2 by Los Angeles Chargers,,
2,12:48,3,3,LAC 11,7,0,Jalen Hurts scrambles right end for 4 yards (tackle by Drue Tranquill),,
2,12:24,1,7,LAC 7,7,0,Boston Scott up the middle for 2 yards (tackle by Jerry Tillery),,
2,12:04,2,5,LAC 5,7,0,Boston Scott left tackle for 1 yard (tackle by Nasir Adderley),,
2,11:25,3,4,LAC 4,7,6,"Jordan Howard up the middle for 4 yards, touchdown",,
2,11:18,,,LAC 15,7,7,Jake Elliott kicks extra point good,,
2,11:18,,,PHI 35,7,7,"Jake Elliott kicks off 60 yards, returned by Andre Roberts for 19 yards (tackle by Shaun Bradley and Alex Singleton)",,
2,11:14,1,10,LAC 24,7,7,"Justin Herbert pass complete short left to Donald Parham for 12 yards (tackle by Davion Taylor). Penalty on Steven Nelson: Roughing the Passer, 15 yards (accepted)",,
2,10:53,1,10,PHI 49,7,7,Andre Roberts right end for 9 yards (tackle by Rodney McLeod),,
2,10:14,2,1,PHI 40,7,7,"Austin Ekeler up the middle for no gain (tackle by Rodney McLeod). Penalty on Matt Feiler: Offensive Holding, 10 yards (accepted) (no play)",,
2,9:45,2,11,PHI 50,7,7,Justin Herbert pass complete short right to Jared Cook for 15 yards (tackle by Steven Nelson),,
2,9:04,1,10,PHI 35,7,7,Justin Herbert pass complete short left to Keenan Allen for 3 yards (tackle by T.J. Edwards),,
2,8:25,2,7,PHI 32,7,7,Justin Herbert pass complete short left to Jared Cook for 1 yard (tackle by Marcus Epps),,
2,7:55,3,6,PHI 31,7,7,Justin Herbert pass complete short middle to Keenan Allen for 4 yards (tackle by Marcus Epps),,
2,7:30,4,2,PHI 27,7,7,Joshua Kelley left end for 1 yard (tackle by T.J. Edwards and Alex Singleton),,
2,7:25,1,10,PHI 26,7,7,Jalen Hurts scrambles right end for 6 yards (tackle by Linval Joseph),,
2,6:51,2,4,PHI 32,7,7,Boston Scott right end for 8 yards (tackle by Drue Tranquill and Kyzir White),,
2,6:25,1,10,PHI 40,7,7,Boston Scott left guard for 5 yards (tackle by Drue Tranquill),,
2,5:50,2,5,PHI 45,7,7,Boston Scott left end for 4 yards (tackle by Christian Covington),,
2,5:18,,,,,,Timeout #1 by Philadelphia Eagles,,
2,5:18,3,1,PHI 49,7,7,Jordan Howard up the middle for 5 yards (tackle by Linval Joseph),,
2,4:50,1,10,LAC 46,7,7,Jalen Hurts pass complete short right to Quez Watkins for 7 yards (tackle by Chris Harris),,
2,4:24,2,3,LAC 39,7,7,Jordan Howard right end for 3 yards (tackle by Christian Covington),,
2,3:55,1,10,LAC 36,7,7,Jordan Howard up the middle for 5 yards (tackle by Derwin James),,
2,3:21,2,5,LAC 31,7,7,Jalen Hurts left end for 6 yards (tackle by Nasir Adderley),,
2,3:02,1,10,LAC 25,7,7,Boston Scott for 2 yards (tackle by Drue Tranquill and Uchenna Nwosu),,
2,2:25,2,8,LAC 23,7,7,Jalen Hurts left end for 3 yards (tackle by Derwin James),,
2,2:00,3,5,LAC 20,7,7,Jalen Hurts up the middle for 10 yards (tackle by Kyzir White),,
2,1:22,1,10,LAC 10,7,7,Jordan Howard left end for 2 yards (tackle by Linval Joseph),,
2,1:14,,,,,,Timeout #3 by Los Angeles Chargers,,
2,1:14,2,8,LAC 8,7,7,Jordan Howard up the middle for 2 yards (tackle by Linval Joseph),,
2,0:28,,,,,,Timeout #2 by Philadelphia Eagles,,
2,0:28,3,6,LAC 6,7,7,Jalen Hurts pass incomplete short left intended for DeVonta Smith,,
2,0:24,4,6,LAC 6,7,10,Jake Elliott 24 yard field goal good,,
2,0:21,,,PHI 35,7,10,"Jake Elliott kicks off 55 yards, returned by Andre Roberts for 9 yards (tackle by Shaun Bradley)",,
2,0:15,1,10,LAC 19,7,10,Justin Herbert pass complete short left to Austin Ekeler for 11 yards (tackle by Alex Singleton),,
Quarter,Time,Down,ToGo,Location,LAC,PHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PHI 35,7,10,"Jake Elliott kicks off 63 yards, returned by Andre Roberts for 29 yards (tackle by Andre Chachere)",,
3,14:53,1,10,LAC 31,7,10,Justin Herbert pass complete short right to Mike Williams for 9 yards (tackle by T.J. Edwards),,
3,14:21,2,1,LAC 40,7,10,Austin Ekeler left end for -3 yards (tackle by Javon Hargrave and T.J. Edwards),,
3,13:37,3,4,LAC 37,7,10,Justin Herbert pass complete short middle to Keenan Allen for 16 yards (tackle by Rodney McLeod),,
3,13:00,1,10,PHI 47,7,10,Justin Herbert pass complete short right to Josh Palmer for 15 yards (tackle by Anthony Harris),,
3,12:25,1,10,PHI 32,7,10,Justin Herbert pass complete deep right to Donald Parham for 19 yards (tackle by Darius Slay),,
3,11:53,1,10,PHI 13,7,10,Justin Herbert pass incomplete short right intended for Mike Williams,,
3,11:50,2,10,PHI 13,7,10,Austin Ekeler up the middle for no gain (tackle by Derek Barnett and Rodney McLeod),,
3,11:17,3,10,PHI 13,7,10,Justin Herbert scrambles left end for 1 yard (tackle by Alex Singleton),,
3,10:36,4,9,PHI 12,10,10,Dustin Hopkins 30 yard field goal good,,
3,10:33,,,LAC 35,10,10,"Dustin Hopkins kicks off 65 yards, touchback.",,
3,10:33,1,10,PHI 25,10,10,Boston Scott up the middle for 3 yards (tackle by Derwin James),,
3,9:53,2,7,PHI 28,10,10,Jalen Hurts up the middle for 3 yards (tackle by Linval Joseph),,
3,9:28,3,4,PHI 31,10,10,Jalen Hurts sacked by Joey Bosa for -7 yards,,
3,8:50,4,11,PHI 24,10,10,Arryn Siposs punts 42 yards downed by Alex Singleton,,
