Unnamed: 0,SFO,PHI
First Downs,8,30
Rush-Yds-TDs,17-58-0,30-140-1
Cmp-Att-Yd-TD-INT,13-27-107-0-3,33-39-458-5-0
Sacked-Yards,3-23,2-15
Net Pass Yards,84,443
Total Yards,142,583
Fumbles-Lost,0-0,2-1
Turnovers,3,1
Penalties-Yards,2-15,6-50
Third Down Conv.,3-12,7-10
Fourth Down Conv.,0-0,0-0
Time of Possession,22:03,37:57
