Quarter,Time,Tm,Detail,SFO,PHI
1.0,14:03,Eagles,Terrell Owens 68 yard pass from Donovan McNabb (David Akers kick),0,7
,7:15,Eagles,L.J. Smith 6 yard pass from Donovan McNabb (David Akers kick),0,14
2.0,11:42,Eagles,Terrell Owens 42 yard pass from Donovan McNabb (David Akers kick),0,21
,11:22,Eagles,Brian Westbrook 2 yard pass from Donovan McNabb (Mark Simoneau kick),0,28
3.0,4:08,49ers,Joe Nedney 32 yard field goal,3,28
,0:58,Eagles,Greg Lewis 6 yard pass from Donovan McNabb (David Akers kick),3,35
4.0,3:43,Eagles,Lamar Gordon 6 yard rush (David Akers kick),3,42
