Quarter,Time,Tm,Detail,TEN,HOU
1.0,5:15,Texans,Ben Tate 4 yard rush (Neil Rackers kick),0,7
2.0,13:06,Titans,Rob Bironas 21 yard field goal,3,7
,3:48,Titans,Donnie Avery 1 yard pass from Matt Hasselbeck (Rob Bironas kick),10,7
,1:09,Texans,Neil Rackers 52 yard field goal,10,10
,0:00,Titans,Rob Bironas 43 yard field goal,13,10
3.0,11:46,Texans,Neil Rackers 37 yard field goal,13,13
,7:22,Titans,Rob Bironas 33 yard field goal,16,13
4.0,14:57,Texans,Neil Rackers 22 yard field goal,16,16
,4:31,Titans,Nate Washington 23 yard pass from Matt Hasselbeck (Rob Bironas kick),23,16
,0:14,Texans,Bryant Johnson 5 yard pass from Jake Delhomme (run failed),23,22
