Unnamed: 0,CLE,CIN
First Downs,21,11
Rush-Yds-TDs,52-170-3,22-86-0
Cmp-Att-Yd-TD-INT,15-23-198-0-0,13-39-93-0-3
Sacked-Yards,0-0,2-14
Net Pass Yards,198,79
Total Yards,368,165
Fumbles-Lost,1-1,1-1
Turnovers,1,4
Penalties-Yards,6-62,7-55
Third Down Conv.,7-16,3-17
Fourth Down Conv.,0-0,1-1
Time of Possession,35:49,24:11
