Quarter,Time,Tm,Detail,CLE,CIN
1.0,10:40,Browns,Ben Tate 4 yard rush (Billy Cundiff kick),7,0
,6:18,Bengals,Mike Nugent 43 yard field goal,7,3
2.0,12:57,Browns,Isaiah Crowell 2 yard rush (Billy Cundiff kick),14,3
,3:59,Browns,Billy Cundiff 32 yard field goal,17,3
3.0,4:46,Browns,Terrance West 1 yard rush (Billy Cundiff kick),24,3
