Unnamed: 0,DET,NOR
First Downs,18,19
Rush-Yds-TDs,19-66-0,37-193-2
Cmp-Att-Yd-TD-INT,25-52-312-3-3,20-30-186-2-2
Sacked-Yards,5-31,0-0
Net Pass Yards,281,186
Total Yards,347,379
Fumbles-Lost,3-2,2-1
Turnovers,5,3
Penalties-Yards,7-46,13-118
Third Down Conv.,9-18,2-12
Fourth Down Conv.,0-1,1-1
Time of Possession,27:49,32:11
