Quarter,Time,Tm,Detail,DET,NOR
1.0,11:02,Saints,Kenny Vaccaro fumble recovery in end zone (Wil Lutz kick),0,7
,7:02,Lions,Golden Tate 45 yard pass from Matthew Stafford (Matt Prater kick),7,7
,4:56,Saints,Ted Ginn Jr. 20 yard pass from Drew Brees (Wil Lutz kick),7,14
,0:04,Saints,Wil Lutz 41 yard field goal,7,17
2.0,10:46,Saints,Mark Ingram 1 yard rush (Wil Lutz kick),7,24
,6:38,Lions,Matt Prater 41 yard field goal,10,24
,1:48,Saints,Mark Ingram 2 yard rush (Wil Lutz kick),10,31
3.0,9:17,Saints,Michael Hoomanawanui 2 yard pass from Drew Brees (Wil Lutz kick),10,38
,8:34,Saints,Marshon Lattimore 27 yard interception return (Wil Lutz kick),10,45
,5:56,Lions,Marvin Jones 22 yard pass from Matthew Stafford (Matt Prater kick),17,45
,1:21,Lions,Darren Fells 22 yard pass from Matthew Stafford (Matt Prater kick),24,45
4.0,11:03,Lions,Jamal Agnew 74 yard punt return (Matt Prater kick),31,45
,6:41,Lions,A'Shawn Robinson 2 yard interception return (Matt Prater kick),38,45
,5:04,Saints,Cameron Jordan interception in end zone (Wil Lutz kick),38,52
