Quarter,Time,Down,ToGo,Location,DET,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss and deferred, Ravens to receive the opening kickoff.",,
1,15:00,,,DET 35,0,0,"Sam Martin kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,BAL 25,0,0,Alex Collins left guard for 5 yards (tackle by Ezekiel Ansah),0.610,0.740
1,14:23,2,5,BAL 30,0,0,"Penalty on Jarrad Davis: Neutral Zone Infraction, 5 yards (no play)",0.740,1.270
1,14:00,1,10,BAL 35,0,0,Joe Flacco pass complete short middle to Ben Watson for 18 yards (tackle by Glover Quin),1.270,2.460
1,13:27,1,10,DET 47,0,0,Joe Flacco pass incomplete deep middle intended for Mike Wallace,2.460,1.910
1,13:22,2,10,DET 47,0,0,Danny Woodhead right guard for 1 yard (tackle by Ezekiel Ansah),1.910,1.350
1,12:49,3,9,DET 46,0,0,Joe Flacco pass incomplete short right intended for Jeremy Maclin,1.350,0.200
1,12:45,4,9,DET 46,0,0,"Sam Koch punts 43 yards, out of bounds",0.200,0.380
1,12:36,1,10,DET 3,0,0,Theo Riddick right guard for 3 yards (tackle by Michael Pierce and Carl Davis),-0.380,-0.560
1,11:58,2,7,DET 6,0,0,Theo Riddick right guard for no gain (tackle by Brandon Carr),-0.560,-1.070
1,11:17,3,7,DET 6,0,0,Matthew Stafford pass complete short right to Eric Ebron for 11 yards (tackle by Tony Jefferson),-1.070,-0.060
1,10:49,1,10,DET 17,0,0,Matthew Stafford pass incomplete deep right intended for Kenny Golladay,-0.060,-0.580
1,10:45,2,10,DET 17,0,0,Zach Zenner right guard for 4 yards (tackle by Brandon Williams and Willie Henry),-0.580,-0.750
1,10:01,3,6,DET 21,0,0,Matthew Stafford pass incomplete short left intended for Golden Tate,-0.750,-1.960
1,9:56,4,6,DET 21,0,0,"Sam Martin punts 51 yards, returned by Michael Campanaro for 9 yards (tackle by Steve Longa). Penalty on Paul Worrilow: Unnecessary Roughness, 15 yards",-1.960,-2.390
1,9:46,1,10,DET 48,0,0,Alex Collins left guard for 8 yards (tackle by Tahir Whitehead and Jarrad Davis),2.390,2.930
1,9:07,2,2,DET 40,0,0,Chris Moore right end for -4 yards (tackle by Glover Quin),2.930,1.690
1,8:28,3,6,DET 44,0,0,Joe Flacco pass complete short middle to Jeremy Maclin for 10 yards,1.690,3.310
1,7:57,1,10,DET 34,0,0,Joe Flacco pass complete short left to Nick Boyle for 11 yards (tackle by Nevin Lawson),3.310,4.040
1,7:19,1,10,DET 23,0,0,Joe Flacco pass complete short right to Mike Wallace for 4 yards (tackle by Darius Slay and Anthony Zettel),4.040,4.050
1,6:45,2,6,DET 19,0,0,Alex Collins left guard for -1 yards (tackle by Paul Worrilow),4.050,3.200
1,6:07,3,7,DET 20,0,0,Joe Flacco pass incomplete deep left intended for Ben Watson,3.200,2.120
1,6:01,4,7,DET 20,0,3,Justin Tucker 38 yard field goal good,2.120,3.000
1,5:57,,,BAL 35,0,3,"Justin Tucker kicks off 59 yards, returned by Zach Zenner for 19 yards (tackle by Anthony Levine)",0.000,-0.610
1,5:49,1,10,DET 25,0,3,Matthew Stafford pass complete short middle to Theo Riddick for 27 yards (tackle by C.J. Mosley),0.610,2.390
1,5:19,1,10,BAL 48,0,3,Theo Riddick right guard for 5 yards (tackle by Patrick Onwuasor),2.390,2.520
1,4:54,2,5,BAL 43,0,3,Matthew Stafford pass complete short right to Darren Fells for 2 yards (tackle by Tony Jefferson),2.520,2.080
1,4:18,3,3,BAL 41,0,3,Matthew Stafford pass complete short middle to Darren Fells for 8 yards (tackle by Patrick Onwuasor),2.080,3.380
1,3:39,1,10,BAL 33,0,3,Theo Riddick left guard for 2 yards (tackle by Terrell Suggs),3.380,3.110
1,3:05,2,8,BAL 31,0,3,Matthew Stafford pass incomplete deep right intended for Marvin Jones,3.110,2.410
1,3:00,3,8,BAL 31,0,3,"Matthew Stafford for no gain. Matthew Stafford fumbles, recovered by Matthew Stafford at BAL-41",2.410,0.530
1,1:57,4,18,BAL 41,0,3,"Penalty on Sam Martin: Delay of Game, 5 yards (no play)",0.530,0.200
1,1:57,4,23,BAL 46,0,3,Sam Martin punts 41 yards,0.200,0.380
1,1:50,1,10,BAL 5,0,3,Alex Collins left guard for 8 yards (tackle by Jarrad Davis and Miles Killebrew),-0.380,-0.190
1,1:16,2,2,BAL 13,0,3,Alex Collins left guard for 2 yards (tackle by Christian Ringo and Miles Killebrew),-0.190,-0.220
1,0:41,1,10,BAL 15,0,3,Joe Flacco pass incomplete short left intended for Mike Wallace (defended by D.J. Hayden),-0.220,-0.710
1,0:37,2,10,BAL 15,0,3,Joe Flacco pass complete short left to Mike Wallace for 6 yards (tackle by D.J. Hayden),-0.710,-0.630
Quarter,Time,Down,ToGo,Location,DET,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,4,BAL 21,0,3,Joe Flacco pass incomplete short right intended for Chris Moore,-0.630,-1.960
2,14:51,4,4,BAL 21,0,3,"Sam Koch punts 52 yards, returned by T.J. Jones for 9 yards (tackle by Patrick Onwuasor)",-1.960,-1.330
2,14:40,1,10,DET 36,0,3,Tion Green left tackle for 33 yards (tackle by Eric Weddle),1.330,3.510
2,14:15,1,10,BAL 31,0,3,Tion Green left tackle for no gain (tackle by C.J. Mosley and Michael Pierce),3.510,2.970
2,13:42,2,10,BAL 31,0,3,Matthew Stafford pass incomplete deep middle intended for Marvin Jones,2.970,2.280
2,13:34,3,10,BAL 31,0,3,Matthew Stafford pass complete short middle to Golden Tate for 6 yards (tackle by Maurice Canady),2.280,1.880
2,12:55,4,4,BAL 25,0,3,Matt Prater 43 yard field goal no good,1.880,-1.140
2,12:50,1,10,BAL 33,0,3,Joe Flacco pass complete deep right to Mike Wallace for 66 yards (tackle by Miles Killebrew),1.140,6.970
2,11:58,1,1,DET 1,0,9,"Joe Flacco pass complete short right to Ben Watson for 1 yard, touchdown",6.970,7.000
2,11:52,,,DET 15,0,10,Justin Tucker kicks extra point good,0.000,0.000
2,11:52,,,BAL 35,0,10,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.610
2,11:52,1,10,DET 25,0,10,Matthew Stafford pass complete deep right to Kenny Golladay for 31 yards (tackle by Jimmy Smith),0.610,2.650
2,11:13,1,10,BAL 44,0,10,Matthew Stafford pass complete short left to Golden Tate for -1 yards (tackle by Jimmy Smith),2.650,1.980
2,10:35,2,11,BAL 45,0,10,Theo Riddick middle for 4 yards (tackle by Maurice Canady and Michael Pierce),1.980,1.820
2,9:51,3,7,BAL 41,0,10,"Matthew Stafford sacked by Eric Weddle for -7 yards. Matthew Stafford fumbles (forced by Eric Weddle), recovered by Willie Henry at BAL-48 and returned for 16 yards (tackle by Theo Riddick)",1.820,-3.180
2,9:42,1,10,DET 36,0,10,"Joe Flacco pass complete short right to Maxx Williams for 1 yard (tackle by A'Shawn Robinson). Penalty on Austin Howard: Illegal Block Above the Waist, 10 yards",3.180,2.590
2,9:22,1,19,DET 45,0,10,Joe Flacco pass complete short right to Alex Collins for 9 yards (tackle by Darius Slay and Jarrad Davis),2.590,2.640
2,8:47,2,10,DET 36,0,10,Joe Flacco pass incomplete deep right intended for Mike Wallace,2.640,2.640
2,8:27,2,10,DET 36,0,10,Joe Flacco pass complete deep right to Mike Wallace for 23 yards (tackle by Darius Slay),2.640,4.710
,,,,,,,"BAL challenged the incomplete pass ruling, and the original play was overturned.",,
2,8:19,1,10,DET 13,0,10,Javorius Allen left guard for 9 yards (tackle by Jeremiah Ledbetter),4.710,5.730
2,7:36,2,1,DET 4,0,10,Javorius Allen right guard for 1 yard (tackle by Anthony Zettel),5.730,6.510
2,6:58,1,3,DET 3,0,16,"Joe Flacco pass complete short right to Patrick Ricard for 3 yards, touchdown",6.510,7.000
2,6:54,,,DET 15,0,17,Justin Tucker kicks extra point good,0.000,0.000
2,6:54,,,BAL 35,0,17,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.610
2,6:54,1,10,DET 25,0,17,Tion Green left tackle for 2 yards (tackle by Terrell Suggs),0.610,0.330
2,6:20,2,8,DET 27,0,17,Matthew Stafford pass complete short right to Golden Tate for 9 yards (tackle by Patrick Onwuasor),0.330,1.330
2,5:45,1,10,DET 36,0,17,Tion Green left guard for 1 yard (tackle by Patrick Onwuasor),1.330,0.930
2,5:02,2,9,DET 37,0,17,Matthew Stafford right end for 1 yard (tackle by Anthony Levine),0.930,0.370
2,4:24,3,8,DET 38,0,17,Matthew Stafford sacked by Matt Judon for -7 yards,0.370,-1.310
2,4:09,4,15,DET 31,0,17,"Sam Martin punts 49 yards, returned by Michael Campanaro for 9 yards (tackle by Don Carey). Michael Campanaro fumbles (forced by Don Carey), recovered by Maurice Canady at BAL-30 (tackle by Zach Zenner)",-1.310,-0.940
2,3:56,1,10,BAL 30,0,17,Joe Flacco pass complete short middle to Javorius Allen for 4 yards (tackle by Jarrad Davis),0.940,0.930
2,3:20,2,6,BAL 34,0,17,Alex Collins right tackle for 1 yard (tackle by Ezekiel Ansah),0.930,0.370
2,2:43,3,5,BAL 35,0,17,Joe Flacco pass complete deep middle to Jeremy Maclin for 17 yards (tackle by Jalen Reeves-Maybin),0.370,2.390
2,2:00,1,10,DET 48,0,17,Joe Flacco pass incomplete deep left intended for Mike Wallace,2.390,1.850
2,1:55,2,10,DET 48,0,17,Danny Woodhead right guard for 5 yards (tackle by Jarrad Davis),1.850,1.820
2,1:25,3,5,DET 43,0,17,Joe Flacco pass complete short right to Chris Moore for 2 yards (tackle by Quandre Diggs),1.820,0.000
2,1:09,,,,,,Timeout #1 by Detroit Lions,0.000,0.000
2,1:09,,,,,,Timeout #1 by Baltimore Ravens,0.000,-0.530
2,1:09,4,3,DET 41,0,17,"Sam Koch punts 28 yards, fair catch by T.J. Jones",0.530,0.320
2,1:02,1,10,DET 13,0,17,Matthew Stafford pass complete short right to Theo Riddick for -4 yards (tackle by Willie Henry),-0.320,-1.070
2,0:35,2,14,DET 9,0,17,Matthew Stafford pass complete short right to Eric Ebron for 2 yards (tackle by Anthony Levine),-1.070,0.000
2,0:28,,,,,,Timeout #2 by Baltimore Ravens,0.000,1.650
2,0:28,3,12,DET 11,0,17,Matthew Stafford middle for 1 yard (tackle by Terrell Suggs). Penalty on Taylor Decker: Offensive Holding (Declined),-1.650,-2.490
2,0:22,4,11,DET 12,0,17,"Sam Martin punts 33 yards, fair catch by Michael Campanaro",-2.490,-2.590
2,0:17,1,10,DET 45,0,17,Joe Flacco pass complete short middle to Mike Wallace for 17 yards (tackle by Glover Quin),2.590,0.000
2,0:11,,,,,,Timeout #3 by Baltimore Ravens,0.000,-3.710
2,0:11,1,10,DET 28,0,17,Joe Flacco pass incomplete deep right intended for Jeremy Maclin,3.710,3.170
2,0:05,2,10,DET 28,0,20,Justin Tucker 46 yard field goal good,3.170,3.000
Quarter,Time,Down,ToGo,Location,DET,BAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BAL 35,0,20,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,DET 25,0,20,Theo Riddick left guard for -2 yards (tackle by Maurice Canady),0.610,-0.210
3,14:23,2,12,DET 23,0,20,Matthew Stafford pass complete short left to Theo Riddick for 4 yards (tackle by Patrick Onwuasor),-0.210,0.000
3,14:02,,,,,,Timeout #1 by Baltimore Ravens,0.000,0.360
3,14:02,3,8,DET 27,0,20,Matthew Stafford pass complete short right to Golden Tate for 14 yards (tackle by Lardarius Webb),-0.360,1.660
3,13:44,1,10,DET 41,0,20,Matthew Stafford pass complete short left to Marvin Jones for 1 yard (tackle by Marlon Humphrey),1.660,1.260
3,13:02,2,9,DET 42,0,20,Matthew Stafford pass complete short left to Eric Ebron for 12 yards (tackle by Chuck Clark),1.260,2.520
3,12:40,1,10,BAL 46,0,20,Matthew Stafford pass complete deep left to Marvin Jones for 42 yards (tackle by Marlon Humphrey). Penalty on BAL: Defensive 12 On-field (Declined),2.520,6.280
3,12:16,1,4,BAL 4,6,20,"Theo Riddick right guard for 4 yards, touchdown",6.280,7.000
3,12:11,,,BAL 15,7,20,Matt Prater kicks extra point good,0.000,0.000
3,12:11,,,DET 35,7,20,"Sam Martin kicks off 65 yards, returned by Chris Moore for 24 yards (tackle by Steve Longa)",0.000,-0.540
3,12:05,1,10,BAL 24,7,20,Joe Flacco pass complete short right to Danny Woodhead for 6 yards,0.540,0.810
3,11:29,2,4,BAL 30,7,20,Alex Collins left guard for no gain (tackle by Paul Worrilow),0.810,0.100
3,10:50,3,4,BAL 30,7,20,Joe Flacco pass complete short middle to Ben Watson for 5 yards (tackle by Quandre Diggs),0.100,1.270
3,10:11,1,10,BAL 35,7,20,Joe Flacco pass incomplete short right intended for Nick Boyle,1.270,0.720
3,10:06,2,10,BAL 35,7,20,Joe Flacco pass complete short left to Jeremy Maclin for 2 yards (tackle by Nevin Lawson),0.720,0.300
3,9:25,3,8,BAL 37,7,20,Joe Flacco pass incomplete short right intended for Nick Boyle,0.300,-0.910
3,9:20,4,8,BAL 37,7,20,"Sam Koch punts 41 yards, fair catch by T.J. Jones",-0.910,-0.410
3,9:13,1,10,DET 22,7,20,Tion Green left tackle for 3 yards (tackle by Michael Pierce),0.410,0.270
3,8:36,2,7,DET 25,7,20,Matthew Stafford pass complete short middle to Theo Riddick for 6 yards (tackle by Patrick Onwuasor and C.J. Mosley),0.270,0.370
3,7:54,3,1,DET 31,7,20,Theo Riddick right guard for no gain (tackle by Brandon Williams and C.J. Mosley),0.370,-1.310
3,7:34,4,1,DET 31,7,20,"Sam Martin punts 47 yards, fair catch by Michael Campanaro",-1.310,-0.410
3,7:26,1,10,BAL 22,7,20,Alex Collins middle for 11 yards (tackle by Ezekiel Ansah),0.410,1.140
3,7:02,1,10,BAL 33,7,20,Joe Flacco pass incomplete short middle intended for Ben Watson,1.140,0.590
3,6:57,2,10,BAL 33,7,20,Alex Collins right guard for 2 yards (tackle by Jarrad Davis),0.590,0.170
3,6:38,3,8,BAL 35,7,20,Joe Flacco pass incomplete short middle intended for Jeremy Maclin (defended by Quandre Diggs),0.170,-1.040
3,6:34,4,8,BAL 35,7,20,"Sam Koch punts 45 yards, returned by T.J. Jones for 5 yards (tackle by Chuck Clark)",-1.040,-0.610
3,6:23,1,10,DET 25,7,20,Matthew Stafford pass complete short left to Golden Tate for 6 yards (tackle by Marlon Humphrey and Eric Weddle),0.610,0.870
3,6:01,2,4,DET 31,7,20,"Matthew Stafford pass incomplete (defended by Matt Judon). Penalty on Willie Henry: Roughing the Passer, 15 yards (no play)",0.870,1.990
3,5:57,1,10,DET 46,7,20,Matthew Stafford pass complete short right to Marvin Jones for 1 yard (tackle by Maurice Canady and Michael Pierce),1.990,1.590
3,5:16,2,9,DET 47,7,20,Matthew Stafford pass complete short left to Golden Tate for 8 yards (tackle by Marlon Humphrey),1.590,1.950
3,4:31,3,1,BAL 45,7,20,Matthew Stafford pass complete short right to Eric Ebron for 13 yards (tackle by C.J. Mosley),1.950,3.450
3,3:49,1,10,BAL 32,7,20,Tion Green left tackle for 2 yards (tackle by Brandon Carr),3.450,3.170
3,3:10,2,8,BAL 30,7,20,Matthew Stafford pass complete short right to Golden Tate for 24 yards (tackle by Lardarius Webb),3.170,5.830
3,2:23,1,6,BAL 6,13,20,"Tion Green left end for 6 yards, touchdown",5.830,7.000
3,2:15,,,BAL 15,13,20,Matt Prater kicks extra point no good,0.000,-1.000
3,2:15,,,DET 35,13,20,"Sam Martin kicks off 66 yards, returned by Chris Moore for 27 yards (tackle by Zach Zenner)",0.000,-0.670
3,2:10,1,10,BAL 26,13,20,Joe Flacco pass complete short middle to Jeremy Maclin for 12 yards (tackle by Quandre Diggs),0.670,1.470
3,1:38,1,10,BAL 38,13,20,Joe Flacco pass complete short right to Danny Woodhead for 8 yards,1.470,2.000
3,1:09,2,2,BAL 46,13,20,Alex Collins middle for 8 yards (tackle by Jarrad Davis and Glover Quin),2.000,2.520
3,0:30,1,10,DET 46,13,20,Javorius Allen right guard for 10 yards (tackle by Quandre Diggs),2.520,3.180
Quarter,Time,Down,ToGo,Location,DET,BAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,DET 36,13,20,Javorius Allen right guard for 3 yards (tackle by A'Shawn Robinson),3.180,3.040
4,14:26,2,7,DET 33,13,20,Joe Flacco pass incomplete short middle intended for Maxx Williams,3.040,2.350
4,14:14,3,7,DET 33,13,20,Joe Flacco pass complete short middle to Chris Moore for 23 yards (tackle by Jalen Reeves-Maybin),2.350,4.910
4,13:29,1,10,DET 10,13,20,Danny Woodhead right guard for 3 yards (tackle by Quandre Diggs),4.910,4.760
4,12:46,2,7,DET 7,13,26,"Alex Collins right end for 7 yards, touchdown",4.760,7.000
4,12:39,,,DET 15,13,27,Justin Tucker kicks extra point good,0.000,0.000
