Unnamed: 0,DET,BAL
First Downs,18,24
Rush-Yds-TDs,24-78-2,27-101-2
Cmp-Att-Yd-TD-INT,27-34-316-1-2,23-36-269-2-0
Sacked-Yards,3-22,0-0
Net Pass Yards,294,269
Total Yards,372,370
Fumbles-Lost,2-1,1-0
Turnovers,3,0
Penalties-Yards,6-45,2-25
Third Down Conv.,4-13,5-12
Fourth Down Conv.,0-0,0-0
Time of Possession,30:09,29:51
