Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Benny Snell Jr.,PIT,21,98,0,4,34,1.6,64,3.0,0,
Kerrith Whyte Jr,PIT,6,43,0,2,15,2.5,28,4.7,0,
Mason Rudolph,PIT,4,4,0,1,0,0.0,4,1.0,0,
Devlin Hodges,PIT,3,1,0,0,1,0.3,0,0.0,0,
Trey Edmunds,PIT,2,7,0,,2,1.0,5,2.5,0,
Jaylen Samuels,PIT,2,6,0,0,-1,-0.5,7,3.5,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Joe Mixon,CIN,18,79,0,2,32,1.8,47,2.6,1,18.0
Ryan Finley,CIN,2,8,0,0,8,4.0,0,0.0,0,
Giovani Bernard,CIN,1,-1,0,,-1,-1.0,0,0.0,0,
