Unnamed: 0,PIT,CIN
First Downs,16,11
Rush-Yds-TDs,38-159-0,21-86-0
Cmp-Att-Yd-TD-INT,13-27-203-1-1,12-26-192-1-0
Sacked-Yards,3-24,4-34
Net Pass Yards,179,158
Total Yards,338,244
Fumbles-Lost,0-0,4-2
Turnovers,1,2
Penalties-Yards,10-77,7-79
Third Down Conv.,5-16,2-12
Fourth Down Conv.,0-0,0-0
Time of Possession,34:40,25:20
