Quarter,Time,Tm,Detail,WAS,GNB
1.0,8:16,Packers,DeShawn Wynn 3 yard rush (Mason Crosby kick),0,7
,3:43,Redskins,Jason Campbell 6 yard rush (Shaun Suisham kick),7,7
2.0,1:11,Redskins,Chris Cooley 14 yard pass from Jason Campbell (Shaun Suisham kick),14,7
3.0,3:03,Packers,Mason Crosby 37 yard field goal,14,10
,2:05,Packers,Charles Woodson 57 yard defensive fumble return (Mason Crosby kick),14,17
