Unnamed: 0,WAS,GNB
First Downs,18,13
Rush-Yds-TDs,29-94-1,20-56-1
Cmp-Att-Yd-TD-INT,21-37-217-1-1,19-37-188-0-2
Sacked-Yards,3-7,2-19
Net Pass Yards,210,169
Total Yards,304,225
Fumbles-Lost,4-2,4-0
Turnovers,3,2
Penalties-Yards,7-53,4-35
Third Down Conv.,3-14,3-13
Fourth Down Conv.,0-2,0-0
Time of Possession,32:48,27:12
