Quarter,Time,Tm,Detail,WAS,DET
2.0,9:37,Lions,Matt Prater 43 yard field goal,0,3
,0:00,Redskins,Dustin Hopkins 38 yard field goal,3,3
3.0,7:20,Lions,Zach Zenner 1 yard rush (Matt Prater kick),3,10
4.0,13:10,Lions,Matt Prater 27 yard field goal,3,13
,8:20,Redskins,Robert Kelley 1 yard pass from Kirk Cousins (Dustin Hopkins kick),10,13
,1:05,Redskins,Kirk Cousins 19 yard rush (Dustin Hopkins kick),17,13
,0:16,Lions,Anquan Boldin 18 yard pass from Matthew Stafford (Matt Prater kick),17,20
