Unnamed: 0,WAS,DET
First Downs,26,19
Rush-Yds-TDs,29-130-1,19-94-1
Cmp-Att-Yd-TD-INT,30-39-301-1-0,18-29-266-1-0
Sacked-Yards,2-18,3-16
Net Pass Yards,283,250
Total Yards,413,344
Fumbles-Lost,4-2,1-0
Turnovers,2,0
Penalties-Yards,4-20,4-30
Third Down Conv.,9-15,3-9
Fourth Down Conv.,0-0,0-0
Time of Possession,34:59,25:01
