Unnamed: 0,PIT,BAL
First Downs,14,21
Rush-Yds-TDs,19-46-1,40-180-2
Cmp-Att-Yd-TD-INT,16-31-218-2-2,16-27-171-1-0
Sacked-Yards,0-0,2-17
Net Pass Yards,218,154
Total Yards,264,334
Fumbles-Lost,1-1,4-1
Turnovers,3,1
Penalties-Yards,6-40,6-86
Third Down Conv.,4-10,9-16
Fourth Down Conv.,1-2,0-0
Time of Possession,23:18,36:42
